S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
45,2013-2014,West Bengal,147120916,ALL CHILDREN TOGETHER TRUST,162/A/31 LAKE GARDENS NEAR PUNJABI GARAGEKOLKATA700045,4222601.74
46,2013-2014,West Bengal,147120936,ALL INDIA CLENCH FOUNDATION,8A- EKDALIA PLACEKOLKATA700019,0.00
47,2013-2014,West Bengal,147120474,All India Council For Mass Education & Development, KolkataWest Bengal-,0.00
48,2013-2014,West Bengal,147120147,All India Women Conference East Calcutta,B-248 Lake Town  Calcutta -  700089-,0.00
49,2013-2014,West Bengal,147120889,ALOKA AND BIJOY SUR MEMORIAL TRUST,10 RADHA KANTA JEW STREET (GROUND FLOOR) P.S.- ULTADANGAKOLKATA700004,700283.00
50,2013-2014,West Bengal,147050058,Altab Charitable Society,Khidirpur P.O. ChhabghatiMurashidabad742201,0.00
51,2013-2014,West Bengal,147120872,ALUMNORUM SOCIETAS,30 PARK STREETKOLKATA700016,162945.00
52,2013-2014,West Bengal,147120929,Alzheimers and Related Disorders Society of India Calcutta Chapter,15-3C Naskarpara Lane Kolkata 700031Kolkata700031,0.00
53,2013-2014,West Bengal,147121003,Amader Arpan,206 Purbalok PO KalikapurEM Bypass Kolkata700099,0.00
54,2013-2014,West Bengal,147120894,AMADER PADAKHEP,16-P K. P. Roy Lane DhakuriaKolkata700031,0.00
55,2013-2014,West Bengal,147040015,Amaltora Palli Jeva Sangha,M.k.n.s.building P.o.gidniMidnapore -721505.-,0.00
56,2013-2014,West Bengal,147120869,AMAN FOUNDATION KOLKATA,8/3 Abdul Halim LaneKolkata700016,183329.00
57,2013-2014,West Bengal,147120524,Amanat Foundation Trust,2h/22 Radha Gobinda Sahalane KolkataWest Bengal -700017,1097803.00
58,2013-2014,West Bengal,147110520,Amar Club,Vill: Joykrishnapur Po:nandakumarpurps:raidighi24 Parganaswest Bengal-743349,0.00
59,2013-2014,West Bengal,147040200,Amar Seva Sangha,Raine MidnaporWest Bengal -721130,0.00
60,2013-2014,West Bengal,147110230,Amara Sabai Kailaspur Nandakumarpur Joutha Sanstha,Nandakumarpur KailashpurSouth 24 Parganas -743349.-,0.00
61,2013-2014,West Bengal,147020056,AMARABATI (Jalpaiguri) SOCIAL WELFARE AND DEVELOPMENT SOCIETY,Vill. Kadamtala P.O. and Dist. JalpaiguriJalpaiguri735101,0.00
62,2013-2014,West Bengal,146920041,Amarkanan Sri Ramakrishna Sevadal Ashrama,Vill & PO-Amarkanan PS-Gangajal GhatiBankuraWest Bengal-722133,0.00
63,2013-2014,West Bengal,147000093,Ambagan Karmi Sangha,P.o.baliachakvill.subalchak Dist. HowrahWest Bengal -712416,0.00
64,2013-2014,West Bengal,147040443,Ambassadors Service Society,AT- PatharhuriPost-Binandapur Via-Kultikri S.D-KharagpurPaschim MedinipurWest Bengal-721135,7959415.00
65,2013-2014,West Bengal,147120610,Ambootia Welfare Trust,34A Metcalfe Street Kolkata West Bengal-700013,6509608.71
66,2013-2014,West Bengal,147000072,American Churches Of God Mission,Uluberia HowrahWb-711316,7267416.00
67,2013-2014,West Bengal,146920057,AMGORA ADIBASI MOHILA UNNAYAN SAMITY,Village-AmgoraP.O-KamalpurP.S-ChhatnaDist-BankuraBankura722137,0.00
68,2013-2014,West Bengal,147040521,Amjam Radhamadhab Social Welfare Society,Vill-Amjam PO-Kharika Mathani PS-NayagramKharagpurKolkataPaschim MedinipurWest Bengal-721159,609000.00
69,2013-2014,West Bengal,147040578,AMMORA SUSAMA JALAPRATAT,DEMIRIHATTAMLUK721668,0.00
70,2013-2014,West Bengal,147000060,Amoragori Juba Sangha,P.o. Amoragori P.s.amtaHowrah-711401.-,0.00
71,2013-2014,West Bengal,147000239,AMORAGORI VIVEKANANDA SAMAJ KALYAN SAMITY,VILLAGE AMORAGORI POST OFFICE AMORAGORI POLICE STATION JOYPUR DISTRICT HOWRAH WEST BENGAL PIN NUMBER 711401HOWRAH711401,0.00
72,2013-2014,West Bengal,147040520,Amritberia Palli Unnayan Sangha,Vill/PO-AmritberiaPS-Mahishadal Purba MedinipurWest Bengal-721628,0.00
73,2013-2014,West Bengal,147000106,Amta Seva Samity,P.o.amta Block -amtaHowrah --711401,0.00
74,2013-2014,West Bengal,147000005,Ananda Niketan,West Bengal - 711303   -,0.00
75,2013-2014,West Bengal,147120545,Ananda Shankar Centre For Performing Arts,11f Palm Avenue KolkataWB-700019,9132.00
76,2013-2014,West Bengal,147110594,Anandan,7B Mandeville Gardens Kolkata24 Parganas (South) West Bengal-700019,527850.00
77,2013-2014,West Bengal,147070038,Anandanagar Development Society,Anandanagar P.o.-Baglata P.S.- JaipurPuruliaWest Bengal.-723215,9091957.96
78,2013-2014,West Bengal,146920061,Anchuri Palli Unnayan Samity,3 Nutanganj P.o Dist BankuraBankura722101,0.00
79,2013-2014,West Bengal,146930027,Andrewspalli Centre For Integrated Development,Andrewspalli (w) Santiniketan Birbhum (west Bengal) -731235,0.00
80,2013-2014,West Bengal,147110976,ANDULPOTA MADRASAH RAHAMANIA JUNIOR,VILL.- ANDULPOTA P.O.- RAJENDRAPURBASIRHAT743291,0.00
