S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
41,2016-2017,Maharashtra,083781400,ADORE CHARITIES,FLAT NO 35 RATAN ABAD TUKARAM JAVJI ROAD OFF SLEATER ROADMUMBAI400007,45915.52
42,2016-2017,Maharashtra,083780800,Adorers Congregation Mumbai,Sisters Adorers Marol Maroshi Road Andheri (east)Mumbai (maharashtra)-400059,1369300.00
43,2016-2017,Maharashtra,083930378,Advanced Centre for Water Resources Develoment & Management,Plot No.4Lenyadri Co-operative  Housing SocietyPashan-Sus Rd PashanPuneMaharashtra-411021,4922199.27
44,2016-2017,Maharashtra,083780376,Aga Khan Health Service India,39/43nesbit Road Diamon Comp MazagaonMumbai 400010-,0.00
45,2016-2017,Maharashtra,083780374,Agakhan Education Service India,"2nd Floor Ancillary Building
39/43 Diamond Complex 
Nesbit Road MazgoanMumbai400010",19377213.00
46,2016-2017,Maharashtra,083870273,AGAPE GOBAL MINISTRIES,43 SANT GYANESHWAR COLONY MANKAPURNAGPUR440013,500530.00
47,2016-2017,Maharashtra,083780828,Agape Trust,11 Sujata Niwas Co.op. Society S.vroad Bandra (w)Mumbai Maharashtra-400050,442056.07
48,2016-2017,Maharashtra,083780302,Agnel Charities,(agnel Seva Sangh) Bandstand BandraMumbai-400050,8667134.75
49,2016-2017,Maharashtra,083810007,Agricultural Development Project Of Cni Diocese Of Nagpur,Naginbag Farm ChandrapurM.s.-,0.00
50,2016-2017,Maharashtra,083930017,Agricultural Development Trust,Dist.-poona Maharastra State -,226917.00
51,2016-2017,Maharashtra,083910075,Ahailya Bahuudeshiya Shikshan Prasarak mandal,Shree Nagar laturMaharashtra-413531,0.00
52,2016-2017,Maharashtra,083780505,Ahlulbayt (as) Foundation,Najafi House 159 Nishanpara Road Dongri MumbaiMaharashtra-400009,0.00
53,2016-2017,Maharashtra,083781088,Aids Combat International,2 Nandra Mansion Goraswadi Malad (W) MumbaiMaharashtra-400064,1138512.50
54,2016-2017,Maharashtra,083960077,Ajinkya Foundation Kupwad,Tal Miraj District Sangli House No. 1318 Nr Lal Jain MandirKupwad Sangli Maharashtra-416425,0.00
55,2016-2017,Maharashtra,083980083,Ajit Foundation,Wani Plot Agalgaon RoadBarshi Taluk413401,0.00
56,2016-2017,Maharashtra,083990045,Akhil Bhartiya Magasvarjiya Samaj Probo-,16 Prakash Apartment Katemanivali Kalyan (east)Thane -421306,0.00
57,2016-2017,Maharashtra,083781418,AKHIL BHARTIYA MAHILA PARISHAD DADAR MATUNGA BRANCH,SEVABHARTI  PLOT NO. 394 SHANKAR MATHAM ROAD MATUNGAMUMBAI400019,0.00
58,2016-2017,Maharashtra,083900080,Akhil Bhartiya Shri. Swami Samarth Gurupeeth,At.Po. Trimbkeshwar Dist. NashikTrimbkeshwar422212,1500.00
59,2016-2017,Maharashtra,083930494,Akhil Maharastra Education Society,203 Swagat Residency Kumbhare Town Ship Kotharud PunePune410038,0.00
60,2016-2017,Maharashtra,083781360,AKSHAR GYAN CHARITBABLE TRUST,505 Himalaya House 79 Patlon RoadMUMBAI400001,0.00
61,2016-2017,Maharashtra,083781439,AKSHARA FOUNDATION OF ARTS AND LEARNING,PLOT NO. 1 R.S.C 12 SECTOR-8 CHARKOP KANDIVALI WMUMBAI400067,197758.93
62,2016-2017,Maharashtra,083930408,Akshay Medical Trust,Shri Mangal BuildingS.N.10/A Unnati NagarHadapsar Rd.GaditalHadapsarPune Maharashtra-411028,0.00
63,2016-2017,Maharashtra,083990234,AKSHAYASHAKTI WELFARE ASSOCIATION,GALA NO B-15 PLOT NO 143 KSHITIJI CO OPERATIVE HOUSING SOCIETY PRABODHANKAR THAKRE NAGAR PAWAR NAGARTHANE400610,25069.00
64,2016-2017,Maharashtra,084010067,AL AMIN MULTIPURPOSE SOCIETY,Faiz Nagar Nagpur RoadYavatmal445001,2142090.00
65,2016-2017,Maharashtra,083850061,AL HAMD EDUCATION AND WELFARE SOCIETY,Raghunath Vihar AWHO K417 Sector 14 KhargharNavi Mumbai410210,0.00
66,2016-2017,Maharashtra,083750153,AL HUSSAIN EDUCATION SOCIETY,BUILDING NO -4-12-24 UNIZAMIA COLLONY  ROSHAN GATEAURANAGABAD431001,0.00
67,2016-2017,Maharashtra,083780281,Al Jamia Mahemedia Education Society, MumbaiMaharashtra-400008,110584575.04
68,2016-2017,Maharashtra,083780645,Al-Hamad Hospitals & Medical Research Foundation,C-611 Kailash Apartments 293bellasis RoadMumbai Maharashtra-400008,92499346.37
69,2016-2017,Maharashtra,083780098,Al-jamaiyatul Mohammadiah Al-khairiah,6/8-ahazrat Terrace Annexe Shaikh Hafizuddin MargbycllaBombay-400008,1144000.00
70,2016-2017,Maharashtra,083780493,Alimaan Charitable Trust,Najafi House 159 Nishanpada Road Dongri MumbaiMaharashtra-400009,234274084.21
