S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2016-2017,Jammu & Kashmir,152750032,AGAPE KASHMIR TRUST,SAVERA Opposite B ED College Pornibal Shivpura Batwara PostSrinagar190004,0.00
2,2016-2017,Jammu & Kashmir,152630004,ALL INDIA SECURITY COUNCIL,DEWAN BAGH D C OFFICE ROAD BARAMULLABARAMULLA193101,0.00
3,2016-2017,Jammu & Kashmir,152700001,ALL J AND K PASMANDA TABKA DEVELOPMENT WELFARE SOCIETY,HANDWARA KASHMIRKupwara193221,0.00
4,2016-2017,Jammu & Kashmir,152670037,BHARTIYA LOK SANGEET KALA SANSTHAN,4-124 Old SBI Lane Pamposh Colony JanipurJammu180007,0.00
5,2016-2017,Jammu & Kashmir,152670041,Bhartiya Shiksha Samiti,Narayan Bhawan ved Mandir Complex AmphallaJammu180001,0.00
6,2016-2017,Jammu & Kashmir,152680015,Border Area Development Organization Kargil,Akwoou Corpleu Main Rood Poyen KargilPoyen194103,0.00
7,2016-2017,Jammu & Kashmir,152670042,C.M.C SANTHOM SOCIAL SERVICE SOCIETY,CMC SANTHOM SOCIAL SERVICE SOCIETY-SECTOR-4 MARBLE ENCLAVE TRIKUTA NAGAR JAMMUJAMMU180020,0.00
8,2016-2017,Jammu & Kashmir,152750042,Care World,Lal Nagar Chanapora Near Bye-Pass BridgeSrinagar190015,0.00
9,2016-2017,Jammu & Kashmir,152750004,Catholic Social Service Society,Seva Niketan Kunjwani Bye Pass JammuJammu & Kashmir-,6371937.00
10,2016-2017,Jammu & Kashmir,152710036,Centre for Sustainable Development and Food Security in Ladakh,PO Box No.53 Serdung House Chubi-Leh Ladakh(Jammu and Kashmir)-194101,1999905.00
11,2016-2017,Jammu & Kashmir,152750028,CHILD NURTURE AND REIELF KASHMIR CHINAR Kashmir,Guru Lane Opposite Ply Emporium Barzulla SrinagarSrinagar190005,490623.00
12,2016-2017,Jammu & Kashmir,152710018,Child Welfare Society,P.B.No. 135 Leh LadakhJammu & Kashmir-194101,0.00
13,2016-2017,Jammu & Kashmir,152710014,Chumur Cultural And Welfare Society,Chumur Gompa  C/o Hotel Lingzi East Leh - LadakhJammu & Kashmir-194101,18479592.00
14,2016-2017,Jammu & Kashmir,152670024,CMI Service Society,Yesupal Ashram 7A Sector 4 Extn Trikutanagar JammuJammu and Kashmir-180012,0.00
15,2016-2017,Jammu & Kashmir,152750003,Dar-Ul- Fazl Childrens Home,P.O Box 54 Manali Dist: KulluHimachal Pradesh -175131,8353396.05
