S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2016-2017,Karnataka,094421365,A ROCHA INDIA,NO. 23 ANJENAYA STREET Y. G. PALYA AUSTIN TOWN BANGALOREBANGALORE560047,0.00
2,2016-2017,Karnataka,094630184,A. Shama Rao Foundation,13-2-116 Hotel Srinivas Building GHS Road MangaloreDakshina Kannada Karnataka-575001,0.00
3,2016-2017,Karnataka,094460022,A.R.A.L.U.,M.C Compound Kamthana BidarKarnataka.-585226,0.00
4,2016-2017,Karnataka,094421438,AASHRAYA SEVA TRUST,NO 135 1ST K BLOCK Dr RAJKUMAR ROAD RAJAJINAGARBANGALORE560010,346747.00
5,2016-2017,Karnataka,094421358,Aashwasan Foundation,#12 5th Main Grape Garden KammanahalliBangalore560084,285303.93
6,2016-2017,Karnataka,094421604,ABAI,No. 613 2nd Floor 1st Main 6th Sector HSR LayoutBangalore560102,0.00
7,2016-2017,Karnataka,094420715,Abala Ashraya Sangha,No.4B 4th Street Shivaji Nagar Bangalore Karnataka-560051,0.00
8,2016-2017,Karnataka,094420703,Abalashram,Dr.DVG Road Basavanowdi Bangalore Karnataka-560004,0.00
9,2016-2017,Karnataka,094630036,Abhaya Ashraya,Konaje Village Assaigoli Post  Mangaore Dakshina KannadaKarnataka-574199,328186.00
10,2016-2017,Karnataka,094640028,ABHIVRUDDI SOCIETY FOR SOCIAL DEVELOPMENT,"ABHIVRUDDI SOCIETY FOR SOCIAL DEVELOPMENT
 ABHYUDHAYA  2nd Cross Manjunathnagar Kyathasandra PostTUMKUR572104",0.00
11,2016-2017,Karnataka,094421514,ABILASHRAYAM TRUST,NO  373  2ND CROSS  MUNISWAMAPPA LAYOUT  OPP KODIGEHALLI RAILWAYSTATION  KODIGEHALLIBANGALORE560092,62282.00
12,2016-2017,Karnataka,094420574,Abilities (Resource Centre for Disabled Person),13-C 5th Main Jayamahal Extension BangaloreKarnataka.-560046,100233.00
13,2016-2017,Karnataka,094421009,Abundant Life for All Ministries,No.83 Alfa Centre Yelahanka near Palamahalli tankMarutinagarBangalore-560064,623605.00
14,2016-2017,Karnataka,094440063,Abyndaya Kendra,Gratia Plena Convent Santibastwad BelgaumKarnataka.-,262826.00
15,2016-2017,Karnataka,094420912,Academy For Severe Handicaps And Autism(Asha charitable Trust),CA# L-76/A(Opp.L-50)Kirloskar  ColonyHBCS3rd stageIV BlockBasveswarnagarBangaloreKarnataka-560079,375708.00
16,2016-2017,Karnataka,094421459,ACCION TECHNICAL ADVISORS INDIA,9-3 KAISER-E-HIND 1ST AND 3RD FLOOR RICHMOND ROADBANGALORE560025,56378144.00
17,2016-2017,Karnataka,094420006,Action Aid,P.O. No. 5406 No. 139  Richmond Road BangaloreKarnataka.-560025,0.00
18,2016-2017,Karnataka,094420611,Action Aid Karnataka Project,10/1 Bride St Long Ford Rd BangaloreKarnataka-560025,0.00
19,2016-2017,Karnataka,094420439,Action for Community Organisation Rehabilitation & Development,14/1 A North Road St. Thomas Town BangaloreKarnataka-560084,5786028.00
20,2016-2017,Karnataka,094570072,Action For Social & Education Development Association,Shivanilaya Fort Gauribindanur Kolar Karnataka-561208,988651.00
21,2016-2017,Karnataka,094400029,Action Initiative for Development  AID,Gowripura KyasenahalliPost Jagalur  Taluk577528,8740.00
22,2016-2017,Karnataka,094420535,Action on Disability and Development India,No 4005 19th Cross Banashankari 2nd StageBangalore560070,2774099.00
23,2016-2017,Karnataka,094570078,Action Society for Integral Development,Kumbarpet  BagepalliKarnataka-561207,0.00
24,2016-2017,Karnataka,094420010,Acts Ministries,54K.H.B. Colony. 2nd Cross Koramangala BangaloreKarnataka-560095,19275276.00
25,2016-2017,Karnataka,094421462,Acts of Hope,Lovedale layout Carmelaram Post KasavanahalliBangalore560035,1416405.13
26,2016-2017,Karnataka,094421198,Acts of Mercy,No.226 Wheeler Road Extension St. Thomas Town PostBangalore Karnataka-560084,430071.00
27,2016-2017,Karnataka,094421602,Adarane Charitable Trust,No. 732 2nd cross R K Hegade Nagara S K Nagara POBangalore560077,0.00
28,2016-2017,Karnataka,094420246,Adhyatama Vidyapeeth Institute of Spirituality,Carmelaram BangaloreKarnataka-560035,0.00
29,2016-2017,Karnataka,094420711,Adman Mutt Education Foundation,No.4 Sadashiva Nagar Bangalore Karnataka-560080,0.00
30,2016-2017,Karnataka,094440122,ADVISIDDESHWAR RURAL DEVELOPMENT SOCITY,VINAYAKA NAGAR BEHIND COURTBAILHONGAL591102,0.00
31,2016-2017,Karnataka,094420884,Agape Bible Fellowship,No. 3 Church Street LingarajapuramSt Thomas Town Post560084,4590909.51
32,2016-2017,Karnataka,094421174,Agape Leprosy Ministries India,Charitable and Education Trust KM 500 Behind St. Pious ChurchBangalore Karnataka-560084,294586.17
33,2016-2017,Karnataka,094420610,Agape Ministries India,No. 632 Erappa Layout Banaswadi Main Road BangaloreKarnataka.-560043,5643503.96
34,2016-2017,Karnataka,094421207,Agastya International Foundation,1st Floor 101 Varsav Plaza 12 Jaymahal RoadBangalore560046,75700278.00
35,2016-2017,Karnataka,094630168,Agency for Development Awakening and Rural Self Help Associations,Adarshadhama Vijayanagar 3rd Cross P O Box No 22 MoodbidriDakshina Kannada574227,0.00
36,2016-2017,Karnataka,094421039,Agni Raksha,Rosy Cottage58/113th Main` J.P.NagarI Phase BangaloreKarnataka-560078,13322493.00
37,2016-2017,Karnataka,094410003,Agricultural  Science Foundation,Hulkoti GadagKarnataka-582205,0.00
38,2016-2017,Karnataka,094570001,Agricultural Development and Training Society,ADATS Campus Bagepalli KolarKarnataka-561207,11667898.00
39,2016-2017,Karnataka,094420985,Aids Counseling CareEducation & Prevention Training(ACCEPT),245 KRC Road(next to Visthar)Dodda Gubbi Bangalore Karnataka - 560077Bangalore560077,3018885.71
40,2016-2017,Karnataka,094470047,Aids Jagruthi Mahila Sangha,Plot No.20 and 21 Apeksha Building Maruthi Colony Athani roadBIJAPUR586101,0.00
41,2016-2017,Karnataka,094420371,Aikya,76/75 IInd Main 41st Cross 8th Block Jayanagar Bangalore Karnataka-560082,800000.00
42,2016-2017,Karnataka,094420874,Aina  Trust,1487/B LNR Garden Karianapalaya St Thomas Town Post BangaloreKarnataka-560084,9257664.00
43,2016-2017,Karnataka,094570142,Aiswarya Kala Niketana,Rotary Bala Bhavan B. B. Road Chikkaballapura Kolar DistrictKarnataka-562101,0.00
44,2016-2017,Karnataka,094590210,Akhanda Seva For International Shanti,Cave Shiva Temple Chamundi HillsMysore570010,6347111.37
45,2016-2017,Karnataka,094420783,Akhila Bharat Mahila Seva Samajam,No.2 1st Floor2nd Cross N.K Palaya Sivaji Nagar BangaloreKarnataka-,40021693.79
46,2016-2017,Karnataka,094420987,Akshara Foundation,No 621 5th Main Road Near Axis BankOMBR Layout Banaswadi560043,41759129.00
