S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2016-2017,Kerala,052850309,A-1 Poor Fund Foundation Of India,Vattekkunnam Edappally Northo P.o. CochinKerala-682024,0.00
2,2016-2017,Kerala,052910194,Abhaya,Kerala   -,1622751.00
3,2016-2017,Kerala,052930215,Abhaya Bhavan Society,Tiruvalla Muthoor PathanamthittaKerala  - 689 101-,0.00
4,2016-2017,Kerala,052960033,ABHAYAM CHARITABLE TRUST,SHELTER FOR DESTITUTE WOMEN MEN AND CHILDREN VADAKKUM BHAGOM ERAVIPURAM POKOLLAM691011,986531.00
5,2016-2017,Kerala,052910230,Ability Aids India International,5-B Windsor Mansions  Kuravankonam695003,6333995.69
6,2016-2017,Kerala,052910343,Action council Vellarada,ACL Building Vellarada TrivandrumKerala-695505,250000.00
7,2016-2017,Kerala,052850473,Adarsh,17/298Anchari Madam Elamana Road TripumithuraKochi-Kerala-682301,578350.00
8,2016-2017,Kerala,052880159,Adhwana Kerala Forum of Partners in Functional Vocational Training,HOUSE NO. 1/1188A KOYON HOUSE KODUVALLY VAYAL WEST HILL POKOZHIKODE673005,1771410.00
9,2016-2017,Kerala,052870358,ADIVASI DALIT WOMEN EMPOWERMENT STUDY CENTRE,CENTADS BUILDING I 34 MELUKAVUMATTOM P O  MELUKAVUKOTTAYAM686652,13127965.00
10,2016-2017,Kerala,052870169,Adoration Congn Provincial House,SANGIOVANNI ADORATION PROVINCIALATE ADORATION CONGN PROVINCIAL HOUSE KUNNAMBHAGAM KANJIRAPPALLY-686507KANJIRAPPALLY686507,0.00
11,2016-2017,Kerala,052870205,Adoration Congregation,Rita Bhavan Koothrapally P.o.Kottayam-686 540-,1205494.94
12,2016-2017,Kerala,052850072,Adoration Generalate Cenacle,U.c. College Aluva P.o.Ernakulam -683 102-,462506.48
13,2016-2017,Kerala,052870123,Adoration Monastery, Chelacombu P.o. NedumkunnamKottayam -686 540-,351591.00
14,2016-2017,Kerala,052850203,Adoration Novitiate Convent,Thrikkakana Po Kochi ErnakulamKerala-682021,0.00
15,2016-2017,Kerala,052960014,Adorers Womens Welfare Kerala,Sisters of Adorers Infant Jesus Convent Moothakara KollamKerala-691013,983027.00
16,2016-2017,Kerala,052870329,Adorno CRM Society,Adorno AshramMallikassery Poovarany KottayamKerala-686577,18847911.49
17,2016-2017,Kerala,052850287,Agape Child Centre,West Vengala PerumbavoorErnakulam-,7680669.00
18,2016-2017,Kerala,052930225,Agape India Gospel Outreach Ministries,Agape Rock Hill Thumpamon P.O   PathanamthittaKerala-689505,1208795.00
19,2016-2017,Kerala,052960013,Agape Indians Ministries,Plavila House Anayam Anakottoor PO Kottarakara Kollam Dist.Kerala-691516,4464802.15
20,2016-2017,Kerala,052930214,Agency For Dev.of Oppressed Rel.& Edu.,(adore) Sakshya Sadan Podiyatuvila ValakomKollam - 691 021-,198386.00
21,2016-2017,Kerala,052900367,AHALIA INTERNATIONAL FOUNDATION,AHALIA ARCADE KURUPPAM ROADTHRISSUR680001,0.00
22,2016-2017,Kerala,052890084,Al Hidaya Islamic Charitable Trust,Hidaya Nagar Kombam P.O. Kodakkad Mannarkkad PalakkadKerala-678583,0.00
23,2016-2017,Kerala,052880029,Al Islam Charitable Trust,Dayapuram  Post- R. C. College Calicut  Kerala-673601,0.00
24,2016-2017,Kerala,052950084,AL SALAMA EYE RESEARCH FOUNDATION,AL SALAMA EYE HOSPITAL HOSPITAL ROADPERINTHALMANNA679322,0.00
25,2016-2017,Kerala,052880136,Al- Huda Islamic Cultural Estt. And  Ainual  Huda Orphanage,Kappad P. O.  Chemanchery (via) Kozhikode Kerala -673620,500.00
26,2016-2017,Kerala,052810109,Al-mu-assasthul Islamiya Trust,Al-islamiya Nagar Arattupuzha North P.o.Alleppey Kerala-,0.00
27,2016-2017,Kerala,052920002,Al-mujammaul Islami,Door No: 3/897 Neelambam TrikarpurKasargod (kerala)-671310,358001.00
28,2016-2017,Kerala,052870274,All India Daiva Sabha, Chingavanam P.o.Kottayam - 686 531-,0.00
29,2016-2017,Kerala,052850183,All Kerala Association For The M Rtd, Murinjapalam Med.college P.o.Trivandrum - 695 011-,1550406.75
30,2016-2017,Kerala,052900146,All Saints Social Cen For P.h.child/wom, PullurThrissur -680 683-,0.00
31,2016-2017,Kerala,052930156,Alliance Educational Foundation,Kottayam D KeralaVia Chengannur-,2947288.91
32,2016-2017,Kerala,052950088,ALMAS MEDICAL EDUCATIONAL AND CHARITABLE TRUST,CHANGUVETTY KOTTAKKAL P.OKOTTAKKAL676503,0.00
33,2016-2017,Kerala,052900371,ALPHA CHARITABLE TRUST,9/340 P.O. EDAMUTTAM VALAPPAD PANCHAYATH CHAVAKKAD THALUK THRISSUR DISTRICT KERALATHRISSUR680568,0.00
34,2016-2017,Kerala,052940067,Alphonsa Social Service Society,Alphonsa Hospital MurickasseryIdukki-Kerala-685604,0.00
35,2016-2017,Kerala,052850548,ALUVA JANASEVA,POST BOX NO 107 Near UC COLLEGE ALUVAALUVA683102,2391772.88
36,2016-2017,Kerala,052900137,Alverina Provincial House,Chalakudy TrichurKerala-680307,3701100.00
37,2016-2017,Kerala,052900327,Alzhemer's & Related Disorders Society Of India,Guruvayoor Road Kunnamkulam  ThrissurKerala-680503,780916.00
38,2016-2017,Kerala,052900181,Amala Bhavan,P.o.amala Nagar  Thrissur - 680 553-,0.00
39,2016-2017,Kerala,052900227,Amala Cancer Hospital Society,Trichur Dt Kerala -,729886.00
40,2016-2017,Kerala,052900079,Amala Cancer Research Centre Society, Amala Nagar P. O.Thrissur 680553-,65369.00
41,2016-2017,Kerala,052870197,Amala Nilayam,Keezhukunnu Collectorate Po KottayamKerala-686002,0.00
42,2016-2017,Kerala,052870071,AMALA PROVINCE OF CONGREGATION OF MOTHER OF CARMEL,Little Flower Convent Parathodu KanjirapallyKottayam - 686 512-,2180461.00
43,2016-2017,Kerala,052850482,Amalambika Trust,Amalambika Convent Vaduthala Post Boat Jetty RoadErnakulam Kerala-682023,376122.00
44,2016-2017,Kerala,052850549,AMALOTHBHAVA ASHRAYA BHAVAN,AYYAMPUZHA P.O.ANGAMALY683581,308525.00
45,2016-2017,Kerala,052830088,Anand Ashram Trust, KannurKerala-,11400416.77
46,2016-2017,Kerala,052980136,Anand Matha Ashram Of The Cistercian Order,Kunnambetta P OWayanad673123,293063.00
47,2016-2017,Kerala,052890040,Ananda Bhavan,Malampuzha PalghatKerala-678651,668808.00
48,2016-2017,Kerala,052870152,Ananda Bhavan Orphanage,Aruvithura Po KottayamKerala-686122,0.00
49,2016-2017,Kerala,052830001,Ananda Bhavan Social Centre,Kolithattu Po Kannur.Kerala-670706,0.00
50,2016-2017,Kerala,052910393,ANANNIA,"Chilla
Mundakkal
Karakulam P.O
Thiruvananthapuram- 695564Thiruvananthapuram695564",1299000.00
51,2016-2017,Kerala,052880083,Ancillae Institute, ThiruvnmbadyKozhikode - 673 603-,2064794.00
52,2016-2017,Kerala,052830137,Angadi Kadavu Don Bosco Society,Angadikadavu - P.o. District-   KannurKerala-670706,0.00
53,2016-2017,Kerala,052830048,Angalalayam Social Centre,Aripampra Thiruvattoor KannurKerala-670141,0.00
54,2016-2017,Kerala,052850554,Angamaly Don Bosco Society,Don Bosco Central SchoolAngamaly683572,144669.00
55,2016-2017,Kerala,052900254,Angelo Bhavan Orphanage, Venginissery P.o. ParalamTrichur - 680 575-,0.00
56,2016-2017,Kerala,052910321,Anil's Global ministries for the Eternal Life,P.B.No. 420 TC-1219 H.No. 2 Aswathy ThycaudTrivandrum Kerala-695014,0.00
