S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
55,2016-2017,Goa,271830017,Pastoral Institute St. Pius X(Maintenance, IlhasOld Goa-,0.00
56,2016-2017,Goa,271830027,Patoral Institute St. Pius X (Masses), Tiswadi Old Goa-403402,53432.00
57,2016-2017,Goa,271830005,Peaceful Society,Kundai PondaGoa-403408,0.00
58,2016-2017,Goa,271830001,Pilar Seminary Society, PilarGoa-403203,48019214.00
59,2016-2017,Goa,271830131,Pilar Sisters Association,Orago Loutolim  Salcette Goa-,160379.60
60,2016-2017,Goa,271830132,Positive People,H. No. 357 PirazonaMoira403507,0.00
61,2016-2017,Goa,271810012,Prateek Menezes Memorial Foundation,3rd Floor DTC Building EDC Complex Patto PlazaPanjim403001,2960308.00
62,2016-2017,Goa,271830147,Presentation Society,Presentation ConventMangor Hill Vasco Da Gama South GoaGoa-403802,10116273.00
63,2016-2017,Goa,271830095,Quepem Salesian Society, Prem NagarQuepem-403705,0.00
64,2016-2017,Goa,271830062,Rachol Seminary,Rachol Salcette Goa-,2902568.00
65,2016-2017,Goa,271830091,Rosa Mystica Society,Aldona Bardez Goa-403508,0.00
66,2016-2017,Goa,271820001,Sangath,House No 451 168 Bhatkar Vaddo Socorro Porvorim BardezBardez403501,86419374.19
67,2016-2017,Goa,271830028,Seminary of Our Lady,Saligao BardezGoa-403511,1117114.00
68,2016-2017,Goa,271820008,SETHU,House No 640/2 Shri Sai Ashiyana PorvorimBardez403501,4123373.30
69,2016-2017,Goa,271810008,SEVA TRUST,VADDY NEAR MARUTHI TEMPLE MERCESGOA403005,90000.00
70,2016-2017,Goa,271830160,SHALOMLIFE MINISTRIES TRUST,Penta 4CE Solutions F 13 1st Floor Alfran Plaza Next to Don Bosco High School Opp Weekender Show RoomPanjim403001,0.00
71,2016-2017,Goa,271820004,SHANTI NIWAS SOCIAL WELFARE SOCIETY,51/B OlaulimCarona P.O.403523,10000.00
72,2016-2017,Goa,271830164,Shree Saunsthan Nagesh Maharudra,Nageshi BandoraPonda403401,0.00
73,2016-2017,Goa,271830086,Sisters Of Mary Immacu. Of Bishop Morrow - Agonda,Agonda P.O Canacona  Taluk Goa-403702,0.00
74,2016-2017,Goa,271830044,Society  of Pilar - Sanguem Region,h.No.: 12/3664 padre agnel bhavan st joaquim road bordamargoa403601,456350.00
75,2016-2017,Goa,271830154,Society for youth Development,Sanjeevan Buildidng Near Bandora Panchyat Buldg NagueshiPonda Goa403003,0.00
76,2016-2017,Goa,271830045,Society Of Daughters Of Heart Of Mary, PanjiGoa-,0.00
77,2016-2017,Goa,271830032,Society of Daughters of St. Paul, PanjimGoa.-403001,0.00
78,2016-2017,Goa,271830144,Society of Franciscan Sisters of Immaculate Conception,House No 918/B Grande Rumbordem CurtorimSalcete403709,0.00
79,2016-2017,Goa,271830068,SOCIETY OF FRANCISCAN SISTERS OF MARY, Dona PaulaGoa-403004,0.00
80,2016-2017,Goa,271830002,Society of Pilar, PilarGoa-403203,547307.00
81,2016-2017,Goa,271830038,Society Of Poor Sisters Of Our Lady, AssonoraBardez-,0.00
82,2016-2017,Goa,271830010,Society Of Sisters Of St. Alex Convent, CalanguteBardez-,3806752.70
83,2016-2017,Goa,271830075,Society Of The Sisters Of the Holy Cross, BastoraBardez-,0.00
84,2016-2017,Goa,271830098,Socy Of H.C. Srs Romanso Mat. Nursing Home,  Bardez -403513,0.00
85,2016-2017,Goa,271830060,St.  Anthony's  Institute  & Orphanage,Duler BardezGoa-,0.00
86,2016-2017,Goa,271830051,St. Joseph's Boys Home Society,Calangute BardezGoa-403516,928858.00
87,2016-2017,Goa,271830061,St. Teresa's Carmel, XettiawadoBardez-403509,0.00
88,2016-2017,Goa,271830034,ST.Francis  Xavier's Ashram,Raia SalceteGoa-403720,0.00
89,2016-2017,Goa,271830050,St.Joseph Home For The Aged, SiolimBardez -403517,0.00
90,2016-2017,Goa,271830162,SUPPORT A CHILD IN NEED SACHIN TRUST,PINTO CHAMBERS S - 2 MENEZES BRAGANZA ROADPANAJI403001,2048140.00
91,2016-2017,Goa,271830163,TENDER HEART FOUNDATION,NO  142  8  GREEN VALLEYCHICALIM  POST  VASCO403711,3038612.27
92,2016-2017,Goa,271830110,The Assagao Pallotine Sisters Institute,223 Mazalwaddo BardezGoa-403507,1218163.00
93,2016-2017,Goa,271830030,The Assagao Pallottine Society,Assagao  BardezGoa-,8334093.29
94,2016-2017,Goa,271830031,The Assagao Pallottine Society, Chicalim Goa-407711,6087755.00
95,2016-2017,Goa,271820003,The Dominican Fathers(Goa) Society,Dominican Fathers 350 Pirazona  Moira Bardez Goa-403507,2334892.00
96,2016-2017,Goa,271830087,The Fatorda Salesian Society,FatordaMargao403602,0.00
97,2016-2017,Goa,271830118,The Goa Xavier Company Private Ltd,Loyala High School  P.B. No-79 MargaoGoa -403601,1937173.25
98,2016-2017,Goa,271810002,The Panjim Salesian Sociesty,DonBosco High School Panjin Distt. Ilhas Tiswadi Goa-403001,0.00
99,2016-2017,Goa,271830106,The Society of the Franciscan Hospitaller Sisters of Immaculate Conception,Margao Goa -403601,788007.69
100,2016-2017,Goa,271830089,Thomas Stephens Konkani Kendra,B.B.Borkar Road Alto Porvorim Goa-403521,0.00
101,2016-2017,Goa,271830033,Training Cum Prod. Centre For Handicapped,Kadamba Road Old Goa -403402,0.00
102,2016-2017,Goa,271830094,Trust Of Nano Nagle School,Bon Jesus Basilica MargaoGoa -403601,112280.00
103,2016-2017,Goa,271810003,Tuem Salesian Society,Don Bosco Boys' Home Tuem PernemGoa.-403512,0.00
104,2016-2017,Goa,271830006,Uccassaim Salesian Society,Bastora  BardezGoa-,951903.00
105,2016-2017,Goa,271830037,Vivian Nivas Charitable Society,Porta Vaddo SiolimBardez-,523856.47
106,2016-2017,Goa,271830004,Xavier Centre Of Historical Research, Alto PorvorimGoa -403521,0.00
107,2016-2017,Goa,271830148,Young Mens Christian Association Panjim,3rd floor Confrarias Bldg. Jose Falcao Road Panjim NorthGoa-403001,0.00
