S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2015-2016,Bihar,031090088,A FUTURE OF CHILDREN IN BODHGAYA SOCIETY,VILL-DURGAPURMONIA P.O-BODHGAYADIST-GAYABODHGAYA824231,1325581.00
2,2015-2016,Bihar,031250022,AADHUNIK KRISHI VIKAS SANSTHAN,AT - HOTEL MAYUR MARKET DUMRAON ROAD BIKRAMGANJ DISTRICT - ROHTAS BIHAR - 802212BIKRAMGANJ802212,0.00
3,2015-2016,Bihar,031140061,Aakanksha Seva Sadan,At- Maidapur Chaubey Post-Kharuana dih Via-Patahi MuzaffarpurBihar-843113,554330.00
4,2015-2016,Bihar,031290090,Abala Sewa Ashram,At & PO -Khajouji MadhubaniBihar.-847228,0.00
5,2015-2016,Bihar,031240012,Abdul Qayum Ausari Audyogik Vidy. S. PRK,Bhagalpur  Bihar  -,0.00
6,2015-2016,Bihar,031170448,ABHA,Road No-20Rajiv NagarPatna800024,0.00
7,2015-2016,Bihar,031270011,Abha Christian Social Welfare Society,Chanpatia West Champaran Bihar  -845449,951021.00
8,2015-2016,Bihar,031290031,Abhigyan Disha,P.O. Narhi Via-Kaluahi Madhubani Bihar -847222,1638195.00
9,2015-2016,Bihar,031300022,ABHILASHA PARIWAR SWYAMSEVI SANSTHA,Mirchaibari Katihar Distt. - KatiharKatihar854105,0.00
10,2015-2016,Bihar,031140030,Abhinandan,N.H.28 Bhagwanpur Muzaffarpur Distt   Bihar  -,0.00
11,2015-2016,Bihar,031170097,Abhiyan,Barai Bhawan Birsa Adivasi ColonyGulzarbagh Patna800007,2999448.59
12,2015-2016,Bihar,031180022,Abul Hasan Ali Educational and Welfare Trust,Madrasa Rauzaatulmaarif Aziz  Nagar Ufrail P.o.Khokha Dist. PurneaBihar.-,1166303.20
13,2015-2016,Bihar,031170491,ACTION FOR COMMUNITY EMPOWERMENT SOCIETY SAMITI,HOUSE NO. - 146 ROAD NO. - 2 G.D. MISHRA PATH NEW PATLIPUTRA COLONY PATNA - 800013 (BIHAR)PATNA800013,0.00
14,2015-2016,Bihar,031080007,Action for Community Organisation & Rural Development,St. Xavier's Campus  Ghoushala Road KhagariaBihar.-851204,0.00
15,2015-2016,Bihar,031170309,Action for Development of Demos (ADD),East Indira Nagar Road no.-5 PO.O. -Lohiya Nagar KankarbaghPatna-,385023.89
16,2015-2016,Bihar,031040025,Action for Social Change,At-PO-Kanhauli Via- MahuaVaishali-Bihar-844122,0.00
17,2015-2016,Bihar,031170307,Adarsh Divya Vikas,202P.V. Complex West Boring Canal Road PatnaBihar.-800001,0.00
18,2015-2016,Bihar,031290105,Adarsh Mahila Mandal Laddugama,Vill-LaddugamaP.O-AgaiVia-JogiyaraDistt.-MadhubaniMadhubani847303,0.00
19,2015-2016,Bihar,031330009,Adarsh Mahila Shilp Kala Kendra,Tajpur Road Distt. SamastipurBihar -,0.00
20,2015-2016,Bihar,031140097,Adarsh Sarvodaya Vikas Sansthan,Line no.3Adarsh Nagarmajhualiyapost khabraMuzaffarpur842001,0.00
21,2015-2016,Bihar,031380035,ADARSH SEVA SANSTHAN,VILL PO RAJOPATTISITAMARHI843302,0.00
22,2015-2016,Bihar,031170126,Adarshila Gramin Vikas Sansthan,Kailashpuri Hanuman Nagar  Patna Bihar  -800020,0.00
23,2015-2016,Bihar,031270020,Adhar,Rajguru Chowk P.O. Bettiah West Champaran Bihar  -845438,0.00
24,2015-2016,Bihar,031170089,Adhunik Mahila Vikas Samiti,At. P.O. Rupas (Barh) Patna Bihar  -803211,0.00
25,2015-2016,Bihar,031240035,ADI SANATAN INSTITUTE OF BIOFORCE IMPROVEMENT AND RESEARCH ( AIBI RESEARCH ),MAHARAJA HATAARAARA802301,0.00
26,2015-2016,Bihar,031170047,Adithi,Er. K P Singh IAS Colony West of Nahar Off Bailey RoadDanapur,6160297.00
27,2015-2016,Bihar,030950028,AIM OF PEOPLE,MADHWAN NAGAR ROAD NO.-4 KAKO ROAD JEHANABADJEHANABAD804417,0.00
28,2015-2016,Bihar,031250008,Akhil  Bhartiya Sikshit Benasagar Yuva Kalyan Sansthan,Nokha Distt. Rohtas Bihar -,0.00
29,2015-2016,Bihar,031300023,Akhil Bhartiya Gramin Vikas Parishad,At. Naraynpur P.O-MukuriyaKatihar854317,0.00
30,2015-2016,Bihar,031140039,Akhil Gramin Yuva Vikash Samiti,A.T.- Mani Fulkahan Post- Rakesha  Vai- Kanti Distt.- Muzaffarpur Bihar  -843109,98600.00
31,2015-2016,Bihar,031360027,Akshaywat Seva Sansthan,Bhikham Pur P.o.-Rupow Distt.-NawadaBihar-805107,0.00
32,2015-2016,Bihar,031180036,AL AMAN EDUCATIONAL SOCIETY,VILLAGE MIRJABARI PO BETUNAPURNEA854330,8357418.44
33,2015-2016,Bihar,031280029,AL AMEEN EDUCATIONAL AND WELFARE TRUST,VILLAGE SISWA P.S. AND ANCHAL BANJARIAMOTIHARI845401,0.00
34,2015-2016,Bihar,031390019,al belal social and educational welfare society,vill bagaha nizamat po thawegopalganj841440,0.00
35,2015-2016,Bihar,031170515,AL HIND EDUCATIONAL AND WELFARE SOCIETY,MANDAI PATTHER KI MASJID DARGAH ROAD PO-MAHENDRUPATNA800006,10000.00
36,2015-2016,Bihar,031390016,Al-Helal Welfare Society  for Education  &  Social  Services,AT-Semra P.O. Thawe  Dist.-Gopal GanjBihar.-341440,0.00
37,2015-2016,Bihar,031170389,Al-Mahad Trust,Qazi Nagar Phulwari SharifPatna801505,754074.04
38,2015-2016,Bihar,031300021,Alhilal Educational Society,Hajipur P.O. Box. No. 22Katihar854104,0.00
39,2015-2016,Bihar,031170478,ALL INDIA MUSLIM YOUTH MAJLIS,At. Phulwari Kothi Sabzibagh DariyapurPatna800004,0.00
40,2015-2016,Bihar,031170509,ALL INDIA SIDDHI GANGA FOUNDATION,G1 JAGAT ENCLAVE  POST OFFICE ASHIANA NAGARPATNA800025,0.00
41,2015-2016,Bihar,031140023,Alpa Samkaak Avam Harijan S.K. Kendra,Data Kambal Shah Road Distt. Muzaffarpur Bihar 1`  -,0.00
42,2015-2016,Bihar,031080010,Alpsankhyak Uthan Evam Kalyan Samity,Ward No.11 Jaiprakash Nagar Khagria Bihar -851204,0.00
43,2015-2016,Bihar,031380036,AMAR TRISHALA SEVA ASHRAM,AT PO SHIRKHIRIYA  VIA RAMPURHARIRUNNI SAIDPUR843117,0.00
44,2015-2016,Bihar,031170570,AMBIKA UTHAN SEVA ASHRAM,AT KARSA BIKRAMPATNA801104,0.00
45,2015-2016,Bihar,031040032,Amod Prabodhi Seva Sansthan APSS,Chandra Mangal Bhawan Prabodhi NarenderHajipur844125,0.00
46,2015-2016,Bihar,031000005,Amrita Kalyan  Samiti,Liladharpur . P.O.ParsiaBuxarBihar-802111,0.00
47,2015-2016,Bihar,031060032,ANCHOR HUMAN WELFARE SOCIETY,C/O SANOBAR APARTMENT NEAR MADRASA FAIZULULOOM AT FAIZABAD PO BAURAM VIA BIRAUL PS JAMALPUR BLOCK GORA BAURAM DISTRICT DARBHANGAGORA BAURAM847203,0.00
48,2015-2016,Bihar,031170541,ANIRUDH SEVA SANSTHAN,JANKI KUNJ MOHANPUR PUNAICHAKPATNA800023,0.00
49,2015-2016,Bihar,031230021,Antyaj Sewa Samiti,Rasulpur ChainwaSaran-Bihar-841204,0.00
50,2015-2016,Bihar,031270036,Antyodaya  Lok Karyakram (Alok),At.Bahuarwa P.O.Majharia Via JagdishpurDistt. West Champaran Bihar-845459,0.00
51,2015-2016,Bihar,030880003,Anugrah Karya Vridhi Kalyan Sanstha,At Chakiya Kudra PO KudraKudra  Kaimur821108,1239097.00
52,2015-2016,Bihar,031200011,Anusuchit Jati/Anusuchit Janjati Kalyan Samiti,Kanp PO Kanp Sour Bazar SaharsaBihar-,0.00
53,2015-2016,Bihar,031090091,AOZORA CHILDREN EDUCATIONAL WELFARE TRUST,VILLAGE BAKROARBODHGAYAGAYA824231,1063559.50
54,2015-2016,Bihar,031300015,Aprajita,Officers Colony Mirchai Bari KatiharBihar-854105,0.00
55,2015-2016,Bihar,031170055,Arpan Gramin Vikas Samity, PatnaBihar-801108,0.00
56,2015-2016,Bihar,031350024,Arpan Lokayatan Sansthan,Vill.+Post-Panjawar P.S.- Raghhunathpur Dist.-SiwanBihar.-841509,0.00
57,2015-2016,Bihar,031170498,ARPAN SEWA SANSTHAN,Roy Niwas N/3 Tilak Nagar Chitragupta Nagar P.O.-Lohia Nagar Kankarbagh PatnaPatna800020,0.00
58,2015-2016,Bihar,031290013,Arunofyog Rachnatmak Parishad,Jhanjharpur MadhubaniBihar-,0.00
59,2015-2016,Bihar,031350028,Asadullah Foundation,At Chanp House Chanp P.o- ChanpSiwan841241,0.00
60,2015-2016,Bihar,031170264,Ashirwad Foundation,G-1P.C.Colony Ke-ankar BaghPatna-Bihar-800020,0.00
61,2015-2016,Bihar,031170281,Ashray Asthali Seva Sharam,At Chinta Niwas Purandarpur Girja Path Post G.P.O. PatnaPatna Bihar-800001,0.00
62,2015-2016,Bihar,031170139,Asian Development Research Institute,BSIDC Colony  Off Boring Patliputra RoadPatna800001,19055253.00
63,2015-2016,Bihar,031170486,ASIAN SCIENCE AND TECHNOLOGY DEVELOPMENT ORGANISATION,AT - ASHIANA DIGHA ROAD NEAR C.R.P.F. CAMP PATNA DISTRICT - PATNA STATE - BIHAR PIN CODE - 800025PATNA800025,0.00
64,2015-2016,Bihar,031270006,Assemblies of Godmission,Bettiah West ChamparanBihar-,890496.00
65,2015-2016,Bihar,031170050,Association  for Social Engineering Recruitment & Training,143-DS.K. Puri Patna Bihar  -,0.00
66,2015-2016,Bihar,031090063,Association For Buddhist Circuit Development,In front of thai Temple Bodhgaya Distt.- GayaBihar-824231,0.00
67,2015-2016,Bihar,030940028,Association for Sarva Seva Farms,Vill Darima Post Gadi Bishanpur PS KhairaJamui811317,0.00
68,2015-2016,Bihar,031170354,Association for Social Research and Action,104 M.E. ApartmentK.M. Singh Lane East Boaring Canal Road PatnaBihar-800001,371201.00
69,2015-2016,Bihar,031170223,Assssociation for Promotion of Creative Learning,Creativity Enclave Nargada Shiwala RoadDanapur,5134738.00
70,2015-2016,Bihar,030940004,Astha Gram Sewa,By Pass Road JamuiBihar-811307,0.00
71,2015-2016,Bihar,031130002,Atma Rojagari Mahila Samiti Seva,P.O. Haveli Kharagpur Dist: MungerBihar-811213,0.00
72,2015-2016,Bihar,031040008,Aulia Adhyatmik Anusandhan Kendra,Aulia Darbar Pauni  HasanpurDistrict- Vaishali Bihar -844123,0.00
73,2015-2016,Bihar,031090041,Avidya Vimukti Sansthan,Vil. Masitpur P.O. Bodhgaya Dist: GayaBihar-824231,0.00
74,2015-2016,Bihar,031170340,Avinav Niketan,811 Jagat Trade Centre Fraser Road PatnaBihar.-800001,0.00
75,2015-2016,Bihar,031170315,Awadesh Singh Vikas Sanstan,Mirjapur NohtaStation Road Fatuha PatnaBihar.-803201,0.00
76,2015-2016,Bihar,031090045,Awakening Special Universal Education,Pachhati  GayaBihar-824231,22128811.00
77,2015-2016,Bihar,031390004,Ayodhya Lal Kalyan Niketan,P.O.-  Sapha Sbha  Bazar Via- Nechua JalalpurDistt. Gopalganj Bihar -841503,0.00
78,2015-2016,Bihar,031170023,Ayub Urdu Girls High School Cum Inter College,Lal Bagh Patna Bihar  -800006,59800.00
79,2015-2016,Bihar,030910003,Azad India Foundation,Azad Manzil Line MohallaKishan Ganj-Bihar-855107,0.00
80,2015-2016,Bihar,031200022,B P MANDAL YUVA CLUB,VILLAGE- SATTAR PO- SATTAR PS- BIHRASAHARSA852124,0.00
81,2015-2016,Bihar,031130032,Baba Baidyanath Balika Mookbadhir VidhayalaMunger,Head Office Ghoshi Toala  Munger Bihar  -811201,0.00
82,2015-2016,Bihar,031140110,BABA GARIB NATH VIKLANG SAH JAN SEVA SANSTHAN,KALAMBAGH CHOWKMUZZAFARPUR842001,0.00
83,2015-2016,Bihar,030880009,BABU BUDHAN SEVA SANSTHAN,AT- KARMA PO-KUDRAKAIMUR821108,0.00
84,2015-2016,Bihar,031170495,baidyanath foundation,makhania kuan road near maszid patnapatna800004,0.00
85,2015-2016,Bihar,031380026,BAJRANG YUVA SANSTHAN,VILL. YADUPATTI P.O. YADUPATTI BAZAR P.S. PUPRI VIA CHORAUTSITAMARHI843319,0.00
86,2015-2016,Bihar,031300011,Bal Mahila Kalyan Vikas Ashram,Officers Colony Mirchai Bari Katihar Bihar  -845105,0.00
87,2015-2016,Bihar,031170484,BALAJEE SEWA SANSTHAN,VILLAGE AND P.O.- RAILEE BARDH PATNAPATNA803221,182094.00
88,2015-2016,Bihar,031170171,Balaji Uthan Sansthan,Uma Complex Frasen RoadPatna Bihar -800001,0.00
89,2015-2016,Bihar,031170082,Balsakha Janata Rest House,Road No.2 Plot No.31 Sri Krishna NagarPatna Bihar -800001,11077185.76
90,2015-2016,Bihar,031280012,Bashinul Hoda Islahul Muslemin Welfare  Society,Nakchhea Tala East ChamparanBihar ` -,0.00
91,2015-2016,Bihar,031170194,Bateshwar Seva Sansthan,Road No. 1 House No. 30 Shivpuri P.O.-Shastri NagarPatna Bihar-800023,0.00
92,2015-2016,Bihar,031060021,Batohi Samaj Seva Sansthan,AT+Post-Baghant P.S.Manigachi Dist-DarbhangaBihar.-847422,0.00
