S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2015-2016,Nagaland,164780015,AGAPE YOUTH WELFARE ORGANISATION (AYWO),TOURIST COLONY POST BOX- 20WOKHA TOWN797111,0.00
2,2015-2016,Nagaland,164740006,Akhoia Village Farmer Society,Akhoia Village MokokchungNagaland.-,0.00
3,2015-2016,Nagaland,164730021,Anma Integrated Development Association,P.Box No.40 DimapurNagaland-797112,35382492.51
4,2015-2016,Nagaland,164730083,Asia Evangelistic Fellowship,PO Box - 111 2  1/2 Mile Near Kin School DimapurNagaland-797112,3110104.66
5,2015-2016,Nagaland,164730145,Asia Soul Winners,Hospital ColonyKOHIMA797001,5089276.38
6,2015-2016,Nagaland,164730095,Bethesda Ministries,Walford Road Dimapur Nagaland -797112,0.00
7,2015-2016,Nagaland,164730060,Bethesda Youth welfare Centre,Post Box -3194-Duncan Basti DimapurNagaland-79712,3189469.40
8,2015-2016,Nagaland,164740012,Care and Support Society,Post Box No 65Mokokchung798601,0.00
9,2015-2016,Nagaland,164730067,Care-Centre for Environment and Rural Poor,Post Box # 416United North Block Sector-BA-Mao ColonyBurma CampKK RoadDimapur Nagaland.-797112,0.00
10,2015-2016,Nagaland,164730094,Carmel Bhawan,P.B.68 Dimapur Nagaland -797112,4423790.00
11,2015-2016,Nagaland,164770002,Chakhesang Baptist Church Council, T.ChikhariPfustero-797107,84245.83
12,2015-2016,Nagaland,164730170,CHERRY BLOSSOMS SOCIETY,LIERIE CHAZOU POST BOX 658 HOUSE NO.161KOHIM797001,0.00
13,2015-2016,Nagaland,164760008,CHING LEN FOUNDATION,ADC COLONY TOMPANG WARD NO 10MON798621,0.00
14,2015-2016,Nagaland,164730017,Clark Theological College,Aolijen MokokchungNagaland-,9900904.64
15,2015-2016,Nagaland,164730139,Clivia Welfare Society,H.No. 21 Padum Pukhuri DimapurDimapur P.O.797112,0.00
16,2015-2016,Nagaland,164730124,COMMUNITY AWARENESS AND DEVELOPMENT FOUNDATION,CAD FOUNDATION OFFICE OPP. WEST POLICE COLONY No. 194 PWD ROADDIMAPUR797112,0.00
17,2015-2016,Nagaland,164730155,COMMUNITY EDUCATIONAL CENTRE SOCIETY,GRACE COLONY KUDA C NAGARJAN  POST BOX 443DIMAPUR797112,0.00
18,2015-2016,Nagaland,164730079,D.K.Enterprise Society,Medziphema Dimapur Nagaland -797106,0.00
19,2015-2016,Nagaland,164730024,Development Association of Nagaland,C/o Bishop's House P.O. Box No 3 Circular Road DimapurNagaland-797112,2629217.40
20,2015-2016,Nagaland,164730002,Diocese of Kohima,Bishop's House P..Box 3 Circular Road DimapurNagaland-797112,48874373.75
21,2015-2016,Nagaland,164730018,Don Bosco Book Centre,P.Box 43 DimapurNagaland-797112,0.00
22,2015-2016,Nagaland,164730064,Don Bosco Foundation for Education and Training,Don Bosco Provincial House  DimapurNagaland-797112,51355.00
23,2015-2016,Nagaland,164730138,DON BOSCO VOCATIONAL TRAINING CENTRE,3rd MILE PB 40DIMAPUR797112,0.00
24,2015-2016,Nagaland,164730032,Eleutheros Christian Society,P.Box 51 Dist: TuensangNagaland-798612,0.00
