S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2015-2016,Himachal Pradesh,182520025,Action Research and Training Institute (ARTI),V.P.O. Rajgarh Distt.- SirmourHimachal Pradesh-173101,0.00
2,2015-2016,Himachal Pradesh,182450059,Association for the Rural and Technical Education Centre,Vill. and P.O. Malan Tehsil and Distt. Kangra Himachal PradeshKangra176047,0.00
3,2015-2016,Himachal Pradesh,182520027,"Awarness Services for Rural Areas ""ASRA""",Vill. & PO Nainidhar Teh  Shillai SirmourHimachal Pradesh-173027,0.00
4,2015-2016,Himachal Pradesh,182500014,BODHICHITA FOUNDATION CHARITABLE TRUST,REWALSAR DISTT MANDIREWALSAR175023,0.00
5,2015-2016,Himachal Pradesh,182480007,BUDDHIST CULTURAL SOCIETY OF KEY GOMPA,VPO KEY GOMPA SPITI DISTT LAHAUL AND SPITI HIMACHAL PRADESHKAZA712114,1361149.60
6,2015-2016,Himachal Pradesh,182540018,CHINMAYA EDUCATIONAL SOCIETY,CHINMAYA VIDYALAYA DR. Y. S. PARMAR UNIVERSITY OF HORTICULTURE AND FORESTRY NAUNISOLAN173230,995052.18
7,2015-2016,Himachal Pradesh,182450025,Chinmaya Tapovan Trust, Kangra Himachal Pradesh -,3160957.00
8,2015-2016,Himachal Pradesh,182520020,Community Action for Rural Excellence,V.P.O. Birla Teh Nahan  Via-Dadahu Distt-Sirmour -173022,0.00
9,2015-2016,Himachal Pradesh,182450068,COMMUNITY GROWTH SOCIETY,VILLAGE GAMRUDHARAMSALA176215,1630029.18
10,2015-2016,Himachal Pradesh,182450005,Dalai Lama's Central Tibetan Relief Committee,Central Tibetan Sectt Gang Chen Kyeshaong Session Rd. DharamshalaDist: Kangra Himachal Pradesh-176715,149754263.02
11,2015-2016,Himachal Pradesh,182470018,DECHEN CHOEKHOR MAHAVIHAR TRUST,VPO SARABAI BHUNTARBHUNTER175125,0.00
12,2015-2016,Himachal Pradesh,182500005,Deen Bandhu Seva Mandal,Bharnal  MandiHimachal Pradesh -,0.00
13,2015-2016,Himachal Pradesh,182470009,Dhagpo Shedrup Ling Monastic Cultural Society,Vill.& PO-Kais Kothi-Kais KulluHimachal Pradesh-175101,22038365.20
14,2015-2016,Himachal Pradesh,182450073,DHAULADHAR EDUCATION SOCIETY,Pritam Nagar Dramman ShahpurKangra176223,0.00
15,2015-2016,Himachal Pradesh,182450026,Dip Tsechokling Monastery School, Dist: KangraHimachal Pradesh-,2211259.68
16,2015-2016,Himachal Pradesh,182500010,Divya Manav Jyoti Anathalaya,Village and Post- Dehar MandiHimachal Pradesh-175030,0.00
17,2015-2016,Himachal Pradesh,182450046,Dongyu Gatsal Ling Trust,Tashi Jong P.O.-TaragarhDistt.-Kangra Himachal Pradesh-176081,15097002.28
18,2015-2016,Himachal Pradesh,182450056,Dorzong Manastic Institute Charitable Trust,Tashi Jong PO- Taragarh KangraHimachal Pradesh-176081,34000000.00
19,2015-2016,Himachal Pradesh,182430005,Education Society,Chaminu PO Baror via Sultanpur Dist: ChambaHimachal Pradesh-,0.00
20,2015-2016,Himachal Pradesh,182450033,Foundation for Universal Responsibility of his Holiness,East Court Zone Macleodganj Dharamala Dist. KangraHimachal Pradesh-,2598957.42
21,2015-2016,Himachal Pradesh,182540022,GANPATI EDUCATIONAL SOCIETY,Post office kuniharKUNIHAR173207,225055.00
22,2015-2016,Himachal Pradesh,231661206,GAYATRI DEVI MEMORIAL CHARITABLE TRUST,Gayatri Public School Village Chameru Tehsil JaisinghpurKangra176064,3109560.00
23,2015-2016,Himachal Pradesh,182450075,GUNJAN,Tapovan Road Sidhbari Tehsil DharamsalaDharamsala176057,0.00
24,2015-2016,Himachal Pradesh,182450074,Gyuto Tantric Monastry,P.O.SidhbariDharamsala176057,1642304.00
25,2015-2016,Himachal Pradesh,182470005,H.P. Mahila Kalyan Mandal, Dist. KulluHimachal Pradesh-,0.00
26,2015-2016,Himachal Pradesh,182480004,Highlander Charitable Society,House No 117Kaza172114,291223.00
