S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2012-2013,Rajasthan,125560088,Aadhar Research Institute,Post-Radoli KotkhawdaJaipur303908,5423461.00
2,2012-2013,Rajasthan,125690095,AAJEEVIKA BUREAU TRUST,39 Krishna Colony Behind CASA Training Centre Bedla RoadUdaipurUdaipur313001,21672288.00
3,2012-2013,Rajasthan,125690065,Action Research and Training for Health Society,G 1-2 Satyam Ramgiri BadgaonUdaipur313011,16248156.00
4,2012-2013,Rajasthan,125560078,Adarsh Gyan Mandir Sansthan,Jamwa Ramgarh  JaipurRajasthan-303109,0.00
5,2012-2013,Rajasthan,125680016,Adarsh saraswati Mahila Shiksha Evam Gramin Vikas Samiti Nayatila,1/235Housing Bord Colony TonkTonk304001,5000.00
6,2012-2013,Rajasthan,125690073,Adarsh Shiksha Samiti,Patelo Ka MohellaWard No.7 Salumber UdaipurRajasthan-313027,229600.00
7,2012-2013,Rajasthan,125690049,Adarsh Vidya Mandir Society, UdaipurRajasthan-,0.00
8,2012-2013,Rajasthan,125690031,Adivasi Vikas & Seva Samiti, UdaipurRajasthan-,0.00
9,2012-2013,Rajasthan,125560168,Adiwasi Sanskritik Sewak Sansthan,E-32-A Sarwasthi Nagar Opp.Sector-6Malviya Nagar JaipurRajasthan-302017,51.00
10,2012-2013,Rajasthan,125560037,Agro Action Family Helper Project(Centre for Community Economic and Dev. Centre,Shilki Dungari  Chaksu JaipurRajasthan -303901,0.00
11,2012-2013,Rajasthan,125560144,Ajit Vyas Foundation for Social Development Society,396-Vasundhara Extention Goplapura By Passa Tank Rd.Jaipur -Rajasthan-302018,0.00
12,2012-2013,Rajasthan,125420023,Akhil Bhartiya Gramin Uthan Samiti,Tapukara-Kamalpur Road Po. Tapulkara Block TijaraDist. Alwar Rajasthan (StateChange-301707,8327174.19
13,2012-2013,Rajasthan,125420038,Akhil Bhartiya Samajothan Samiti Bhitera,Village Bhitera PO Rewali Tahsil Behror AlwarRajasthan-301701,0.00
14,2012-2013,Rajasthan,125690062,Alakh Nayan Mandir,Inst. of Ophthalmology Ashok NagarUdaipur Rajasthan-313001,390198.79
15,2012-2013,Rajasthan,125690064,Alert Sansthan,208-E Sardarpura  Behind Kalpana Nurshing HomeUdaipur Rajasthan-313001,9047805.55
16,2012-2013,Rajasthan,231650430,All India Federation Of Teacher Organisation,B-98 ROSE PUBLIC SCHOOL JAMUNAPURI MURLIPURA SCHEMEJAIPUR302039,70050.00
17,2012-2013,Rajasthan,125690011,All Saints Girls Hostel,  Rajasthan-,2159820.19
18,2012-2013,Rajasthan,125420039,Alwar Mewat Institute Of Education And Development,P.NO.3 Patel Nagar Near Krishi Upaj MandiNew Doudpur Manna Ka Road301001,8833292.00
19,2012-2013,Rajasthan,125680017,AMRAPALI PRASHIKSHAN SHANSTHAN,Karigar Mohalla Ward No. 4 Deoli District Tonk (RAJ)Deoli304804,0.00
20,2012-2013,Rajasthan,125610014,Anant Sh. Sukhramji Trust,Sri Ramdham Chowk  PO Birahi  Dist. JodhpurRajasthan-,0.00
21,2012-2013,Rajasthan,125470003,Annuvrat Gram Bharati Sansthan,Vinaipuram Chakar Mandal BhilwaraRajasthan-,0.00
22,2012-2013,Rajasthan,125410054,ANTAKSHARI FOUNDATION,KAKALWARA VILLAGE (ALAKHJI) DHASOOK POST ARAIN VIAARAIN VIA305813,1553731.00
23,2012-2013,Rajasthan,125610055,Aprajita Sansthan,Behind Panchayat Sammiti Village/Post Balesar SattaShergarh342023,9526300.00
24,2012-2013,Rajasthan,125560091,Aravali Association for Rural Advancement Through Voluntary Action,R.No. 7 Patel Bhavan Jawahar Lal Nehru Marg JaipurRajasthan-,6709876.00
25,2012-2013,Rajasthan,125650009,Arogya Health Care Research Sansthan,ranisati roadsikar332001,0.00
26,2012-2013,Rajasthan,125690100,ARPAN SEVA SANSTHAN,7 MEERA NAGAR BEHIND SKY HEIGHT COMPLEX SHOBHAGPURA (MEWAR) CIRCLE- SUKHER 100 FT ROAD UDAIPURUDAIPUR313001,0.00
27,2012-2013,Rajasthan,125710007,Aryan Sansthan,D-44 Shivaji Nagar BaranBaran325205,0.00
28,2012-2013,Rajasthan,125690084,Asha Dham Ashram Society Udaipur,'B' Block Sajjan Nagar UdaipurRajasthan-313001,4417403.00
29,2012-2013,Rajasthan,125620007,Asha Ka Jharna,Harlal Ka Kothi Nawalgarh Jhunjhunu Distt.Rajasthan-333042,3898118.64
30,2012-2013,Rajasthan,125590096,ASRA FOUNDATION SANSTHAN,HOUSE. NO. 1G1 SHRI SHAKTI BHAWAN HOUSING BOARD COLONYJHALAWAR326001,0.00
31,2012-2013,Rajasthan,125560178,Awareness Training and Motivation for Action(ATMA),Village-Jagmalpura Post-Jorpura Via-Jobner JaipurRajasthan-303328,0.00
32,2012-2013,Rajasthan,125690101,BAAL SAHYOG SANSTHAN,33 A 2 NEW FATEHPURA OPPOSITE INCOME TAX DEPARTMENTUDAIPUR313001,22309183.52
33,2012-2013,Rajasthan,125420048,Baba Bhagwan Das Educational society,Vill Mothuka Tehsil Bansur District AlwarAlwar301401,506844.18
34,2012-2013,Rajasthan,125470002,Badhir Bal Kalyan Vikas Samiti,Kuwada Road BhilwaraRajasthan-,0.00
35,2012-2013,Rajasthan,125600001,Badhit Bal Vikas Kendra,132 Station Road Kota Distt.Rajasthan-324002,0.00
36,2012-2013,Rajasthan,125560002,Bal Rashmi Society,A-48 Shanti Path Tilak Nagar JaipurRajasthan-,12653541.00
37,2012-2013,Rajasthan,125560132,Bal Sansar Santha,Swasti B-88 Saraswati Marg Bajaj NagarJaipur302015,0.00
38,2012-2013,Rajasthan,125470012,Bal Va Mahila Chetna Samiti,3 H 10 RC vyas colonyBhilwara311001,612450.00
39,2012-2013,Rajasthan,125680005,Banasthali Vidya Peeth,Banasthali Dist. TonkRajasthan-,0.00
40,2012-2013,Rajasthan,125450006,Barmer Jan Seva Samiti, BarmerRajasthan-,894000.00
41,2012-2013,Rajasthan,125540015,BEE JAY SHIKSHAN and PRASHIKSHAN SANSTHAN,BJSP CAMPUS 54 MUKARJEE NAGAR NEAR BUS STANDSRI GANGANAGAR335001,0.00
42,2012-2013,Rajasthan,125440008,Beneshwer Lok Vikas Sansthan,P.O. partapur-GarhiBanswara327024,0.00
43,2012-2013,Rajasthan,125560036,Bethany Indian Development Society,H.No.134 St. Stephen Secondary School Near Galicha Factory Govindpuri Rakree Sodala JAIPUR - 302006 (Rajasthan)JAIPUR302006,0.00
44,2012-2013,Rajasthan,125560007,Bhagwan Mahaveer Viklang Sahayata Samiti, JaipurRajasthan-,105410262.68
45,2012-2013,Rajasthan,125560097,Bhagwan Mahavir Cancer Hospital & Reseach Centre, JaipurRajasthan-,5745598.00
46,2012-2013,Rajasthan,125560118,Bharatiya Jan Seva Pratishthan,Bharat Mata Mandir Jamnalal Bajaj Marg C- SchemeJaipur Rajasthan-302001,0.00
47,2012-2013,Rajasthan,125690039,Bhartiya Lok Kala Mandal, UdaipurRajasthan-313001,0.00
48,2012-2013,Rajasthan,125560214,BHAVANI CHILD DEVELOPMENT CENTER,78 RAJENDRA NAGAR SIRSI ROAD KHATHIPURAJAIPUR302021,422536.00
49,2012-2013,Rajasthan,125690041,Bhawana Sansthan, UdaipurRajasthan-313011,0.00
50,2012-2013,Rajasthan,125560064,Bhoruka Charitable Trust,1 Prabhu Dayal Marg Sanganer JaipurRajasthan-302011,15204052.91
51,2012-2013,Rajasthan,125560008,Bible Chapel Society, JaipurRajasthan-,1937075.00
