S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2012-2013,Bihar,031090088,A FUTURE OF CHILDREN IN BODHGAYA SOCIETY,VILL-DURGAPURMONIA P.O-BODHGAYADIST-GAYABODHGAYA824231,1077186.00
2,2012-2013,Bihar,031250022,AADHUNIK KRISHI VIKAS SANSTHAN,AT - HOTEL MAYUR MARKET DUMRAON ROAD BIKRAMGANJ DISTRICT - ROHTAS BIHAR - 802212BIKRAMGANJ802212,0.00
3,2012-2013,Bihar,031140061,Aakanksha Seva Sadan,At- Maidapur Chaubey Post-Kharuana dih Via-Patahi MuzaffarpurBihar-843113,0.00
4,2012-2013,Bihar,031290090,Abala Sewa Ashram,At & PO -Khajouji MadhubaniBihar.-847228,0.00
5,2012-2013,Bihar,031240012,Abdul Qayum Ausari Audyogik Vidy. S. PRK,Bhagalpur  Bihar  -,0.00
6,2012-2013,Bihar,031170448,ABHA,Road No-20Rajiv NagarPatna800024,0.00
7,2012-2013,Bihar,031270011,Abha Christian Social Welfare Society,Chanpatia West Champaran Bihar  -845449,0.00
8,2012-2013,Bihar,031290031,Abhigyan Disha,P.O. Narhi Via-Kaluahi Madhubani Bihar -847222,3239701.00
9,2012-2013,Bihar,031300022,ABHILASHA PARIWAR SWYAMSEVI SANSTHA,Mirchaibari Katihar Distt. - KatiharKatihar854105,0.00
10,2012-2013,Bihar,031140030,Abhinandan,N.H.28 Bhagwanpur Muzaffarpur Distt   Bihar  -,0.00
11,2012-2013,Bihar,031290089,Abhinav Vishwa Manav Kalyan Sansthan,Vill.+P.O.-Raiyam Via-Jhanjharpur Dist.-MadhubaniBihar-847404,0.00
12,2012-2013,Bihar,031170097,Abhiyan,Barai Bhawan Birsa Adivasi ColonyGulzarbagh Patna800007,2769748.02
13,2012-2013,Bihar,031180022,Abul Hasan Ali Educational and Welfare Trust,Madrasa Rauzaatulmaarif Aziz  Nagar Ufrail P.o.Khokha Dist. PurneaBihar.-,2023134.34
14,2012-2013,Bihar,031080007,Action for Community Organisation & Rural Development,St. Xavier's Campus  Ghoushala Road KhagariaBihar.-851204,0.00
15,2012-2013,Bihar,031170309,Action for Development of Demos (ADD),East Indira Nagar Road no.-5 PO.O. -Lohiya Nagar KankarbaghPatna-,130986.18
16,2012-2013,Bihar,031040025,Action for Social Change,At-PO-Kanhauli Via- MahuaVaishali-Bihar-844122,0.00
17,2012-2013,Bihar,031290045,Adarsh Chikitsa Seva Sanstha,Parmesara Rupouli MadhubaniBihar -,0.00
18,2012-2013,Bihar,031170307,Adarsh Divya Vikas,202P.V. Complex West Boring Canal Road PatnaBihar.-800001,0.00
19,2012-2013,Bihar,031290105,Adarsh Mahila Mandal Laddugama,Vill-LaddugamaP.O-AgaiVia-JogiyaraDistt.-MadhubaniMadhubani847303,0.00
20,2012-2013,Bihar,031330009,Adarsh Mahila Shilp Kala Kendra,Tajpur Road Distt. SamastipurBihar -,0.00
21,2012-2013,Bihar,031240041,ADARSH SAMAJ NIRMAN SAMITI,AT-ChhinegawnP.O-P.S-SinhaBhijpurBhojpur802316,0.00
22,2012-2013,Bihar,031140097,Adarsh Sarvodaya Vikas Sansthan,Line no.3Adarsh Nagarmajhualiyapost khabraMuzaffarpur842001,0.00
23,2012-2013,Bihar,031170126,Adarshila Gramin Vikas Sansthan,Kailashpuri Hanuman Nagar  Patna Bihar  -800020,0.00
24,2012-2013,Bihar,031270020,Adhar,Rajguru Chowk P.O. Bettiah West Champaran Bihar  -845438,1311013.00
25,2012-2013,Bihar,031170089,Adhunik Mahila Vikas Samiti,At. P.O. Rupas (Barh) Patna Bihar  -803211,0.00
26,2012-2013,Bihar,031240035,ADI SANATAN INSTITUTE OF BIOFORCE IMPROVEMENT AND RESEARCH ( AIBI RESEARCH ),MAHARAJA HATAARAARA802301,0.00
27,2012-2013,Bihar,031170047,Adithi,Er. K P Singh IAS Colony West of Nahar Off Bailey RoadDanapur,20153117.00
