S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2014-2015,Himachal Pradesh,182520025,Action Research and Training Institute (ARTI),V.P.O. Rajgarh Distt.- SirmourHimachal Pradesh-173101,0.00
2,2014-2015,Himachal Pradesh,182450059,Association for the Rural and Technical Education Centre,Vill. and P.O. Malan Tehsil and Distt. Kangra Himachal PradeshKangra176047,0.00
3,2014-2015,Himachal Pradesh,182520027,"Awarness Services for Rural Areas ""ASRA""",Vill. & PO Nainidhar Teh  Shillai SirmourHimachal Pradesh-173027,0.00
4,2014-2015,Himachal Pradesh,182500014,BODHICHITA FOUNDATION CHARITABLE TRUST,REWALSAR DISTT MANDIREWALSAR175023,0.00
5,2014-2015,Himachal Pradesh,182480007,BUDDHIST CULTURAL SOCIETY OF KEY GOMPA,VPO KEY GOMPA SPITI DISTT LAHAUL AND SPITI HIMACHAL PRADESHKAZA712114,1035092.00
6,2014-2015,Himachal Pradesh,182540018,CHINMAYA EDUCATIONAL SOCIETY,CHINMAYA VIDYALAYA DR. Y. S. PARMAR UNIVERSITY OF HORTICULTURE AND FORESTRY NAUNISOLAN173230,1172853.14
7,2014-2015,Himachal Pradesh,182450025,Chinmaya Tapovan Trust, Kangra Himachal Pradesh -,226778.50
8,2014-2015,Himachal Pradesh,182520020,Community Action for Rural Excellence,V.P.O. Birla Teh Nahan  Via-Dadahu Distt-Sirmour -173022,0.00
9,2014-2015,Himachal Pradesh,182450068,COMMUNITY GROWTH SOCIETY,VILLAGE GAMRUDHARAMSALA176215,1457097.76
10,2014-2015,Himachal Pradesh,182450005,Dalai Lama's Central Tibetan Relief Committee,Central Tibetan Sectt Gang Chen Kyeshaong Session Rd. DharamshalaDist: Kangra Himachal Pradesh-176715,151251287.48
11,2014-2015,Himachal Pradesh,182470018,DECHEN CHOEKHOR MAHAVIHAR TRUST,VPO SARABAI BHUNTARBHUNTER175125,0.00
12,2014-2015,Himachal Pradesh,182500005,Deen Bandhu Seva Mandal,Bharnal  MandiHimachal Pradesh -,0.00
13,2014-2015,Himachal Pradesh,182470009,Dhagpo Shedrup Ling Monastic Cultural Society,Vill.& PO-Kais Kothi-Kais KulluHimachal Pradesh-175101,14703841.11
14,2014-2015,Himachal Pradesh,182450073,DHAULADHAR EDUCATION SOCIETY,Pritam Nagar Dramman ShahpurKangra176223,0.00
15,2014-2015,Himachal Pradesh,182450026,Dip Tsechokling Monastery School, Dist: KangraHimachal Pradesh-,2368116.80
16,2014-2015,Himachal Pradesh,182500010,Divya Manav Jyoti Anathalaya,Village and Post- Dehar MandiHimachal Pradesh-175030,47480.00
17,2014-2015,Himachal Pradesh,182450046,Dongyu Gatsal Ling Trust,Tashi Jong P.O.-TaragarhDistt.-Kangra Himachal Pradesh-176081,26433579.98
18,2014-2015,Himachal Pradesh,182450056,Dorzong Manastic Institute Charitable Trust,Tashi Jong PO- Taragarh KangraHimachal Pradesh-176081,0.00
19,2014-2015,Himachal Pradesh,182430005,Education Society,Chaminu PO Baror via Sultanpur Dist: ChambaHimachal Pradesh-,129474.00
20,2014-2015,Himachal Pradesh,182450033,Foundation for Universal Responsibility of his Holiness,East Court Zone Macleodganj Dharamala Dist. KangraHimachal Pradesh-,3531486.20
21,2014-2015,Himachal Pradesh,182540022,GANPATI EDUCATIONAL SOCIETY,Post office kuniharKUNIHAR173207,46542.00
