S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2006-2007,Nagaland,164730035,Akimbo Society,H.No.163Supply ColonyPost Boz.No.423Dimapur797112,5628831.00
2,2006-2007,Nagaland,164730021,Anma Integrated Development Association,P.Box No.40 DimapurNagaland-797112,24603379.00
3,2006-2007,Nagaland,164730083,Asia Evangelistic Fellowship,PO Box - 111 2  1/2 Mile Near Kin School DimapurNagaland-797112,2166120.00
4,2006-2007,Nagaland,164730046,Association of Tribal Welfare Development,Woodlands Naharbani Dimapur Nagaland-,0.00
5,2006-2007,Nagaland,164730098,Basic Institute of Nurturing Career Multi Development Society,Dimapur (Nagaland) -797112,0.00
6,2006-2007,Nagaland,164730109,Bethany Society for the Destitutes,Peephole Mansion Circular Road Dimapur Nagaland -797112,0.00
7,2006-2007,Nagaland,164780012,Bethel Statndard English School,Box-24 WokhaNagaland-797111,0.00
8,2006-2007,Nagaland,164730095,Bethesda Ministries,Walford Road Dimapur Nagaland -797112,0.00
9,2006-2007,Nagaland,164730060,Bethesda Youth welfare Centre,Post Box -3194-Duncan Basti DimapurNagaland-79712,8374746.00
10,2006-2007,Nagaland,164740005,Blue Hill english School, OngpangkongMokokchung -798617,0.00
11,2006-2007,Nagaland,164730067,Care-Centre for Environment and Rural Poor,Post Box # 416United North Block Sector-BA-Mao ColonyBurma CampKK RoadDimapur Nagaland.-797112,1525334.00
12,2006-2007,Nagaland,164730094,Carmel Bhawan,P.B.68 Dimapur Nagaland -797112,2425000.00
13,2006-2007,Nagaland,164730108,Celeste Welfare Society,Sacrament House Circular Road Dimapur Nagaland -797112,0.00
14,2006-2007,Nagaland,164770002,Chakhesang Baptist Church Council, T.ChikhariPfustero-797107,138684.00
15,2006-2007,Nagaland,164780014,Charity Club Multipurpose Society,Tsumang Colony WokhaNagaland-797111,0.00
16,2006-2007,Nagaland,164760002,Chen Women Development Society,Chen Town  Chen MonNagaland-,0.00
17,2006-2007,Nagaland,164770006,Chizami BS Multipurpose Society,Chizami Dist. Phek Nagaland-797102,0.00
18,2006-2007,Nagaland,164730017,Clark Theological College,Aolijen MokokchungNagaland-,379809.00
19,2006-2007,Nagaland,164730079,D.K.Enterprise Society,Medziphema Dimapur Nagaland -797106,0.00
20,2006-2007,Nagaland,164730080,Development Action Network,Little Angels School 3rd Mile DimapurNagaland-797112,0.00
21,2006-2007,Nagaland,164730024,Development Association of Nagaland,C/o Bishop's House P.O. Box No 3 Circular Road DimapurNagaland-797112,5271265.16
22,2006-2007,Nagaland,164730087,Development Support Services Organisation,Duncan-168 (Behind S.M.College) DimapurNagaland-797112,278000.00
23,2006-2007,Nagaland,164730014,Discipleship Bible College,P.O.Box 36 DimapurNagaland-797112,0.00
24,2006-2007,Nagaland,164730018,Don Bosco Book Centre,P.Box 43 DimapurNagaland-797112,225948.00
