S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
43,2017-2018,Karnataka,094570142,Aiswarya Kala Niketana,Rotary Bala Bhavan B. B. Road Chikkaballapura Kolar DistrictKarnataka-562101,0.00
44,2017-2018,Karnataka,094590210,Akhanda Seva For International Shanti,Cave Shiva Temple Chamundi HillsMysore570010,6132953.00
45,2017-2018,Karnataka,094420783,Akhila Bharat Mahila Seva Samajam,No.2 1st Floor2nd Cross N.K Palaya Sivaji Nagar BangaloreKarnataka-,39555032.00
46,2017-2018,Karnataka,094420987,Akshara Foundation,No 621 5th Main Road Near Axis BankOMBR Layout Banaswadi560043,39240682.00
47,2017-2018,Karnataka,094620017,Al - Mahmood Education Trust/Society (R),M.K.K. Road Shimoga -577202,200000.00
48,2017-2018,Karnataka,094470041,Al Furqan Educational and Welfare Society,Kakkayya Colony Gyang BoudiBijapur586101,0.00
49,2017-2018,Karnataka,094470052,AL HIRA EDUCATIONAL AND MINORITY WELFARE SOCIETY,Mahaboob Mulla Kakkaya Colony Gyang BoudiBijapur586101,6674642.00
50,2017-2018,Karnataka,094420601,Al- Ameen Educational Society,Al-Ameen Campus Hosur Road Near Lalbagh Main GateBangalore Urban560027,0.00
51,2017-2018,Karnataka,094630154,Al- Madeena Islamic Complex Manjanady,Madavoor Nagar Thoudogoli Cross P O Manglanthi MangaloreDakshina Kannada Karnataka-574156,1467657.50
52,2017-2018,Karnataka,094440072,Al-ameen Progressive Educational Society,B.c.no.6 Fort` BelgaumKarnataka-590016,0.00
53,2017-2018,Karnataka,094400031,ALFATHIMA ALPASANKHYATA MAHILA KALYAN ABHIVRUDDI SAMSTHE,NO 34 NEHRU ROADJAGALUR577528,0.00
54,2017-2018,Karnataka,094421362,ALL NATIONS WORSHIP CENTER,NO. 184 NARASIMHAIAH COMPLEX KOTTIGEPALYA OUTER RING ROADBANGALORE560091,493321.21
55,2017-2018,Karnataka,094420127,Allard Education Society,Barromeo 50-31 M.G.Road Bangalore Karnataka.-,74539.00
56,2017-2018,Karnataka,094421398,Alliance Francaise of Bangalore,P.B. No.108 Thimmaiah RoadVasanthnagar560052,0.00
57,2017-2018,Karnataka,094420902,Alpha Charitable Trust,N0.5Lakshmi Complex80 FT Road 3rd Block1st stageHBR layoutBangalore Karnataka-560043,11962146.29
58,2017-2018,Karnataka,094420605,Alpha Children Ministry,1037 21st B Main Road 11th CrossHSR Layout Sector 1560102,2403518.26
59,2017-2018,Karnataka,094421259,Alternative Law Forum,No.122/4 Opp.Infantry Wedding Hall Infantry RoadBangalore560001,7725503.00
