S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2017-2018,Orissa,105020343,“SUDHA”,Ramachandi Balikuda Sahi  Station RoadPuri752002,0.00
2,2017-2018,Orissa,104930025,A COMPENSSION FOR TROUBLE SOULS OF INDIA,AT-DENGINIPADARP.O-LUHAGUDI761015,0.00
3,2017-2018,Orissa,104830238,AABAHANA,MALYABANTAT/P.O-NACHUNI752028,0.00
4,2017-2018,Orissa,104830098,Aaina,765 Sahid Nagar Bhubaneswar KhurdaOrissa-751007,2858869.84
5,2017-2018,Orissa,105060084,Aamara Biswas,KamalibazarSambalpur768001,3880355.00
6,2017-2018,Orissa,105020256,Aarkashree,Konark Puri Orissa -752111,0.00
7,2017-2018,Orissa,104860201,AASHRAYA,At - Manitiri PO- BalichandrapurCuttack754205,268454.00
8,2017-2018,Orissa,104870184,ABHYUDAYA,BHATLIBARGARH768030,0.00
9,2017-2018,Orissa,104960045,Accord,At/po-ponchada Via-kakirigummaKoraput Orissa-,0.00
10,2017-2018,Orissa,105020073,Acharya Harihar Sishu Bhawan,At/po Sakhigopal  PuriOrissa-752014,0.00
11,2017-2018,Orissa,104860087,Action For Better Living And Environment,Jangyachhak Angulai KendrapadaOrissa-,0.00
12,2017-2018,Orissa,105030088,ACTION FOR INDIA OUTREACH,AT- G UDAYAGIRIP O-G UDAYAGIRI762100,0.00
13,2017-2018,Orissa,105050026,Action for Protection of Wild Animals(APOWA),At-HatapatanaPo-Kadaliban Dist-KendraparaDist-Kendrapara754222,2890174.00
14,2017-2018,Orissa,104930022,ACTION FOR SOCIAL DEVELOPMENT,AT-MOHANAP.O-MOHANA761015,0.00
15,2017-2018,Orissa,104960043,Action For Social Human Alme,P.o.tolona  Rayagada -765022.-,0.00
16,2017-2018,Orissa,104830082,Action Research And Orientation Of Human Values Through Experiment &,Entertainment(arohee)n3-107irc  VillagenayapallibhubaneswarKhurda Orissa.-751015,0.00
17,2017-2018,Orissa,104840048,Action Research For Health And Socio Economic Development,At:ramjee Squarepo:patnagarh Bolangir Orissa -767025,0.00
18,2017-2018,Orissa,104840035,Adhar,At. Loisingha  BolangirOrissa-767020,0.00
19,2017-2018,Orissa,104990056,ADHAR,AT/P.O.- BHANJPURBARIPADA757002,0.00
20,2017-2018,Orissa,104840082,ADHIKAR,at/po-Juba Via-Patnagarh PIN-767025Dist-Balangir767025,0.00
21,2017-2018,Orissa,105120028,ADIBASI BIKASH TRUST,ENGERBAJALTAR765022,0.00
22,2017-2018,Orissa,105120001,Adibasi Kalyan Parishad,At-badisala Post:bankili Rayagada Orissa -765029,0.00
23,2017-2018,Orissa,105020119,Adikar,192 Dharma Vihar Khandagiri BhubaneshwarOrissa-757030,3817826.00
24,2017-2018,Orissa,104930009,Adivasi Development Society,AT/PO- Gumma Gajapathi Dist.Orissa-761207,0.00
25,2017-2018,Orissa,105010035,Adivasi Harijan Integrated  Mass Social Agency,At-KendupadarPO-Phulbani Kendupadar PhulbaniOrissa-754001,0.00
26,2017-2018,Orissa,104960042,Adivasi Krushi Swasthya Sikhya Samiti,Karanjaguda Po Kumaradamuni RayagadaOrissa-765019,729466.10
27,2017-2018,Orissa,105070048,Adivasi Navjeewan Gathan Navjyoti Agua,Kahupani SundargarhOrissa-770018,5702921.77
28,2017-2018,Orissa,104910128,ADIVASI SEVA SAMITTEE AVSS,AT/P.O-EKALAPURVIA-BADAGADA761109,0.00
29,2017-2018,Orissa,104830097,Adventure,Plot No.15/2977jharapara Cuttack Roadbhubaneswar KhurdaOrissa-751006,0.00
30,2017-2018,Orissa,104910064,Agami Lok Kalyana Sangha, P.o.panigondaGajapati -761217.-,0.00
