S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
51,2009-2010,Nagaland,164730075,NMA Youth and Women Welfare Organisation,Cradle Ridge Sithogei P Box 160 KohimaNagaland-797001,0.00
52,2009-2010,Nagaland,164730129,NOAH GRANDPA,c-253 LERIE COLONYP.O.BOX NO.181797001,0.00
53,2009-2010,Nagaland,164730066,North East Social Communications(NESCOM),PO Box No.125 G.B.H.73 Maharbari VillagePurana BazarDimapur Nagaland-797112,275184.00
54,2009-2010,Nagaland,164730100,Orija Welfare Society,Diphupar Dimapur Nagaland -797112,0.00
55,2009-2010,Nagaland,164730012,Patkai Christian College,Patkai Chumukedima KohimaNagaland-797103,0.00
56,2009-2010,Nagaland,164730115,PEOPLE IN NEED FOUNDATION,UNITED NORTH BLOCK-A HOUSE NO. 202 POST BOX NO. 346 BURMACAMPDIMAPUR797112,2081670.00
57,2009-2010,Nagaland,164730027,Prodigal's Home,P. Box 148 DimapurDimapur -797112,13639925.00
58,2009-2010,Nagaland,164730054,Resource Centre,P.O.Box.110 Circular Road DimapurNagaland-797112,0.00
59,2009-2010,Nagaland,164730055,RONGMEI BAPTIST ASSOCIATION,Mission Hills 'B' Block Jalukie TownKohima Nagaland-797110,1169181.00
60,2009-2010,Nagaland,164770009,Rural Area Development Society,Ngwalwa Village BPO Heningkunglwa PO Jaluke District PerenNagaland-797110,1641656.00
61,2009-2010,Nagaland,164730034,Sabs Integrated Development Society,Shanti Bhawan Single Basti DimapurNagaland-797112,1271452.79
62,2009-2010,Nagaland,164730010,Salesian Institute of Philosophy,P.B.No 43 DimapurKohima -797112,2328446.08
63,2009-2010,Nagaland,164730019,Salesians Of Don Bosco, DimapurNagaland-797112,65619717.37
64,2009-2010,Nagaland,164730116,SIX SISTER SOCIETY CLUB,Opp. 500 Bedded Refferial HospitalDiphupar797112,0.00
65,2009-2010,Nagaland,164730117,SOCIAL REFOMATION UPLITMENT SOCIETY,Unite North Block-A Zeliang Colony Burma CampDimapur Nagaland797112,0.00
66,2009-2010,Nagaland,164770011,Social Welfare Society for Rural Development,BPO:Wezihu PO Meluri PB No.25 Phek (Nagaland) -797114,1611944.00
67,2009-2010,Nagaland,164730065,Society of Aborigines,"Society Of Aborigines
Mount Carmel HomeSukhalu Village798620",0.00
68,2009-2010,Nagaland,164730123,ST STEPHENS SCHOOL,NEAR DCS OFFICE COMPLEXDIMAPUR797112,0.00
69,2009-2010,Nagaland,164730013,St. Joseph's College,C/o Bishop's House P.Box No. 3 Circular Road DimapurNagaland-797112,343290.00
70,2009-2010,Nagaland,164730009,St. Paul Institute of Education,Phesama  P.B. No. 9 Kohima Nagaland-797001,1044935.00
71,2009-2010,Nagaland,164730038,Supreme Task (International),Super Market DimapurNagaland-,2913131.68
72,2009-2010,Nagaland,164730005,The Assemblies of God of East India,Bank Colony  DimapurNagaland-797112,17520602.39
73,2009-2010,Nagaland,164730031,The Nagaland Jesuit Society,Loyola School P.Box 17 Kohima Nagaland-797001,7565730.79
74,2009-2010,Nagaland,164730037,Tragopan Farmers Society,C/o Rosemary Jamir Purana Bazar Nr Sema Baptist Church DimapurNagaland-,0.00
75,2009-2010,Nagaland,164760006,Turning Point Organisation,Post Box 22 Mon (Nagaland) -798621,0.00
76,2009-2010,Nagaland,164730040,Ursuline Franciscan Society Of North East,Assisi Convent Lake View Khermahal P.Box-133Dimapur Nagaland.-,8555632.00
77,2009-2010,Nagaland,164730122,VIHOSHE WELFARE SOCIETY,Mount View ColonyPurana BazarDimapur797112,0.00
78,2009-2010,Nagaland,164780010,Wokha Don Bosco,Don Bosco P.BOX-5 Wokha Nagaland -797111,72858.00
79,2009-2010,Nagaland,164770010,Women Welfare Society,Chizami Village Phek (Nagaland) -797102,0.00
80,2009-2010,Nagaland,164730104,Wondang Ki Charitable Foundation,101 Fellowship ColonyDimapur797112,0.00
81,2009-2010,Nagaland,164730023,World Vision Of India,Kohima Road  Dimapur -797112,0.00
82,2009-2010,Nagaland,164730125,YOUTH ACTION FOR RURAL DEVELOPMENT (YARD),KHARU COMPLEX 2nd FLOOR NST TERMINUS POST BOX 542KOHIMA797001,4006547.00
83,2009-2010,Nagaland,164730057,Yuva Jyothi Youth and Educational Society,Don Bosco DimapurNagaland-797112,0.00
