S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
43,2008-2009,Himachal Pradesh,182540015,Kasavisa, Dist. Solan Himachal Pradesh -,0.00
44,2008-2009,Himachal Pradesh,182520004,Kham Kathak Tibetan Society,Sataun.  SirpurHimachal Pradesh -,1350072.00
45,2008-2009,Himachal Pradesh,182470007,Kullu Rotary Association,Dimpu Tyres Mall Road DhalpurKullu-175101,1301459.00
46,2008-2009,Himachal Pradesh,182550002,Lala Jagat Narain Himotkarsh Kanya Mahavidyalya,Shiksha Samiti VPO-Kotla Khurd Teh. & Dist. UnaHimachal Pradesh-174303,0.00
47,2008-2009,Himachal Pradesh,182470013,Layul Tribals Welfare Association,112/7 Police Station Road Town/City: ManaliDistt: Kullu Himachal Pradesh-175131,0.00
48,2008-2009,Himachal Pradesh,182450002,Library of Tibetan Works & Archives,Gangchen Kyeshong Dharamsala Dist: KangraHimachal Pradesh-176215,2317805.00
49,2008-2009,Himachal Pradesh,182510017,Lok Kalyan Mandal,Theoo Dist. ShimlaHimachal Pradesh-,0.00
50,2008-2009,Himachal Pradesh,182520009,Madarsa Quadria, Dist. SirmaurHimachal Pradesh -,756939.00
51,2008-2009,Himachal Pradesh,182510015,Mahila Kalyan evam Vikas Samiti, Dist. ShimlaHimachal Pradesh -,1115317.00
52,2008-2009,Himachal Pradesh,182520017,Mahila Mandal,Cheseon  Dist. SirmaurHimachal Pradesh -,0.00
53,2008-2009,Himachal Pradesh,182420002,Mahila Mandali,Jabli Dist: BilaspurHimachal Pradesh-,235098.00
54,2008-2009,Himachal Pradesh,182430006,Mahila Vikas Manch,Mohalla Kharura ChambaHimachal Pradesh-176310,0.00
55,2008-2009,Himachal Pradesh,182510013,Manav Kalyan Seva Samiti,Karai Dist. ShimlaHimachal Pradesh -,330330.00
56,2008-2009,Himachal Pradesh,182420001,Manav Seva Sanstha,Varthi District- BilaspurHimachal Pradesh-174029,139500.00
57,2008-2009,Himachal Pradesh,182420005,Manav Vikas Sansthan,V.P.O. KalolTehJhandutta BilaspurHimachal Pradesh-174035,0.00
58,2008-2009,Himachal Pradesh,182450023,Maple Leap Hospital, KangraHimachal Pradesh -,0.00
59,2008-2009,Himachal Pradesh,182510025,MUSE,MUSE C/o Sh. Parikshit Khanna Geeta Cottage SanjauliShimla Himachal Pradesh-171006,2568742.00
60,2008-2009,Himachal Pradesh,182470012,National Association for Blind  HP State Branch,Chander Abha Mahila Kalyan Bhawan Mahila BhawanSarwari KulluHimachal Pradesh-175101,528173.00
61,2008-2009,Himachal Pradesh,182450036,Nav Nirman Kalyan Samiti, Dist. KangraHimachal Pradesh-,0.00
62,2008-2009,Himachal Pradesh,182450053,Nechung Monastery(Institute of Buddhist Studies)),Gangchen Kyishong Dharamsala KangraHimachal Pradesh-176215,4734598.00
63,2008-2009,Himachal Pradesh,182450040,New Himalayan Organisation for Peoples Education,PO Thakurdwara Teh. Palampur dist. KangraHimachal Pradesh.-,0.00
64,2008-2009,Himachal Pradesh,182450048,Nishtha Rural Health Education and Environment Centre,Vill-Rakkar PO-Siddhbari Dharamsala KangraHimachal Pradesh-176057,4059110.00
65,2008-2009,Himachal Pradesh,182450047,Norbulingka Institute of Tibetan Culture,Norbulingka Institute Dharamsala KangraHimachal Pradesh-176057,1170844.26
66,2008-2009,Himachal Pradesh,182450022,Nyingmapa Buddhist Charitable Institute,P.O. Bir Dist: Kangra Himachal Pradesh.-,4916551.00
67,2008-2009,Himachal Pradesh,182450055,Osho Nisarga Foundation,Vill. & PO- Shilla Opp. Pasu Rain Shelter Gaggal Dari RoadDharmshala Distt:Kangara  H.P.-176057,0.00
68,2008-2009,Himachal Pradesh,182450042,Palpung Munishasan Dharamchakra Sangh,V&Po Upper Bhattu Baijnath Teh KangraH.P. -176125,101467085.00
69,2008-2009,Himachal Pradesh,182520012,Parvatiya Jan Shiksha evam Vikas Sangathan,  Himachal Pradesh-,277843.00
70,2008-2009,Himachal Pradesh,182540011,Paryavaran evam Gramin Vikas Sansthan, Dist. SolanHimachal Pradesh -,0.00
71,2008-2009,Himachal Pradesh,182500008,People Awareness for Rural Action,Vill & PO: Drahal  Teh: Joginder Nagar Dist: MandiHimachal Pradesh-176120,151503.00
72,2008-2009,Himachal Pradesh,182520007,Peoples Action for the People in Need, Dist. SirmaurHimachal Pradesh-,2880642.00
73,2008-2009,Himachal Pradesh,182450034,Planning Council,Dharamsala  Dist: Kangra Himachal Pradesh-,1285630.60
74,2008-2009,Himachal Pradesh,182450024,Public Service Commission, SimlaHimachal Pradesh-,359336.01
75,2008-2009,Himachal Pradesh,182520005,Rural Centre for Human Interests,Shalana P.O. Rajgarh Dist: SirmourHimachal Pradesh -173101,9329923.00
76,2008-2009,Himachal Pradesh,182500006,Rural Technology & Development Centre, Dist. MandiHimachal Pradesh-,500001.00
77,2008-2009,Himachal Pradesh,182500011,Sahyog Bal Shravan Viklang Kalyan Samiti,IInd Floor 65/6 National Street MandiHimachal Pradesh-175001,0.00
78,2008-2009,Himachal Pradesh,182510019,Sai Engineering Foundation,Sai Bhawan New Shimla Shimla -171009,0.00
79,2008-2009,Himachal Pradesh,182520001,Sakya Tibetan Society,Puruwala Gorkkhuwala  Dist. SirmaurHimachal Pradesh -,702477.12
80,2008-2009,Himachal Pradesh,182510006,Sangye Chowling Tibetan Buddhist Association, ShimlaHimachal Pradesh-,0.00
81,2008-2009,Himachal Pradesh,182500003,Satnam Seva Ashram, Dist: MandiHimachal Pradesh-,0.00
82,2008-2009,Himachal Pradesh,182520028,SIDHI(Social Institute of Deliberate Human Immanence),VPO- Dadahu Shri Renuka Ji SirmourHimachal Pradesh-173022,0.00
83,2008-2009,Himachal Pradesh,182510003,Simla Jesus and Mary Educational Society,Convent of Jesus and Mary  ShimlaHimachal Pradesh-,0.00
84,2008-2009,Himachal Pradesh,182420003,Social Action through Research Centre, BilaspurHimachal Pradesh -,0.00
85,2008-2009,Himachal Pradesh,182450041,Social and Resource Development Fund,Gangehon Kyshong Dharamshala KangraHimachal Pradesh-,115172978.00
86,2008-2009,Himachal Pradesh,182520016,Social Awareness Through Human Involvement,Vill Kathi PO Trduer Dhawan T Teh. Pachhad Dist SirmaurHimachal Pradesh -,166000.00
87,2008-2009,Himachal Pradesh,182510021,Social lAction lfor lHarmonious & Yeoman Outlook Generation,Azad Niwas  Janogghat TheogShimla H.P.-171201,148005.00
88,2008-2009,Himachal Pradesh,182470006,Society for Advancement of Village Economy,Village-Dhaman P.O. Larji Dist. KulluHimachal Pradesh-175134,391181.00
89,2008-2009,Himachal Pradesh,182540012,Society for Development and Environment Protection,Sayawan (Office) PO KuniharArkiSolan171102,306340.00
90,2008-2009,Himachal Pradesh,182450035,Society for Environment and Rural Development,Netaji Bhavan Dhvak Dist. KangraHimachal Pradesh-,379592.00
91,2008-2009,Himachal Pradesh,182470008,Society for Health and Social Transformation Rehabilitation Aid,(SHASTRA) Society Shambala General HospitalGuruhorhLarankeloKulluHimachal Pradesh-175104,388792.00
92,2008-2009,Himachal Pradesh,182500004,Society for Rural Development and Action,Thaltukhor  Dist Mandi Himachal Pradesh-176122,373794.00
93,2008-2009,Himachal Pradesh,182540007,Society for Rural Development and Action, Dist. Solan Himachal Pradesh -,0.00
94,2008-2009,Himachal Pradesh,182520008,Society for Social Action for Rural Development,Sardha Kaffota  Dist. SirmaurHimachal Pradesh -,87500.00
95,2008-2009,Himachal Pradesh,182540006,Society for Social Uplift through Rural Action,Jagjit Nagar via Ganbhal Dist: Solan Himachal Pradesh -173203,3323891.00
96,2008-2009,Himachal Pradesh,182450010,Socio Economic Development Programme, Dist. KangraHimachal Pradesh-,77152.00
97,2008-2009,Himachal Pradesh,182470002,Socio Economic Development Programme Anni Project, Dist. KulluHimachal Pradesh-,36550.00
98,2008-2009,Himachal Pradesh,182510001,St. Beds College, ShimlaHimachal Pradesh-171001,500000.00
99,2008-2009,Himachal Pradesh,182450018,St. Hildas High School, Dist. KangraHimachal Pradesh-,0.00
100,2008-2009,Himachal Pradesh,182510030,St. Mary's School Trust,St. Mary's School Sandal Chakkar ShimlaHimachal Pradesh-171005,0.00
101,2008-2009,Himachal Pradesh,182450017,St. Pauls High School, Dist. KangraHimachal Pradesh -,0.00
102,2008-2009,Himachal Pradesh,182450038,St. Peters Evangelical & Educational Society,Nr Yamini Hotel Tikar AimaPalampur Dist. KangraHimachal Pradesh-,0.00
103,2008-2009,Himachal Pradesh,182510016,State Social Welfare Oganisation,P.O.- Chopal Teh. Chopal District- Shimla Himachal Pradesh-171211,0.00
104,2008-2009,Himachal Pradesh,182450057,Thangde Gatsal,Vill Kandi PO KhanyaraDharamsala176218,1178202.00
105,2008-2009,Himachal Pradesh,182450049,The Berachah Church of God,Berachah Prarthana Bhawan Baijnath Rd. PalampurKangra Himachal Pradesh-176061,5489766.00
106,2008-2009,Himachal Pradesh,182450031,The Bir Sakya Lamas Society,Bir Dist. KangraHimachal Pradesh-,818878.15
107,2008-2009,Himachal Pradesh,182450015,The Bir Tibetan Society,Chowgan PO Bir Dist. KangraHimachal Pradesh-,1236626.00
108,2008-2009,Himachal Pradesh,182420004,The Gobindsagar Fisheries Cooperative of Marketing & Supply, BilaspurHimachal Pradesh-,0.00
109,2008-2009,Himachal Pradesh,182480001,The Institute of Studies in Buddhist Philosphy and Tribal Cu;tural Society,Village + P.O.-Tabo Lahaul & Spriti -172113,3539819.00
110,2008-2009,Himachal Pradesh,182520011,The Kalgidhar Society,P.O Barusahibvia Rajgarh Dist: SirmourHimachal Pradesh-173101,3685056.00
111,2008-2009,Himachal Pradesh,182520021,The Kaligidhar Trust,Vill.-Baru Sahib Via- RajgarhSirmour Himachal Pradesh-173101,53179996.85
112,2008-2009,Himachal Pradesh,182450027,The Palampur Rotary Eye Foundation, Kangra Himachal Pradesh -,0.00
113,2008-2009,Himachal Pradesh,182510004,The Tibetan Refugee Self Help Hand Society,Kasumpti  Simla Himachal Pradesh-171009,1929689.02
114,2008-2009,Himachal Pradesh,182450004,Tibetan Children's Educational & Welfare Fund,Gangchen Kyeshong  Dharamshala Dist: KangraHimachal Pradesh-176219,150726404.50
115,2008-2009,Himachal Pradesh,182450003,Tibetan Childrens Village,Dharamshala Cantt Dist: KangraHimachal Pradesh-176216,451882476.31
116,2008-2009,Himachal Pradesh,182520002,Tibetan Cholsum Industrial Society,Bhuppur Sahih  Sirmur Himachal Pradesh.-,2084981.00
117,2008-2009,Himachal Pradesh,182450008,Tibetan Delek Hospital,Gangchen Kyishong Dharamsala Dist: Kangra Himachal Pradesh-,16828974.06
118,2008-2009,Himachal Pradesh,182450001,Tibetan Institute of Performing Arts,P.O. McLeod Ganj Dharamshala Dist: KangraHimachal Pradesh-176219,3754944.59
119,2008-2009,Himachal Pradesh,182450009,Tibetan Medical Institute,Khara Danda Road Dharamsala Dist: Kangra Himachal Pradesh -,4960298.17
120,2008-2009,Himachal Pradesh,182430004,Tibetan Refugee Handicraft Centre,Phunlsock   DalhousieHimachal Pradesh -,1294653.00
121,2008-2009,Himachal Pradesh,182450016,Tibetan Voluntary Health Association, KangraHimachal Pradesh -,54915834.51
122,2008-2009,Himachal Pradesh,182450058,Tong Len,House No 118 Nandni Niwas Chonor House Road Mcleod GanjDharamsala Kangra176219,2853497.60
123,2008-2009,Himachal Pradesh,182520018,Upliftment Through Human Action,Banethi Nihog Nahan Dist. Sirmaur Himachal Pradesh -,0.00
124,2008-2009,Himachal Pradesh,182450044,Vivekanand Medical Research Trust,Holta Palampur Distt.-KangraHimachal Pradesh-176061,246435.00
125,2008-2009,Himachal Pradesh,182430007,Yog Manav Vikas trust,Village: Pukhri Banikhet Distt: ChambaHimachal Pradesh-176303,2009250.00
126,2008-2009,Himachal Pradesh,182520023,Yung Drung Bon Monastic Centre Society,V.P.O. Kotla Panjola Teh-Pachhad Dolanji SirmourHimachal Pradesh-173223,12260828.81
127,2008-2009,Himachal Pradesh,182500002,Zigkar Drukpa Kargyud Institute of Buddhist Studies and Medidation,P.O Rewalsar MandiHimachal Pradesh -,2128457.00
