S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2007-2008,Andhra Pradesh,010260018,A M G India International,"DOOR NO: 5/728 
NH-16 MAIN ROAD
AMG PREM VIHAR CHILDREN HOME CAMPUSCHILAKALURIPET522616",353057360.41
2,2007-2008,Andhra Pradesh,010140004,A.P.Rural Reconstruction Mission,1-69 Besides KBR Hills  Cross Roads PilegChittoor Andhra Pradesh-517214,0.00
3,2007-2008,Andhra Pradesh,010160220,Aapi- Tana Hospital Trust,Ellayipalle(V) Mukkavarilpalle PO Obuvalipalli CuddapahAP-,435344.00
4,2007-2008,Andhra Pradesh,010270189,Aaron Foundation Mission,Near Govt. Junior College Pathikonda KurnoolAndhra Pradesh-518380,681053.00
5,2007-2008,Andhra Pradesh,010260244,Abba Aims Society,D No 32-14-10A Kanchana ComplexMogalrajapuram Vijayawada,160.00
6,2007-2008,Andhra Pradesh,010120244,Abhyudaya Integrated Rural Development Society,D.No.8-1465 Kamban Chetla Veddhi Kalyandurg Anantapur -515867,0.00
7,2007-2008,Andhra Pradesh,010310049,Abundant Life Ministerial Associates,Fateekhanpet Pusalaya Street Dist: NelloreAndhra Pradesh-524003,6631035.00
8,2007-2008,Andhra Pradesh,010180217,ABUNDANT LIFE MINISTRIES,VENKATRAMA BAGHCHINTALAPUDI534460,694280.00
9,2007-2008,Andhra Pradesh,010120169,Abyudaya Uvajana Sangham,Sreeranga Rajula Palli Parigi (Mandal)Anantapur Distt. (A.P.)-515212,0.00
10,2007-2008,Andhra Pradesh,010170157,Academicians Association for Liberation Peace and Education,Door no.15-4-5/4Luthergiri Campus Rajahmundry East GodavariAndhra Pradesh-533105,151800.00
11,2007-2008,Andhra Pradesh,010230053,Academy of Gandhian Studies,18-3-49 Santi Nagar K T Road TirupatiChittoor517507,6639325.00
12,2007-2008,Andhra Pradesh,010190215,Academy of Rural Children's Health and Integrated Educational Soceity,Balaji Rao Peta IInd Line TenaliGuntur. Andhra Pradesh-522201,0.00
13,2007-2008,Andhra Pradesh,010120029,Accion Fraterna Trust,Accion Fraterna  Banglore High Way AnantpurAndhra Pradesh-515001,33351634.00
14,2007-2008,Andhra Pradesh,010180097,Action,"Krushna Sadan
Dr.Meda Ranga Prasada Rao Gardens
HUKUMPET P.O.
RAJAMAHENDRAVARAMRAJAMAHENDRAVARAM533106",10005144.00
15,2007-2008,Andhra Pradesh,010180009,Action for Development,DNO.2-6-25/1 Rama Rao Pet Tadipalligudam West Godavari A.P.-534101,8243186.00
16,2007-2008,Andhra Pradesh,010350101,Action for Fisher People's Awareness And Involvement,C-11 Prince Apartments  Marripalem P.O.Visakhapatnam (Andhra Pradesh)-530018,14888415.00
17,2007-2008,Andhra Pradesh,010190143,Action for integrated Rural and Tribal Development Social Service Society,AthotaGuntur522306,4359164.00
18,2007-2008,Andhra Pradesh,010270164,Action for Rural Development,79/10-161 Krishna Nagar B-Camp KurnoolAndhra Pradesh-518002,0.00
19,2007-2008,Andhra Pradesh,010180126,Action for Welfare and Awakening in Rural Development,D.No. 6-55A Parimpuri PO Koyala  West GodavariAP-534312,83250.00
20,2007-2008,Andhra Pradesh,010120077,Action for Welfare and Awakening in Rural Environment Association,Door No.12-8005th Cross Sai Nagar AnantapurAndhra Pradesh-515001,0.00
21,2007-2008,Andhra Pradesh,010160226,Action in Development,L.M. Compound Pulivendla CuddapahAP-516390,0.00
22,2007-2008,Andhra Pradesh,010340028,Action in Rural Technology and Services,Chandraiahpeta St Amadalavalasa SrikakulamA.P.-,2620363.00
23,2007-2008,Andhra Pradesh,010180128,Action Water India,JP Road Bhimavaram West GodavariAP-534202,16545519.40
24,2007-2008,Andhra Pradesh,010180213,Adarsa Educational Society,Raghava Puram (p&V) Chintalapudi Mandal EluruWest Godavari Andhra Pradesh-534460,0.00
25,2007-2008,Andhra Pradesh,010120066,Adarsa Rural Integrated Development Society,Door No.3/37 Agraharam Village & Post  Office Bakkaputnum Mandal`Distt. Anantapur A.P.-,41380.00
26,2007-2008,Andhra Pradesh,010120024,Adarsh Community Development Trust,11/270 Aravinda Nagar AnantpurAndhra Pradesh-,8322935.00
27,2007-2008,Andhra Pradesh,010270175,Adarsha Educational and Rural Development Society,H.No.30-159 Gopal Nager Nandyal KurnoolAndhra Pradesh-518501,0.00
28,2007-2008,Andhra Pradesh,010270151,Adarsha Educational Society,H. No. 7-72-8 Nadagadda St. NandyalKurnool District -518501,0.00
29,2007-2008,Andhra Pradesh,010270141,Adarsha Rural Development Society,H.No.49-50 A 33 BSree Ram Nagar Kurnool Andhra Pradesh-518002,0.00
30,2007-2008,Andhra Pradesh,010190170,Adarsha Rural Development.Society,H.No.17-1-120/A Dafuumalli Vari St PO Bapatla GunturA.P.-522101,0.00
31,2007-2008,Andhra Pradesh,010330081,Adarsha Rural Health & Economic Development Society,H.No.7-9-4 Lawyerpet   Ongle Andhra Pradesh  -523002,0.00
32,2007-2008,Andhra Pradesh,010190304,Aditya Educational Academy,D. No. 11-280 Telecom Nagar II Lane Amravathi RoadGuntur (Andhra Pradesh)-522034,0.00
33,2007-2008,Andhra Pradesh,010350193,Adivasi Mitra Welfare society,C-24 ITDA Quarters Paderu Distt: VisakhapatnamAndhra Pradesh-531024,0.00
34,2007-2008,Andhra Pradesh,010270085,Adoni Area rural Development Initiatives Programme    AARDIP,"Ambedkar Gnanakendram
LP No.53/86 
Manjunatha Estate 
Aspari Road
ADONI-518301ADONI518301",11839591.00
35,2007-2008,Andhra Pradesh,010170052,AELC Shanti Parishadhana Patshala Lutherigiri,Rajah Mundary Distt. East Godavari Andhra Pradesh. -,57619.00
36,2007-2008,Andhra Pradesh,010140240,Akshaya Kshetram,18-1-90/A Yasoda Ng KT Road Tirupati ChittoorAP-517507,229845.00
37,2007-2008,Andhra Pradesh,010270160,Al Madeenah Educational and Welfare Society,H. No. 11-129 E4.1Abbas Nagar KurnoolAndhra Pradesh-518002,0.00
38,2007-2008,Andhra Pradesh,010160203,Al-Ameen Society,Gandhi Rd Vempalle CuddapahAP-516329,0.00
39,2007-2008,Andhra Pradesh,010190236,Al-Madina Muslim Education and Cultural Assoication,M.V. Raju Palem Karlapalem (post & mandal)Guntur Andhra Pradesh.-522111,0.00
40,2007-2008,Andhra Pradesh,010330072,Alivelu Mangamma Mahaila Mandali,Daivalaravuru Korisapadu Mandal Distt. Prakasam Andhra Pradesh  -,0.00
41,2007-2008,Andhra Pradesh,010140105,All Christian Evangelical and Social Service Fellowship,D/No 1/23 1/24 Kanavamitta Village Parameswara Mangalampost Puttur Chittor Dist517583,1661133.00
42,2007-2008,Andhra Pradesh,010190323,Almighty God Church Ministries,Narakoduru (P) Chebrolu (MD) GunturAndhra Pradesh-522212,50964.00
43,2007-2008,Andhra Pradesh,010170160,Alpha Educational and Welfare society,D.No.1-9-10Kondayyapeta PeddapuramEast GodavariAndhra Pradesh-533437,1126836.00
44,2007-2008,Andhra Pradesh,010160262,Alpha Educational Society,Saipet Cuddapah Distt.Andhra Pradesh.-516001,0.00
45,2007-2008,Andhra Pradesh,010330036,Alpha Rural Development Society,Giddalur PrakasamAP-523357,0.00
46,2007-2008,Andhra Pradesh,010350140,Alvar Helms Mission And Welfare Society,D.No.3-7-32 Navajyothi Colony Near Satyam LandmarkBalajipeta Road Hukkumpeta Post Rajahmundry533104,5570103.00
47,2007-2008,Andhra Pradesh,010170016,Ambajipeta Women's Hospital Association,Ambajipeta  Eistt. East Godavari A.P. -,1488357.00
48,2007-2008,Andhra Pradesh,010270198,Ambassadors for christ Ministries foundation,H.No. 6/305-37 TGK Nagar Town/City : AdoniDistt: Kurnool Andhra Pradesh-518301,410957.00
49,2007-2008,Andhra Pradesh,010260288,Ambedkar Educational Society,D.No 9-57 raya Nagar Town/City: GannavaramDistt: Krishna Andhra Pradesh-521101,0.00
50,2007-2008,Andhra Pradesh,010170202,Amen Society for Women Welfare,Teacher's Colony D.No.181 Ramanayapeta APSP (PO) KakinadaEast Godavari (Andhra Pradesh)-533005,0.00
51,2007-2008,Andhra Pradesh,010120159,Ananta Education & Service Society,Door no- 28/650-A S.B.I. Colony Engineering College Road          Anantapur Andhra Pradesh          -515001,0.00
52,2007-2008,Andhra Pradesh,010120167,Anantapur Don Bosco Society,Donbosco RaptaduAnantapur Distt. (A.P.)-515722,1192565.00
53,2007-2008,Andhra Pradesh,010120251,Anantapur Rotary Educational and service society,15/442-20/1 Kamalanagar Distt: AnantpurAndhra Pradesh-515001,13767.00
54,2007-2008,Andhra Pradesh,010270192,Anantha Jyothi Vocational & Rehabilitation Centre for the Mentally Retarded and Handicapped,D.No.2-214 Main Road Gonegandla PO & Mandal GonegandlaKurnool (Andhra Pradesh)-518463,0.00
55,2007-2008,Andhra Pradesh,010120195,Anantha Paryavarana Parirakshana Samithi,# 13-724-39A Khajanagar AnantapurAndhra Pradesh-515001,6581835.00
56,2007-2008,Andhra Pradesh,010260049,Andhra Capuchin Society,Assissi Ashram Enikepadu Vijayawada Distt. KrishnaAndhra Pradesh.-,12890716.00
57,2007-2008,Andhra Pradesh,010180071,Andhra Christian Faith Evangelistic Association,Railway Station Peta Narsapur Post Distt. West GodavariA.P.-,420540.00
58,2007-2008,Andhra Pradesh,010190013,Andhra Evengelical Lutheran Church,Post Box-232 Brodipet Distt. Guntur A.P. -,9812069.00
59,2007-2008,Andhra Pradesh,010140349,Andhra Paradesh Vyavasaya Vruthidarula Union,No. 6; S.B.I.; Kongareddipalli ChittorAndhra Pradesh-517001,5256167.00
60,2007-2008,Andhra Pradesh,010260081,Andhra Pradesh Council of Churches,Samanvay Deepthi Chambers VijayapuriHyderabad.-,0.00
61,2007-2008,Andhra Pradesh,010260251,Andhra Pradesh Girijana Sevak Sangh,Chndamamapeta Nandigama Krishna DistrictAndhra Pradesh-,0.00
62,2007-2008,Andhra Pradesh,010170020,Andhra School of Preaching,P.O.Box-38 Rajamundary Distt. East Godavari A.P. -,41477219.00
63,2007-2008,Andhra Pradesh,010140272,Andhra Seva Samiti,Pachikapalam Village & Post Vedurukuppam MandalChittoor District (A.P.)-517569,0.00
64,2007-2008,Andhra Pradesh,010140333,Animal Care Land,H.No. 13-6-600-44-39 Peddakapu LayoutTirupatiChittoor (A.P.)-517501,802111.00
65,2007-2008,Andhra Pradesh,010180200,Anjali Institute of Research and Rehabilitation for the Mentally Handicapped and Other Disabled,Ist Street Bradipet Parvati Nagar Palakole West GodavariAndhra Pradesh-223738,0.00
66,2007-2008,Andhra Pradesh,010270040,Anjuman-Ekk-Islamia,Distt. Kurnool A.P. -,0.00
67,2007-2008,Andhra Pradesh,010140145,Annai Therasa Social Works Association,4/64 East Street Madunambedu Vill. & P.O.Distt. Chittoor A.P-,10430894.58
68,2007-2008,Andhra Pradesh,010260280,Annamma School for Hearing & Physically Handicapped and Baby Care Centre,Opp. Police Quarters VTPS Road Ibrahimpatnam VijayawadaKrishna (A.P.)-521456,565017.00
69,2007-2008,Andhra Pradesh,010190256,Anne Yarlagadda Charitable Trust,Menno Clinic India 2-14 Chiluvuru(Vill.)Duggirala(Mandal)GunturAndhra Pradesh-,1849427.00
70,2007-2008,Andhra Pradesh,010170013,Annie Owe Memorial Orphanage,Kalavacherla Rajahmudry Tal.  Distt. East Godavari  Andhra Pradesh-,0.00
71,2007-2008,Andhra Pradesh,010180204,Antinory Social Service Society,D.No.14-129/A Vidya Nagar Eluru West GodavariAndhra Pradesh-534007,946194.00
72,2007-2008,Andhra Pradesh,010170168,Apostolic Life Ministries of India,1-157/A near Chinna Bridge KapileswarapuramEast GodavariAndhra Pradesh-533309,1776375.40
73,2007-2008,Andhra Pradesh,010260039,Appolstolic Church,Patchapuram Bantamili Distt. Krishna A.P. -,0.00
74,2007-2008,Andhra Pradesh,010340005,Appropriate Reconstruction Training and Information Centre,Kotturu Distt. Srikakulam A.P.   -,996635.00
75,2007-2008,Andhra Pradesh,010140314,Aragonda Appollo Medical and Educational Research Foundation,Aragonda Village Tavanampalle Mdl Chittoor DistrictAndhra Pradesh-517129,0.00
76,2007-2008,Andhra Pradesh,010160240,Aran Jyothi Mahila Mandali,D No 07/841 02 Mruthyunjaya KuntaCuddapah,0.00
77,2007-2008,Andhra Pradesh,010350051,Ardar,L.I.G.-B-126/6 MVP Colony  VisakhapatnamA.P.-530017,15963237.00
