S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2007-2008,Sikkim,227450004,HIMALAYA EDUCATOINAL SOCIETY,TEMISOUTH SIKKIM737106,0.00
2,2007-2008,Sikkim,227430009,Human Development Foundation of Sikkim,Lepcha CottageChanbari P O Raj BhavanGangtok,8146946.00
3,2007-2008,Sikkim,227430008,Indo Swiss Project Sikkim Trust,Gesarkhang NH 31/A Opp. Kanchen ViewGangtok Sikkim-737102,0.00
4,2007-2008,Sikkim,227430003,Karmapa Charitable Trust,Dharma Chakra Centre P.O.RumtekSikkim-,37348332.00
5,2007-2008,Sikkim,227430010,Namgyal Institute of Tibetology,Deorali Gangtok EastSikkim-737102,0.00
6,2007-2008,Sikkim,227430011,National Association for the Blind Sikkim Branch,Paljor Stadium Road Post Box No.92 Gangtok EastSikkim-737101,0.00
7,2007-2008,Sikkim,227450002,Serdup Choling (Trust) Monastry,Allay Compound Namchi South DistrictSikkim-,1188258.00
8,2007-2008,Sikkim,227430012,Sikkim Development Foundation,Tashi Khar Chungyal Complex MG Marg GangtokEast Division Sikkim-737101,0.00
9,2007-2008,Sikkim,227450001,Sikkim Presbytarian Free Church Board,P.O.Turuk Melli Bazar South SikkimSikkim-,1000.00
10,2007-2008,Sikkim,227430006,Voluntary Health Association of Sikkim,"BAHAI SCHOOL ROAD
DARAGAON TADONG GANGTOKGANGTOK737102",5599325.00
