S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2011-2012,Himachal Pradesh,182520025,Action Research and Training Institute (ARTI),V.P.O. Rajgarh Distt.- SirmourHimachal Pradesh-173101,0.00
2,2011-2012,Himachal Pradesh,182550001,Ankur Welfare Association,Radha Swami Road Gagret UnaHimachal Pradesh-177201,0.00
3,2011-2012,Himachal Pradesh,182510029,Association for Social Health in India,2 Craig Garden Near Secretariat Distt.- ShimlaHimachal Pradesh-171002,3785022.00
4,2011-2012,Himachal Pradesh,182450059,Association for the Rural and Technical Education Centre,Vill. and P.O. Malan Tehsil and Distt. Kangra Himachal PradeshKangra176047,0.00
5,2011-2012,Himachal Pradesh,182520027,"Awarness Services for Rural Areas ""ASRA""",Vill. & PO Nainidhar Teh  Shillai SirmourHimachal Pradesh-173027,0.00
6,2011-2012,Himachal Pradesh,182500014,BODHICHITA FOUNDATION CHARITABLE TRUST,REWALSAR DISTT MANDIREWALSAR175023,0.00
7,2011-2012,Himachal Pradesh,182450019,Bodhicitta Welfare,Tashi Jong Taragarh  Dist. KangraHimachal Pradesh-176081,246456.00
8,2011-2012,Himachal Pradesh,182540018,CHINMAYA EDUCATIONAL SOCIETY,CHINMAYA VIDYALAYA DR. Y. S. PARMAR UNIVERSITY OF HORTICULTURE AND FORESTRY NAUNISOLAN173230,1169055.00
9,2011-2012,Himachal Pradesh,182450025,Chinmaya Tapovan Trust, Kangra Himachal Pradesh -,349594.00
10,2011-2012,Himachal Pradesh,182520020,Community Action for Rural Excellence,V.P.O. Birla Teh Nahan  Via-Dadahu Distt-Sirmour -173022,0.00
11,2011-2012,Himachal Pradesh,182450068,COMMUNITY GROWTH SOCIETY,VILLAGE GAMRUDHARAMSALA176215,0.00
12,2011-2012,Himachal Pradesh,182450005,Dalai Lama's Central Tibetan Relief Committee,Central Tibetan Sectt Gang Chen Kyeshaong Session Rd. DharamshalaDist: Kangra Himachal Pradesh-176715,148362191.82
13,2011-2012,Himachal Pradesh,182500005,Deen Bandhu Seva Mandal,Bharnal  MandiHimachal Pradesh -,0.00
14,2011-2012,Himachal Pradesh,182470009,Dhagpo Shedrup Ling Monastic Cultural Society,Vill.& PO-Kais Kothi-Kais KulluHimachal Pradesh-175101,16115030.56
15,2011-2012,Himachal Pradesh,182450026,Dip Tsechokling Monastery School, Dist: KangraHimachal Pradesh-,1941458.00
16,2011-2012,Himachal Pradesh,182500010,Divya Manav Jyoti Anathalaya,Village and Post- Dehar MandiHimachal Pradesh-175030,0.00
17,2011-2012,Himachal Pradesh,182450046,Dongyu Gatsal Ling Trust,Tashi Jong P.O.-TaragarhDistt.-Kangra Himachal Pradesh-176081,12733197.25
18,2011-2012,Himachal Pradesh,182450056,Dorzong Manastic Institute Charitable Trust,Tashi Jong PO- Taragarh KangraHimachal Pradesh-176081,5676321.00
19,2011-2012,Himachal Pradesh,182430005,Education Society,Chaminu PO Baror via Sultanpur Dist: ChambaHimachal Pradesh-,2696100.00
20,2011-2012,Himachal Pradesh,182450033,Foundation for Universal Responsibility of his Holiness,East Court Zone Macleodganj Dharamala Dist. KangraHimachal Pradesh-,123563.96
21,2011-2012,Himachal Pradesh,231661206,GAYATRI DEVI MEMORIAL CHARITABLE TRUST,Gayatri Public School Village Chameru Tehsil JaisinghpurKangra176064,3289592.00
22,2011-2012,Himachal Pradesh,182510036,GRAMIN VIKAS AVAM MANAV KALYAN SAMITI,DIVYA KUNJ NEAR DAV SCHOOLTOTU SHIMLA171011,0.00
23,2011-2012,Himachal Pradesh,182470005,H.P. Mahila Kalyan Mandal, Dist. KulluHimachal Pradesh-,158575.00
24,2011-2012,Himachal Pradesh,182480004,Highlander Charitable Society,House No 117Kaza172114,0.00
25,2011-2012,Himachal Pradesh,182510012,Himachal Harijan Kalyan Sanstha Theog, SimlaHimachal Pradesh-,0.00
26,2011-2012,Himachal Pradesh,182510014,Himachal Pradesh Voluntary Health Association,B-37 Phase-ISector-II New Shimla171009,10434858.00
27,2011-2012,Himachal Pradesh,182500009,Himalaya International Health Institute D.B.A.,APPI Charitable Foundation Clinic  TrustChobata Bazar Mandi H.P.-175001,746661.00
28,2011-2012,Himachal Pradesh,182510020,Himalayan  Research Group,Umesh Bhavan Chotta Shimla  ShimlaH.P.-171002,0.00
29,2011-2012,Himachal Pradesh,182470015,Himalayan Buddhist Cultural Association,P.O. Box No. 74Rangri P.O. Manah111111,1478241.00
30,2011-2012,Himachal Pradesh,182450037,Himalayan Jeevan Nirman Rural Development Society,P.O.Box. No.7 PO Palampur Dist. KangraHimachal Pradesh-176061,0.00
31,2011-2012,Himachal Pradesh,182510026,Hind Sewa Sangathan,Trimorty Bhawan Cemetry RoadShimla (Himachal Pradesh)-171006,0.00
32,2011-2012,Himachal Pradesh,182450006,His Holiness The Dalai Lama s Religious and Cultural Society,Central Tibetan SecretariatDharamsala176215,20927021.49
33,2011-2012,Himachal Pradesh,182450013,His Holiness The Dalai Lama's Charitable Trust,Gangchen Kyishong P.O Dharamsala Dist: KangraHimachal Pradesh -176215,22963132.20
