S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
65,2011-2012,Jammu & Kashmir,152710017,Mahabodhi Intermational Meditation Centre,P.Box 22 Devachan Leh - LadakhJammu & Kashmir-194101,30101721.00
66,2011-2012,Jammu & Kashmir,152680014,Marpa Ling Lamdon Model School Zanskar,Strongday Zanskar PadumKargil194302,5794452.00
67,2011-2012,Jammu & Kashmir,152690003,MATA VANKHANDI PUBLIC CHARITABLE TRUST,VPO NAHUSEHRA MAHANPUR TEHSIL BASOHLIKATHUWA184202,0.00
68,2011-2012,Jammu & Kashmir,152670006,Model Institute of Education and Research,B.C. Road Jammu  Jammu & Kashmir-180001,0.00
69,2011-2012,Jammu & Kashmir,152710004,Moravian Mission School,P.Box. - 7 Leh LadakhJammu & Kashmir-194101,4183000.00
70,2011-2012,Jammu & Kashmir,152750016,Mother Women Welfare Organisation,H. No. 6 Kursu Rajbagh SrinagarJammu & Kashmir-190008,0.00
71,2011-2012,Jammu & Kashmir,152680012,Mutahhary Educational Society Kargil,Behind LAHDC Office MPS Bldg. Kargil Jammu and Kashmir -194103,0.00
72,2011-2012,Jammu & Kashmir,152740003,National Development Foundation,House No.6 Sector A Opp. Parshotam BhawanSubashnagar,4725730.00
73,2011-2012,Jammu & Kashmir,152670031,NATIONAL INDUSTRIAL TRAINING AND CONSULTANCY(NITCO),Arya Kanya VidalayaPurani Mandi180001,0.00
74,2011-2012,Jammu & Kashmir,152710053,New Millennium Education Foundation Ladakh,Murtse Dambochan Agling LehLeh194101,7536300.00
75,2011-2012,Jammu & Kashmir,152710055,NGARI INSTITUTE OF BUDDHIST DIALECTICS,Saboo Do SkyidchanLEH194101,260245.00
76,2011-2012,Jammu & Kashmir,152670004,North India Pentecostal Fellowship,R.S. Pura Jammu Jammu & Kashmir-181102,129041.00
77,2011-2012,Jammu & Kashmir,152750021,Office of the Chief Executive Officer Shri Amarnathji Shrine Board,Raj Bhavan Srinagar Jammu and Kashmir -180001,0.00
78,2011-2012,Jammu & Kashmir,152710046,Pegon Phagspa Nastan Bakula Institute,Pethub Gonpa P.O Box No. 115 Distt. Leh - Ladakh-194101Leh194101,1482480.00
79,2011-2012,Jammu & Kashmir,152670028,PIR PANCHAL,h no 40 gandhi chowk lane subash nagar jammujammu180005,1222648.00
80,2011-2012,Jammu & Kashmir,152630002,Qudsiyya Health Care and Education Trust,Mazbugh Near Fruit MandiSopore193201,372094.00
81,2011-2012,Jammu & Kashmir,152670019,Ramakrishna Mission,Udhowala PO Aqualpur JammuJammu & Kashmir-180002,152422.00
82,2011-2012,Jammu & Kashmir,152680009,Rangdum Gonpa Cultural and Welfare Society,Rangdum Labrang Near Polo Ground Leh LadakhKargil (J&K)-194101,1509464.00
83,2011-2012,Jammu & Kashmir,152610002,Rehmat E Alam Hospital Trust Anantanag,Kralyar (Anantanag) Kashmir Anantanag TownAnantnag (J&K)-192101,0.00
84,2011-2012,Jammu & Kashmir,152710020,Rizong Cultural And Welfare Society,Lanlcing Leh- LadakhJ&K-,19526489.00
85,2011-2012,Jammu & Kashmir,152710056,Rural Development and You Society,Hemis Complex Zangsti PO BOX NO 144LEH194101,0.00
86,2011-2012,Jammu & Kashmir,152750029,S.R. INSTITUTE OF DEVELOPMENT,Room No. -6 NGO Complex Opp.-Masjid Bilal Ram BagSrinagar190015,0.00
87,2011-2012,Jammu & Kashmir,152710043,Sacred Educational Society of Ladakh (SESOL),Murtsey Colony - Near FRLLeh - Ladakh194101,353368.00
88,2011-2012,Jammu & Kashmir,152670029,SAHYOG INDIA,3 / 56 – A DAULAT BHAWANR. S. PURA181102,1548784.00
89,2011-2012,Jammu & Kashmir,152750008,Salfia Muslim Educational Resesarch Trust,J&K Jamiat Manzil Barbar Shah SrinagarJ&K-,0.00
90,2011-2012,Jammu & Kashmir,152670013,Sapna Grameen Udyog,H/o Colony Ward No1 Bishnah Jammu TawiJ&K-181132,0.00
91,2011-2012,Jammu & Kashmir,152710048,Servant of the Society Club,Malpak Complex LehLeh Ladakh194101,752887.00
92,2011-2012,Jammu & Kashmir,152670027,Sewa Bharti,Ved Mandir AmphalaJammu180005,2569763.00
93,2011-2012,Jammu & Kashmir,152750026,She Hope Society For Women Enterpuners,Wayil Ganderbal Kashmir IndiaGanderbal191201,10786275.00
94,2011-2012,Jammu & Kashmir,152760009,Shri Mata Vaishno Devi Shrine Board,Katra Udhampur (Jammu and Kashmir) -,9804316.25
