S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2011-2012,Haryana,172270053,AADARSHWELFARE SOCIETY(REGD.),WARD NO.1 SAINI DHARAMSHALA SAINIPURA TAURUGURGAON122105,0.00
2,2011-2012,Haryana,172250011,Adarsh Samaj Sahayog Samiti,House No. 909 Sector 9 FaridabadHaryana-121006,0.00
3,2011-2012,Haryana,172390007,Adarsh Saraswati Shiksha Samiti,Sant Graib Das Gali No. 2 Kakrai Rd SonepatHaryana-,252282.00
4,2011-2012,Haryana,172200003,Al-Rasheed Charitable Society,91/2Gandhi Nagar Buria Road JadadhriYamuna Nagar Haryana-,11359472.00
5,2011-2012,Haryana,172310001,Aparna Trust,Madhuban  Karnal Haryana-,3343941.00
6,2011-2012,Haryana,172270033,Apollo Dealers and consumers Welfare Trust,Plot No.7 Sector 32 I GurgaonHaryana-122001,0.00
7,2011-2012,Haryana,172270021,Aravali Vikas Sangathan,Vill.& P.O. Daulah Gurgaon-DisttHaryana-,0.00
8,2011-2012,Haryana,172310007,Arpana Handicrafts, KarnalHaryana-,0.00
9,2011-2012,Haryana,172310008,Arpana Products, Karnal Haryana-,0.00
10,2011-2012,Haryana,172310002,Arpana Research & Charities Trust, KarnalHaryana -,7577990.32
11,2011-2012,Haryana,172350009,Association for Social Health in India Haryana State Branch,Ashiana Children Home Building Opp H No 642 Sector 16Panchkula134109,0.00
12,2011-2012,Haryana,172250010,Association for the Welfare of Handicapped,3 A / 163 N.I.T. FaridabadHaryana-121001,0.00
13,2011-2012,Haryana,172230005,Baba Yogi Neta Nath Trust,Village Lohani Tehsil and District BhiwaniHaryana127021,0.00
14,2011-2012,Haryana,172350003,Bal Sadan Association,I- 9 Sector 12 A PanchkulaHaryana-134112,43099.00
15,2011-2012,Haryana,172230001,Baptist Girls Hostel, BhiwaniHaryana-,875156.00
16,2011-2012,Haryana,172250003,Bethany Social Service Society,A-2 Central Graman N.H.5 FaridabadHaryana-121001,75000.00
17,2011-2012,Haryana,172350008,BHARAT MEMORIAL CHARITABLE TRUST,86 INDUSTRIAL AREA PHASE IPANCHKULA134109,17597.06
18,2011-2012,Haryana,172210018,Centre for Rural Development & Social Awareness,VPO Kherawaliu Via Kalka Dist. AmbalaHaryana-133302,0.00
19,2011-2012,Haryana,172370004,Chaubisee Vikas Sangh,Meham Dist. RohtakHaryana-,0.00
20,2011-2012,Haryana,172210008,Christian Hospital,Jagadhari Dist: AmbalaHaryana-,927506.00
21,2011-2012,Haryana,172330004,Dehat Vikas Kendra Dongra, Dist. MohindergarhHaryana-,0.00
22,2011-2012,Haryana,172270057,Dr. Vijay Kumar Foundation,1969 Sector 4Gurgaon122001,104520.00
23,2011-2012,Haryana,172270060,Education And development Society,Village Khuspuri Post Office Umra Tehsil NaginaNUH122108,0.00
24,2011-2012,Haryana,172250012,Educational Cum Vocational Association for the Disabled,100 FT.Road  Shyam Colony Ballabhgarh FaridabadHaryana-,434553.00
25,2011-2012,Haryana,172310005,Gandhi Smarak Nidhi, PanipatHaryana-,0.00
26,2011-2012,Haryana,172310013,Gayatri Khadi evam Gramodyog Samiti, Dist. KarnalHaryana-,0.00
27,2011-2012,Haryana,172370011,Gehlu Gian Bharti Shiksha Samiti,Village - Farmana Tehsil-Meham Distt.-RohtakHaryana-124520,0.00
28,2011-2012,Haryana,172270037,Genesis Foundation,A-50/5 DLF Qutab Enclave Phase-I GurgaonHaryana-122001,0.00
29,2011-2012,Haryana,172210022,Gram Sudhar Samiti,Khanpur Brahamanda AmbalaHaryana-,0.00
30,2011-2012,Haryana,172290007,Gram Swarajya Sansthan,196  Premnagar HissarHaryana-,0.00
31,2011-2012,Haryana,172230003,Gramin Vikas Mandal,Nihalgarh PO Rambass Dist. BhiwaniHaryana-,0.00
32,2011-2012,Haryana,172270019,GRAMIN VIKAS SAMITI,504/1 Bhim Garh Kheri-IINear Railway StationGurgaon Harayana - 122001GURGAON122001,0.00
33,2011-2012,Haryana,172200002,Gramin Vikas Vigyan Kendra,#303 CHOPRA GARDENYAMUNA NAGAR135001,0.00
34,2011-2012,Haryana,172400003,GRAMIN YUVA VIKAS MANDAL SERDHA,V.P.O. SERDHA DISTT. KAITHALKAITHAL136043,0.00
35,2011-2012,Haryana,172270029,Gurgaonharyana.com Society,668/11 Shivpuri GurgaonHaryana-122001,0.00
36,2011-2012,Haryana,172270056,Guru Nanak Sewa Sansthan,002/A Residency Ardee City Sector-52Gurgaon122001,0.00
37,2011-2012,Haryana,172330007,Habitat for Humanity,Post Box 1543-GPOAt-Rakshit Bhavan Kalaka Road near Keel FactoryRewari Haryana -123401,325689.00
38,2011-2012,Haryana,172270017,Haria Hera Gram Vikas Samiti,Vill-Hariahera P.O.-Ghamroj  Teh.-SohanaGurgaon Haryana-,0.00
39,2011-2012,Haryana,172370010,Haryana Navyuvak Kala Sangam,443/30 Dev Colony Delhi Road  RohtakHaryana-124001,0.00
