S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2010-2011,Himachal Pradesh,182520025,Action Research and Training Institute (ARTI),V.P.O. Rajgarh Distt.- SirmourHimachal Pradesh-173101,0.00
2,2010-2011,Himachal Pradesh,182550001,Ankur Welfare Association,Radha Swami Road Gagret UnaHimachal Pradesh-177201,0.00
3,2010-2011,Himachal Pradesh,182510029,Association for Social Health in India,2 Craig Garden Near Secretariat Distt.- ShimlaHimachal Pradesh-171002,3082837.00
4,2010-2011,Himachal Pradesh,182450059,Association for the Rural and Technical Education Centre,Vill. and P.O. Malan Tehsil and Distt. Kangra Himachal PradeshKangra176047,0.00
5,2010-2011,Himachal Pradesh,182520027,"Awarness Services for Rural Areas ""ASRA""",Vill. & PO Nainidhar Teh  Shillai SirmourHimachal Pradesh-173027,0.00
6,2010-2011,Himachal Pradesh,182500014,BODHICHITA FOUNDATION CHARITABLE TRUST,REWALSAR DISTT MANDIREWALSAR175023,0.00
7,2010-2011,Himachal Pradesh,182450019,Bodhicitta Welfare,Tashi Jong Taragarh  Dist. KangraHimachal Pradesh-176081,201789.00
8,2010-2011,Himachal Pradesh,182540018,CHINMAYA EDUCATIONAL SOCIETY,CHINMAYA VIDYALAYA DR. Y. S. PARMAR UNIVERSITY OF HORTICULTURE AND FORESTRY NAUNISOLAN173230,494697.00
9,2010-2011,Himachal Pradesh,182450025,Chinmaya Tapovan Trust, Kangra Himachal Pradesh -,455577.00
10,2010-2011,Himachal Pradesh,182520020,Community Action for Rural Excellence,V.P.O. Birla Teh Nahan  Via-Dadahu Distt-Sirmour -173022,0.00
11,2010-2011,Himachal Pradesh,182450005,Dalai Lama's Central Tibetan Relief Committee,Central Tibetan Sectt Gang Chen Kyeshaong Session Rd. DharamshalaDist: Kangra Himachal Pradesh-176715,156885604.42
12,2010-2011,Himachal Pradesh,182500005,Deen Bandhu Seva Mandal,Bharnal  MandiHimachal Pradesh -,0.00
13,2010-2011,Himachal Pradesh,182470009,Dhagpo Shedrup Ling Monastic Cultural Society,Vill.& PO-Kais Kothi-Kais KulluHimachal Pradesh-175101,10247308.11
14,2010-2011,Himachal Pradesh,182450026,Dip Tsechokling Monastery School, Dist: KangraHimachal Pradesh-,1306508.00
15,2010-2011,Himachal Pradesh,182500010,Divya Manav Jyoti Anathalaya,Village and Post- Dehar MandiHimachal Pradesh-175030,0.00
16,2010-2011,Himachal Pradesh,182450046,Dongyu Gatsal Ling Trust,Tashi Jong P.O.-TaragarhDistt.-Kangra Himachal Pradesh-176081,26203488.48
17,2010-2011,Himachal Pradesh,182450056,Dorzong Manastic Institute Charitable Trust,Tashi Jong PO- Taragarh KangraHimachal Pradesh-176081,480756.00
18,2010-2011,Himachal Pradesh,182430005,Education Society,Chaminu PO Baror via Sultanpur Dist: ChambaHimachal Pradesh-,3195177.00
19,2010-2011,Himachal Pradesh,182450033,Foundation for Universal Responsibility of his Holiness,East Court Zone Macleodganj Dharamala Dist. KangraHimachal Pradesh-,5364466.98
20,2010-2011,Himachal Pradesh,231661206,GAYATRI DEVI MEMORIAL CHARITABLE TRUST,Gayatri Public School Village Chameru Tehsil JaisinghpurKangra176064,0.00
21,2010-2011,Himachal Pradesh,182470005,H.P. Mahila Kalyan Mandal, Dist. KulluHimachal Pradesh-,0.00
