S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2010-2011,West Bengal,147030030,16 Mile Rural Development Society,16 Mile PO-Gurutola Malda town MaldaWest Bengal-732127,0.00
2,2010-2011,West Bengal,147120791,8No.Bhukailash Road Swami Vivekananda Homoeo Clinic and Charitable Dispensary,8 No.Bhukailash Road KolkataWest Bengal-700023,0.00
3,2010-2011,West Bengal,147040468,A.S. Charitable Fund,At & Po - Math Chandipur Dna MidnaporeWest Bengal-271659,0.00
4,2010-2011,West Bengal,147040284,Abhijan Sangha,P.o.nandkumar SridharpurMidnapore -721632.-,0.00
5,2010-2011,West Bengal,147110277,Abubakkar Khan Seba Sadan,Purba Bayar Singh Via PathankhaliP S Basanti743611,0.00
6,2010-2011,West Bengal,147050073,ABUL KALAM AZAD MASS EDUCATION SOCIETY,Village – Kadam Sarif P.O. – Roshan Bagh P.S. – MurshidabadRoshan Bagh742164,0.00
7,2010-2011,West Bengal,147110004,Accord,"51/A Middle Road Sourth View Apartment Ground Floor 
Barrackpore P.O. : Nona-Chandanpukur Dist. North 24 Parganas kolkata - 700122.Barrackproe700122",0.00
8,2010-2011,West Bengal,146930028,Action for Socio-Economic Upliftment of Rural Environment,C/O Dr Gorachand Khan Andrewspalli SantiniketanBirbhum Distt. (West Bengal)-731235,0.00
9,2010-2011,West Bengal,147110251,Action Of Promoters For Dev.& Liberation,Mamudpur P.o.kanyanagarSouth 24 Parganas -743503.-,0.00
10,2010-2011,West Bengal,147120090,Adorers Congregation,P - 8 C.i.t.road Park Circus KolkataWest Bengal-700017,5807910.43
11,2010-2011,West Bengal,146990073,Aeabinda Pally Bharat Kristi Seva Sangha,265 Arvinda Pally Konagar Dist- HooghlyWest Bengal-712235,0.00
12,2010-2011,West Bengal,147120675,Agape Education Mission,near 4 No. Bheri  Nowbhanga Sector- IV Salt Lake KolkataWest Bengal-700105,2896866.00
13,2010-2011,West Bengal,147110890,Agarhati Sri Ramakrishna Sarada Sevashrama,Village and Post - Agarhati P.S. - SandeshkhaliBarasat743329,46027.00
14,2010-2011,West Bengal,147000104,Agradut Palley Unnayan Samity,Vpo Gaza HowrahW.b-711226,0.00
15,2010-2011,West Bengal,147000027,Agragati,Vil Kalikata Po Raspur  HowrahWest Bengal-711401,6146637.00
16,2010-2011,West Bengal,147040269,Agrani Sangha And Pathagar,Vil Jagannath Karbar Pirijkhanbar MidnaporeWb-721422,0.00
17,2010-2011,West Bengal,147040221,Agrani Sanket,Village- Mamudpur P.o.- Teghani Via KeldmalDist- Midnapore W B-,0.00
18,2010-2011,West Bengal,147120387,Ahead,153a Block -g New Alipore KolkataWest Bengal -700053,1.00
19,2010-2011,West Bengal,146940068,Aikyatan Development Society,At- Gushkara Dharapara PO-Gushkara BurdwanWest Bengal-,1349700.00
20,2010-2011,West Bengal,147040296,Ajodhyapur Palli Mangal Samiti, Vill.&p.o.ajodhyapurcontaiMidnapur -721401.-,0.00
21,2010-2011,West Bengal,146920056,AKASH GRAM UNNAYAN SAMITY,Village- Lodna P.O- LodnaP.S- OndaBankura722174,0.00
22,2010-2011,West Bengal,146940002,Akbarpur Sammelan,Po Nandanghat BurdwanWest Bengal-713515,0.00
23,2010-2011,West Bengal,147110973,AKHARPUR BASIRHAT BLOCK ONE SOCIAL WELFARE SOCIETY,AKHARPURP.O.-ITINDA P.S.-BASIRHATBASIRHAT743292,22000.00
24,2010-2011,West Bengal,146930021,Akhil Bharat Bhuvidya Parivesh Samiti,Pravat Sarani Boipur BirbhumWest Bengal-731204,0.00
25,2010-2011,West Bengal,147110291,Akshaynagar Pallisri Sangha,Block: Kakdwip AkshaynagarSouth 24 Parganas -743347-,766264.86
26,2010-2011,West Bengal,147000120,Al- Ameen Mission,Village- Khalt Pur P.o.- DehibhursulRajbalhul Howrah West Bengal-,0.00
27,2010-2011,West Bengal,147110440,Al-ameen Mill Mission,64 G.j. Khan Roadroad KolkataWb-,0.00
28,2010-2011,West Bengal,146940041,Al-madina Market Education $ Welfare,Society P.o.memari.madina MarketBurdwan -713146,24000.00
29,2010-2011,West Bengal,147000170,Alam Mistry Lane Manav Vikas  Samiti,11 Alam Mistry Lane HowrahWest Bengal-711101,746625.00
30,2010-2011,West Bengal,146980019,Albela Boys Home,P.o.kalimpong  Darjeeling West Bengal -734301,4091112.17
31,2010-2011,West Bengal,147110549,Ali S.k. Memorial Society For The Children,17A East RoadSantoshpur Kolkata24 Parganas (south) West Bengal-700075,2982480.00
32,2010-2011,West Bengal,147040281,Alinan R.K.Vivekananda Yuva Sangha, Vill.&p.o.alinanMidnapur -721137.-,17729.00
33,2010-2011,West Bengal,147020044,Alipurduar Adivasi Vikas Manch,Vill-Chechakhata P.o.-Alipurduar west BenagalAlipurduar736123,0.00
34,2010-2011,West Bengal,147120586,All Backward Class Relief And Development Mission,17A GIRISH CHANDRA BOSE ROADKOLKATA700014,0.00
35,2010-2011,West Bengal,147120003,All Bengal Women's Union Child.wel.home,89 Elliot Road Calcutta -West Bengal-700016,1241446.95
36,2010-2011,West Bengal,147120129,All Bengal Women's Union Home,89 Elliot Road Calcutta West Bengal-700016,397497.00
37,2010-2011,West Bengal,147120262,All Bengal Womens Union,89 Elliot Road KolkataWest Bengal-700016,4094308.00
38,2010-2011,West Bengal,147120186,All Bengal Womens Union Balwadi Centre,89elliot Road Calcutta -West Bengal-700016,0.00
39,2010-2011,West Bengal,147120210,All Bengal Womens Union Primary School,89elliot Road Calcutta -West Bengal-700016,37869.00
40,2010-2011,West Bengal,147120474,All India Council For Mass Education & Development, KolkataWest Bengal-,0.00
41,2010-2011,West Bengal,147120147,All India Women Conference East Calcutta,B-248 Lake Town  Calcutta -  700089-,0.00
42,2010-2011,West Bengal,147120420,All India Womens Conference,Plot No. 5/11cit.sect -iv Beliaghata Main Road KolkataWest Bengal-700010,9498.00
43,2010-2011,West Bengal,147120889,ALOKA AND BIJOY SUR MEMORIAL TRUST,10 RADHA KANTA JEW STREET (GROUND FLOOR) P.S.- ULTADANGAKOLKATA700004,88505.00
44,2010-2011,West Bengal,147050058,Altab Charitable Society,Khidirpur P.O. ChhabghatiMurashidabad742201,0.00
45,2010-2011,West Bengal,147120872,ALUMNORUM SOCIETAS,30 PARK STREETKOLKATA700016,5933830.00
46,2010-2011,West Bengal,147120894,AMADER PADAKHEP,16-P K. P. Roy Lane DhakuriaKolkata700031,0.00
47,2010-2011,West Bengal,147040015,Amaltora Palli Jeva Sangha,M.k.n.s.building P.o.gidniMidnapore -721505.-,0.00
48,2010-2011,West Bengal,147120869,AMAN FOUNDATION KOLKATA,8/3 Abdul Halim LaneKolkata700016,44650.00
49,2010-2011,West Bengal,147120524,Amanat Foundation Trust,2h/22 Radha Gobinda Sahalane KolkataWest Bengal -700017,365172.00
50,2010-2011,West Bengal,147110520,Amar Club,Vill: Joykrishnapur Po:nandakumarpurps:raidighi24 Parganaswest Bengal-743349,0.00
51,2010-2011,West Bengal,147040200,Amar Seva Sangha,Raine MidnaporWest Bengal -721130,0.00
52,2010-2011,West Bengal,147110230,Amara Sabai Kailaspur Nandakumarpur Joutha Sanstha,Nandakumarpur KailashpurSouth 24 Parganas -743349.-,0.00
53,2010-2011,West Bengal,147000093,Ambagan Karmi Sangha,P.o.baliachakvill.subalchak Dist. HowrahWest Bengal -712416,0.00
54,2010-2011,West Bengal,147040443,Ambassadors Service Society,AT- PatharhuriPost-Binandapur Via-Kultikri S.D-KharagpurPaschim MedinipurWest Bengal-721135,6186920.10
55,2010-2011,West Bengal,147120610,Ambootia Welfare Trust,34A Metcalfe Street Kolkata West Bengal-700013,3051771.00
56,2010-2011,West Bengal,147000072,American Churches Of God Mission,Uluberia HowrahWb-711316,4682565.00
57,2010-2011,West Bengal,146920057,AMGORA ADIBASI MOHILA UNNAYAN SAMITY,Village-AmgoraP.O-KamalpurP.S-ChhatnaDist-BankuraBankura722137,0.00
58,2010-2011,West Bengal,147040521,Amjam Radhamadhab Social Welfare Society,Vill-Amjam PO-Kharika Mathani PS-NayagramKharagpurKolkataPaschim MedinipurWest Bengal-721159,0.00
59,2010-2011,West Bengal,147040578,AMMORA SUSAMA JALAPRATAT,DEMIRIHATTAMLUK721668,0.00
60,2010-2011,West Bengal,147040520,Amritberia Palli Unnayan Sangha,Vill/PO-AmritberiaPS-Mahishadal Purba MedinipurWest Bengal-721628,0.00
61,2010-2011,West Bengal,147000106,Amta Seva Samity,P.o.amta Block -amtaHowrah --711401,0.00
62,2010-2011,West Bengal,147000005,Ananda Niketan,West Bengal - 711303   -,0.00
63,2010-2011,West Bengal,147120545,Ananda Shankar Centre For Performing Arts,11f Palm Avenue KolkataWB-700019,31549.00
64,2010-2011,West Bengal,147110594,Anandan,7B Mandeville Gardens Kolkata24 Parganas (South) West Bengal-700019,416970.00
65,2010-2011,West Bengal,147070038,Anandanagar Development Society,Anandanagar P.o.-Baglata P.S.- JaipurPuruliaWest Bengal.-723215,2377511.65
66,2010-2011,West Bengal,146920061,Anchuri Palli Unnayan Samity,3 Nutanganj P.o Dist BankuraBankura722101,0.00
67,2010-2011,West Bengal,146930027,Andrewspalli Centre For Integrated Development,Andrewspalli (w) Santiniketan Birbhum (west Bengal) -731235,0.00
68,2010-2011,West Bengal,147110976,ANDULPOTA MADRASAH RAHAMANIA JUNIOR,VILL.- ANDULPOTA P.O.- RAJENDRAPURBASIRHAT743291,0.00
69,2010-2011,West Bengal,147000155,Animal & Bird Welfare Society,Vill: Singti P0-singti-sibpur Vill;area UdaynarayanpurhowarhWest Bengal-711226,0.00
70,2010-2011,West Bengal,147110790,Anirban Rural Welfare Society,Vill-Gondia PO-Bhadura PS-Diamond Harbour24 parganas(S)West Bengal-743504,631459.00
71,2010-2011,West Bengal,146990045,Aniya Pallimongal Samity, Vill.& P.o.aniyaHooghly -712706.-,0.00
72,2010-2011,West Bengal,147120792,ANJALI,P-23 Darga Road 2nd Floor Near Park CircusKolkata700017,177320.00
73,2010-2011,West Bengal,147000012,Ankurkala,9a Mehar Ali Road KolkataWb-700017,749017.59
74,2010-2011,West Bengal,147110026,Antara,30 Chowringhee Road 1chowringhee MansionCalcutta  - 700 016-,218652.00
75,2010-2011,West Bengal,147120518,Antaranga Society for Social And Economic Development,E-12 New Garia DevelopmentCo-operative Housing Society Ltd.700094,219762.00
76,2010-2011,West Bengal,147110381,Antyadaya Surja Sangha,Ranabeliaghata Baruipur P.O. Piyali Town 24 parganas SouthW.B.-743387,0.00
77,2010-2011,West Bengal,147120891,Anudip Foundation for Social Welfare,Vishnu Chambers Plot-14Block-GP Sector-V Salt Lake700091,5399085.00
78,2010-2011,West Bengal,146980080,Anugyalaya Darjeeling Diocese Social Service Society,C/o RCDC Hayden Hall Complex 42 Ladenla Road DarjeelingWest Bengal-734101,3653941.27
79,2010-2011,West Bengal,146990049,Apanjan Rural Development Sangha,Vpo Bhastara HooghlyWb-712303,45177.00
80,2010-2011,West Bengal,147110898,Aradhana Social and Development Organisation - 03,Nabin Sen Pally P. O. Nabapally Barasat Kolkata - 700 126 Dist. 24 Pgs. (N)Barasat (Town)700126,0.00
81,2010-2011,West Bengal,146990070,Arambagh Adarsha Pally Samaj, ArambaghHooghly -712601.-,294950.00
82,2010-2011,West Bengal,147040493,Arambati Jivan Jyoti,Arambat P.O. Nimpura MidnapurDistt.- Paschim Midnepur (W.B.)-721304,2308722.00
83,2010-2011,West Bengal,147110642,Arogya Sandhan Santoshpur,2Ramkrishna saraniEastern Park Santoshpur Kolkata24 Parganas(S)West Bengal-700075,0.00
84,2010-2011,West Bengal,147110514,Arpan  Mahila Samiti,Povillps:basanti South 24 ParganasWest Bengal-743312,6463842.00
85,2010-2011,West Bengal,146990071,Arunda Pally Unnayan Samity,Arundapo Ghole Hooghly Wb-712401,0.00
86,2010-2011,West Bengal,147120086,Arunoday Midway Home,48 Ripon Streetkolkotta700016,501048.75
87,2010-2011,West Bengal,147110783,Aryapara Nari Kalyan Samity,Vill/PO-Aryapara PS-Nodakhali 24 Parganas(S)West Bengal-743377,0.00
88,2010-2011,West Bengal,146940046,Asansol Burdwan Seva Kendra,55- B.b.ghosh Road Burdwan(post) Burdwan. -713101,13747031.00
89,2010-2011,West Bengal,146940019,Asansol Women's Work,Bengali Girl's Day School P.o.asansolBurdwan -713301.-,0.00
90,2010-2011,West Bengal,147000166,Asha Bhavan Centre,Vill-Katila PO-Banitabla Uluberia HowrahWest Bengal;-711316,51196709.74
91,2010-2011,West Bengal,147110014,Asha Welfare Society,Ganeshnagar  South 24 Parganas .w.b.-,0.00
92,2010-2011,West Bengal,147110939,Ashokenagar Kalyangarh Educational and Research Society,1499/10 Kalyangarh P.S- Ashokenagar24 Parganas (N)743272,0.00
93,2010-2011,West Bengal,147110085,Ashurali Gramonnayan Parisad,Ashurali Po Sadhurhat South 24 ParganasWb-743504,4072058.00
94,2010-2011,West Bengal,147110171,Ashurali Vivekananda Smriti Sangha,Po Sadhurhat  Ashlurali South 24 Parganas Wb-743504,5000.00
95,2010-2011,West Bengal,147120776,Asia Heart foundation,124 Mukundapur E.M. Bypass KolkataWest Bengal-700099,8331440.00
96,2010-2011,West Bengal,146980048,Asian Mission Outreach,P.o. Mungpoo DarjeelingWb-734313,1721782.00
97,2010-2011,West Bengal,147120293,Asian Outreach India,2nd Mile Sevoke Road Shastri NagarSiliguri -734401.-,5224911.57
98,2010-2011,West Bengal,147040272,Asnan Ma Sardamayee Mahila Samity,At/po Asnan Ps Moyna MidnaporeWb-721642,0.00
99,2010-2011,West Bengal,147120077,Assembly Of God Church School,18 Royed Street KolkataWest Bengal-700016,8649527.58
100,2010-2011,West Bengal,147120272,Assembly Of God Church Vernacular School,18royed Street CalcuttaWest Bengal -700016,21474555.05
101,2010-2011,West Bengal,147120341,Assembly Of God Church Vocational School,125/1 Park Street KolkataWest Bengal-700017,152123.23
102,2010-2011,West Bengal,147120748,Association for Deelopment of Human And Community Rebuilding,345 Ganguly Bagan DPP Road NaktalaKolkata. West Bengal-700047,221394.00
103,2010-2011,West Bengal,147120782,Association for Peoples Initiative for Liberation,2 Sukea row KolkataWest Bengal-700006,736171.00
104,2010-2011,West Bengal,147110956,Association for Rural Development,Krishna Kanan  Mukherjee Para  Bakshi Bagan lane  BarasatBarasat700124,0.00
105,2010-2011,West Bengal,147120722,Association for Social and Environmental Development,7 & 8 Golf Club Road KolkataWest Bengal.-700033,14774.00
106,2010-2011,West Bengal,147110553,Association For Social And Health Advancement,Be 135 Ground Floor Sector-i Salt Lake City CalcuttaNorth 24 Parganas (west Bengal)-700064,4701822.71
107,2010-2011,West Bengal,147020035,Association for Social Communication and  Activities,Vill-Borosoalmari P.O.-Falakata Falakata JalpaiguriWest Bengal.-735211,0.00
108,2010-2011,West Bengal,147120691,Association of Bengal Collaborators for Development,52-DR.N Choudhury Road KolkataWest Bengal-700015,14240570.94
109,2010-2011,West Bengal,147120142,Association Of Voluntary Blood Donors,20a Fordyce LaneCalcutta -700014.-,4267.00
110,2010-2011,West Bengal,147040568,ATBERIA NABODAY SANGHA,VILL - ATBERIA P.O. - HARIJHAMAP.S. - PANSKURA721152,0.00
111,2010-2011,West Bengal,146990108,ATHMIK,C.O. SANJIB GHOSH HOUSE NAME - JHINUK KATGHARA LANEHOOGHLY712103,0.00
112,2010-2011,West Bengal,146940076,ATMA SHAKTI SANGHA,SILLAPO-RAMGOPALPURDIST-BURDWAN W.B.BURDWAN713403,0.00
113,2010-2011,West Bengal,146960009,ATRAI NEED,PAR-PATIRAM P.O. ATRAIBALURGHAT733158,100.00
114,2010-2011,West Bengal,147120079,Auxilium Parish,8a Mahindra Roy Lane KolkataWb-700046,3031118.00
115,2010-2011,West Bengal,147120298,Auxilium Parish School,8/a Mahendra Roy Lane Gobra KolkataWb-700046,991539.00
116,2010-2011,West Bengal,147110270,Avilash,P.o. Diamond Harbour  South 24 Parganas -743331.-,32884.00
117,2010-2011,West Bengal,147040179,Ayamanchak Vivekananda Sevak Sangha,P.o. Argoal  Midnapore -721456.-,0.00
118,2010-2011,West Bengal,147000016,Azad Welfare Society,Suvarara Shahpara P.o.suvararaHowrah -711302.-,125800.00
119,2010-2011,West Bengal,146980077,BABUBASA LEADERSHIP TRAINING CENTRE,Babubasa Devidanga Champasari Siliguri Darjeeling West Bengal-734003Siliguri734003,3696084.52
120,2010-2011,West Bengal,147040494,Babupur Ramkarishna Milan Tirtha,Vill: Babupur P.O.- Deulpota Sub-Div.- HaldiaPurba Medinipur (West Bengal)-721670,0.00
121,2010-2011,West Bengal,147110779,Baburchak Manab Seva Ashram,Vill/PO-Baburchak PS-Kultali South 24 ParganasWest Bengal-743349,0.00
122,2010-2011,West Bengal,147110407,Bade Khantura Bahumukhi Seva Kendra,PO-Khantura Gobardanga North 24 Parganas West Bengal-743273,0.00
123,2010-2011,West Bengal,147060061,Badkulla Luna Silk Khadi Society, Vill.& P.o.badkullaNadia -741121.-,0.00
124,2010-2011,West Bengal,147120880,BADRE AOWLIYA RESEARCH AND DEVELOPMENT SOCIETY,15/2B BECHULAL ROAD KOLKATA 700014CIT-PADMAPUKUR (ENTALLY) KOLKATA700014,0.00
125,2010-2011,West Bengal,147110933,Bagala Sundari Memorial Trust,P-271 BosenagarMadhyamgram700129,0.00
126,2010-2011,West Bengal,147120659,Bagan Agathos,27 Russa Road South 1st Lane Kolkata700033,845128.59
127,2010-2011,West Bengal,147110751,Bagaria Kalika Sangha,At/PO-Bagaria PS-Kulpi South 24 ParganasWest Bengal-743332,0.00
128,2010-2011,West Bengal,147110468,Bagaria Relief Welfare Ambulance Society,VPO Bagaria 24 South ParganasWest Bengal-,0.00
129,2010-2011,West Bengal,147110804,Bagmari Mother and Child Development Mission,Vill Bagmari P O J.S. Bad P. S. CanningCanning743376,10220735.00
130,2010-2011,West Bengal,147000207,Bagnan Human Rural Development Society,Beral P.O. Chitnan P.S. JoypurBagnan711303,98000.00
