S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
44,2010-2011,Bihar,031300021,Alhilal Educational Society,Hajipur P.O. Box. No. 22Katihar854104,472000.00
45,2010-2011,Bihar,031170478,ALL INDIA MUSLIM YOUTH MAJLIS,At. Phulwari Kothi Sabzibagh DariyapurPatna800004,0.00
46,2010-2011,Bihar,031080010,Alpsankhyak Uthan Evam Kalyan Samity,Ward No.11 Jaiprakash Nagar Khagria Bihar -851204,0.00
47,2010-2011,Bihar,031040027,Amardeep Samaj Kalyan Sansthan,Vill- Inayatnagar Po- Goraul Distt.- VaishaliBihar-844118,0.00
48,2010-2011,Bihar,031140080,AMBEDKER VIKASH SEVA SANSTHAN,SPEAKER ROAD NAYATOLAMUZAFFARPUR842002,0.00
49,2010-2011,Bihar,031390013,Ambuz Aman,NH.28 KuchaiKote Gapal GanjBihar-841501,0.00
50,2010-2011,Bihar,031090089,AMITAWA BUDDHA SIOCIAL DEVELOPMENT ORGANISATION,JAGDISHPUR GAYA- NAWADA ROAD P.O.- BUNIADGANJ MANPUR GAYAGAYA804432,0.00
51,2010-2011,Bihar,031040032,Amod Prabodhi Seva Sansthan APSS,Chandra Mangal Bhawan Prabodhi NarenderHajipur844125,0.00
52,2010-2011,Bihar,031000005,Amrita Kalyan  Samiti,Liladharpur . P.O.ParsiaBuxarBihar-802111,0.00
53,2010-2011,Bihar,031350011,Anjuman Urdu Hindi Sahitya,AT: Shukul Toli  SiwanBihar-841226,0.00
54,2010-2011,Bihar,031340059,Antodaya Seva Sansthan,Shekhpura P.O.- BaderwaliNalanda-Bihar-803110,0.00
55,2010-2011,Bihar,031230021,Antyaj Sewa Samiti,Rasulpur ChainwaSaran-Bihar-841204,0.00
56,2010-2011,Bihar,031270036,Antyodaya  Lok Karyakram (Alok),At.Bahuarwa P.O.Majharia Via JagdishpurDistt. West Champaran Bihar-845459,1398686.00
57,2010-2011,Bihar,031170422,ANUBHOOTI,B-102 JAYPRAKASH NAGARPATNA800014,8468936.63
58,2010-2011,Bihar,030880003,Anugrah Karya Vridhi Kalyan Sanstha,At Chakiya Kudra PO KudraKudra  Kaimur821108,147322.00
59,2010-2011,Bihar,031090091,AOZORA CHILDREN EDUCATIONAL WELFARE TRUST,VILLAGE BAKROARBODHGAYAGAYA824231,300785.00
60,2010-2011,Bihar,031300015,Aprajita,Officers Colony Mirchai Bari KatiharBihar-854105,0.00
61,2010-2011,Bihar,031030038,Arnav Bhagalpur,Nawab Colony Tilka Manjhi BhagalpurBhagalpurBihar-812001,0.00
62,2010-2011,Bihar,031170055,Arpan Gramin Vikas Samity, PatnaBihar-801108,2108275.00
63,2010-2011,Bihar,031350024,Arpan Lokayatan Sansthan,Vill.+Post-Panjawar P.S.- Raghhunathpur Dist.-SiwanBihar.-841509,0.00
64,2010-2011,Bihar,031290013,Arunofyog Rachnatmak Parishad,Jhanjharpur MadhubaniBihar-,0.00
65,2010-2011,Bihar,031350028,Asadullah Foundation,At Chanp House Chanp P.o- ChanpSiwan841241,0.00
66,2010-2011,Bihar,031170264,Ashirwad Foundation,G-1P.C.Colony Ke-ankar BaghPatna-Bihar-800020,0.00
67,2010-2011,Bihar,031170281,Ashray Asthali Seva Sharam,At Chinta Niwas Purandarpur Girja Path Post G.P.O. PatnaPatna Bihar-800001,0.00
68,2010-2011,Bihar,031170139,Asian Development Research Institute,BSIDC Colony  Off Boring Patliputra RoadPatna800001,4859310.00
69,2010-2011,Bihar,031170486,ASIAN SCIENCE AND TECHNOLOGY DEVELOPMENT ORGANISATION,AT - ASHIANA DIGHA ROAD NEAR C.R.P.F. CAMP PATNA DISTRICT - PATNA STATE - BIHAR PIN CODE - 800025PATNA800025,0.00
70,2010-2011,Bihar,031270006,Assemblies of Godmission,Bettiah West ChamparanBihar-,1989736.24
71,2010-2011,Bihar,031170050,Association  for Social Engineering Recruitment & Training,143-DS.K. Puri Patna Bihar  -,0.00
72,2010-2011,Bihar,031090063,Association For Buddhist Circuit Development,In front of thai Temple Bodhgaya Distt.- GayaBihar-824231,0.00
73,2010-2011,Bihar,031170354,Association for Social Research and Action,104 M.E. ApartmentK.M. Singh Lane East Boaring Canal Road PatnaBihar-800001,7043083.00
74,2010-2011,Bihar,031170223,Assssociation for Promotion of Creative Learning,Creativity Enclave Nargada Shiwala RoadDanapur,0.00
75,2010-2011,Bihar,031130002,Atma Rojagari Mahila Samiti Seva,P.O. Haveli Kharagpur Dist: MungerBihar-811213,0.00
76,2010-2011,Bihar,031040008,Aulia Adhyatmik Anusandhan Kendra,Aulia Darbar Pauni  HasanpurDistrict- Vaishali Bihar -844123,55950.00
77,2010-2011,Bihar,031090041,Avidya Vimukti Sansthan,Vil. Masitpur P.O. Bodhgaya Dist: GayaBihar-824231,2010272.00
78,2010-2011,Bihar,031170340,Avinav Niketan,811 Jagat Trade Centre Fraser Road PatnaBihar.-800001,0.00
79,2010-2011,Bihar,031170315,Awadesh Singh Vikas Sanstan,Mirjapur NohtaStation Road Fatuha PatnaBihar.-803201,0.00
80,2010-2011,Bihar,031090045,Awakening Special Universal Education,Pachhati  GayaBihar-824231,24201530.00
81,2010-2011,Bihar,031390004,Ayodhya Lal Kalyan Niketan,P.O.-  Sapha Sbha  Bazar Via- Nechua JalalpurDistt. Gopalganj Bihar -841503,0.00
82,2010-2011,Bihar,031170023,Ayub Urdu Girls High School Cum Inter College,Lal Bagh Patna Bihar  -800006,255602.00
83,2010-2011,Bihar,030910003,Azad India Foundation,Azad Manzil Line MohallaKishan Ganj-Bihar-855107,1729928.37
84,2010-2011,Bihar,031130032,Baba Baidyanath Balika Mookbadhir VidhayalaMunger,Head Office Ghoshi Toala  Munger Bihar  -811201,0.00
85,2010-2011,Bihar,031170357,Badhte Kadam.,Campus of Capital  Coaching Institute.Ashok RajpathMahendruPatnaBihar.-800006,0.00
86,2010-2011,Bihar,030950022,Bahudeshiya Gramin Vikas Seva Samiti,AT+PO- Baidrabad ArwalBihar-804402,0.00
87,2010-2011,Bihar,031270034,Bahujan Hitay Amar Jyoti,Village Gobraura P O.Lauriya Via-Lauriya   West ChamparanBihar-845453,0.00
88,2010-2011,Bihar,031380026,BAJRANG YUVA SANSTHAN,VILL. YADUPATTI P.O. YADUPATTI BAZAR P.S. PUPRI VIA CHORAUTSITAMARHI843319,0.00
89,2010-2011,Bihar,031300011,Bal Mahila Kalyan Vikas Ashram,Officers Colony Mirchai Bari Katihar Bihar  -845105,450118.00
90,2010-2011,Bihar,031170484,BALAJEE SEWA SANSTHAN,VILLAGE AND P.O.- RAILEE BARDH PATNAPATNA803221,0.00
91,2010-2011,Bihar,031170171,Balaji Uthan Sansthan,Uma Complex Frasen RoadPatna Bihar -800001,0.00
92,2010-2011,Bihar,031170082,Balsakha Janata Rest House,Road No.2 Plot No.31 Sri Krishna NagarPatna Bihar -800001,9128655.00
93,2010-2011,Bihar,031170158,Bapu Bal Mahila Vikash Kendra,East Boring Canal Road Patna Bihar  -,0.00
94,2010-2011,Bihar,031290066,Bapu Bal Vikas Mahila Kalyan Society,Vill. -Chichari Bujurg P.O RajnagarMadhubani  -847235,14990.00
95,2010-2011,Bihar,031170092,Bapu Smarak Mahila Charkha Sangh,Congress Maidan Kadamkaan Distt. PatnaBihar -,0.00
96,2010-2011,Bihar,031090081,Basant Vikas Nyas,AT PO AmarutPS Dobhi Gaya823001,0.00
97,2010-2011,Bihar,031280012,Bashinul Hoda Islahul Muslemin Welfare  Society,Nakchhea Tala East ChamparanBihar ` -,0.00
98,2010-2011,Bihar,031170194,Bateshwar Seva Sansthan,Road No. 1 House No. 30 Shivpuri P.O.-Shastri NagarPatna Bihar-800023,0.00
99,2010-2011,Bihar,031060021,Batohi Samaj Seva Sansthan,AT+Post-Baghant P.S.Manigachi Dist-DarbhangaBihar.-847422,0.00
100,2010-2011,Bihar,030870011,BELTRON GRAMIN KALYAN SHODH SANSTHAN,Vill.-PO.- Maheshpur Via-Ganpatganj Distt.-SupaulSupaul852109,0.00
101,2010-2011,Bihar,031270013,Berojgar Sangh Valmiki Nagar,P.O. Valmiki Nagar Distt. West ChamparanBihar -,0.00
102,2010-2011,Bihar,031300007,Bethel Church Association,Manihari  Manihar KatiharBihar-,1102668.00
103,2010-2011,Bihar,030910001,Bethel Educational Sovereign Trust,Millanpally Kishan GanjBihar-855107,0.00
104,2010-2011,Bihar,031300001,Bethel Home,Mission House Manihri Katihar Bihar -854113,0.00
105,2010-2011,Bihar,031270029,Bettiah Diocean Social Service Society,Sewa Kendra Dussaiya Bettiah West ChamparanBihar-845438,17103850.00
106,2010-2011,Bihar,031270030,Bettiah Diocean Society,Bishop's House Bettiah West ChamparanBihar-845438,4653260.00
107,2010-2011,Bihar,031270005,Bettiah Holy Cross Sisters Society,P.O. Bettiah West Champaran Bihar -845438,5203421.03
108,2010-2011,Bihar,031010004,Bhagalpur Ambedkar Seva Kendra,Post Bhagalpur Dist. BankaBihar-813101,0.00
109,2010-2011,Bihar,031030002,Bhagalpur Prefecture Association,Chancery Office Nawab Colony BhagalpurBihar-812001,18105354.92
110,2010-2011,Bihar,031030007,Bhagalpur Social Service Society,Chancery Office Nawab Colony Post Box  61 BhagalpurBihar -812001,8359457.15
111,2010-2011,Bihar,031010001,Bhagalpur Viklang Sewa Kendra,P.O.- Amarpur BankaBihar-813101,0.00
112,2010-2011,Bihar,031170358,Bhagwati Shankar Memorial Seva Ashram,Meena Bazar Gali PO-Gulzar Bagh PatnaBihar-800007,0.00
113,2010-2011,Bihar,031170370,Bharati Shiksha Samiti,Vishwambhar Sadan B.N.Rai Road Kadamkuan PatnaBihar-800003,0.00
114,2010-2011,Bihar,031170162,Bharatiya Gramin Vikas Evam Ayurved Seva Sansthan,Purvi Lohanipur Kadamquan Patna Bihar  -800003,11484.55
115,2010-2011,Bihar,031010007,Bhartiya  Mahila Vikas Samiti,P.O.-Amarpur District-Banka Bihar. -813101,0.00
116,2010-2011,Bihar,031340020,Bhartiya Jan Uthan Parishad,Qamruddin Ganj Bihar Sharif Distt. NalandaBihar -803101,5216041.00
117,2010-2011,Bihar,031090078,Bhartiya Shiksha Avom Samajik  Sodh Sansthan,At- Sahmeer Takya New Kalibari Road GayaBihar-,0.00
118,2010-2011,Bihar,031280024,Bhartiya Vivah Kendra,BelisaraiPO-Motihari845401,0.00
119,2010-2011,Bihar,031330053,BHATRI LOK KALYAN SEVA ASHRAM,Vill-BhouaP.O.- Shahpur Undi Via- Patory848504,0.00
120,2010-2011,Bihar,031300025,BHAWNA PRAGATI MANCH,VILLAGE- SHYAMGARH HAT P.O.- SONAILIKATIHAR855114,0.00
121,2010-2011,Bihar,031240040,Bhojpur Gramin Vikas Parishad,At- Maharana Pratap Nagar Ara BhojpurBhojpur802301,0.00
122,2010-2011,Bihar,031240018,Bhojpur Mahila Kala Kendra,Bazari Shah Ka Mandir  Abar Pool Par Ara Ara Bhojpur Bihar.-802301,0.00
123,2010-2011,Bihar,031240037,BHOJPUR SHIKSHA VIKAS SANSTHAN,ADD - NEW AREA BABU BAZAR ARAH DISTRICT - BHOJPURBHOJPUR802301,0.00
124,2010-2011,Bihar,031140073,Bhojpuri Kala Vikas Parishad,New Colony Ballughat MuzaffarpurBihar-842001,0.00
125,2010-2011,Bihar,031300012,Bhoomika Vihar,Mirchai Bari Katihar BiharKATIHAR854105,1836381.00
126,2010-2011,Bihar,031140008,Bhumihin Kisan Mazdoor Vikas Seva Sansthan,Mushahari MuzaffarpurBihar -,0.00
127,2010-2011,Bihar,031140012,Bhusra Mahila Vikash Samiti,Via Bochaha Bhusra P.O. HasnaMuzaffarpur Bihar -,322715.00
128,2010-2011,Bihar,031140072,Bhuwaneshwar Lok Seva Sansthan,BB Ganj Bhagwanpur Chatti MuzaffarpurBihar-842001,0.00
129,2010-2011,Bihar,031040007,Bibipur Area Small Farmers & Resources  Community Association,Bibipur P.O. Anirudh Belsan Vaishali Bihar -,0.00
130,2010-2011,Bihar,031330034,Bicklang Avam Upachait Seva Sadan,Vill. Sukhpur Post Kusaiya Block-WarisnagarSamastipur Bihar-848301,508317.00
131,2010-2011,Bihar,031170032,Bihar Dalit Vikas Samiti,Administrative Office Rukunpura Near Singh Petrol Pump Bailey RoadPatna800014,11276392.73
132,2010-2011,Bihar,031090030,Bihar Educational Development Society,56 Gautam Budha Road Distt. Gaya Bihar  -,0.00
133,2010-2011,Bihar,031380006,Bihar Gram Vikas Parishad,PO Andauli Vil Manikpur Musaharnia Dist. SitamarhiBihar-843324,2670435.00
134,2010-2011,Bihar,031020009,Bihar Gramin Jagrukta Abhiyan SamitiRatnapur,Madhurya Loka Ratanpur Vishnupur P.O. P.S.  & District-Begusari  .(Bihar)-851101,0.00
135,2010-2011,Bihar,031020004,Bihar Gramin Vikas Parishad,AT/PO: Sshebpur Kamal Distt. BagusaraiBihar-851217,208919.00
136,2010-2011,Bihar,031330008,Bihar Gramya Seva Sanstha,Bahadurpur Samastipur Bihar  -848101,0.00
137,2010-2011,Bihar,031170144,Bihar Institute of Economic  Studies,113/70B Lal Bahadur Shastri  Nagar Patna Bihar  -800023,152500.00
138,2010-2011,Bihar,031170060,Bihar Khet Parishad,Jagatnarayan Road KadamkuanDistt. Patna Bihar -,0.00
139,2010-2011,Bihar,031170342,Bihar Lok Jeevan,Kashi Nath Lane East Lohanipur Kadam KuamPatna Bihar-800003.-,0.00
