S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
42,2010-2011,Gujarat,041910203,ALL INDIA DISASTER MITIGATION INSTITUTE,411 ASHRAM ROAD  AHMEDABAD -380009,12652519.61
43,2010-2011,Gujarat,041910409,ALL INDIA INSTITUTE OF DIABETES AND RESEARCH,SWASTHYA 2JAY MANGAL SOCIETYOFF.32 FT RING ROADNARANPURAAHMEDABAD380013,4428307.00
44,2010-2011,Gujarat,041910407,ALLIANCE FRANCAISE AHMEDABAD,B/S Food Corporation of India Near Sonnet Apt Himali Tower LaneManekbaug-Shyamal Road Satellite380015,13361849.44
45,2010-2011,Gujarat,041960111,Alpha Missionary Movement,24 Jayesh Colony FatehgunjBaroda Gujarat-390002,4678760.00
46,2010-2011,Gujarat,042090129,Aman Charitable Trust,At Panpur Patiya Tal HimatnagarSabar Kantha,5734.00
47,2010-2011,Gujarat,042080051,Amber Ashrayee Mahila Benefit Association,Jayant Society Mavdi Plot Rajkot (Gujarat) -360004,0.00
48,2010-2011,Gujarat,042030017,Ambuja Cement Foundation,Gujarat Ambuja Cements Ltd.   PO  Ambujanagar Taluka-KadinavJunagarh Gujarat-,7448302.00
49,2010-2011,Gujarat,042020012,Amine Sariyat Education Trust,Rajkot Highway Road Near High School Dhrol JamnagarGujarat-361210,6502485.00
50,2010-2011,Gujarat,041930008,Amreli Education and Charitable Trust,'Ashish' Ramnagar Street No.9 AmreliGujarat-365601,0.00
51,2010-2011,Gujarat,041910335,Anand Kalyan Nidhi Trust,96 Chunara No Khancho Shahpur AhmedabadGujarat-380001,438580.00
52,2010-2011,Gujarat,041960008,Anand Niketan Ashram Trust, KAWANTBARODA -391135,732115.53
53,2010-2011,Gujarat,041980033,Anand Vatika Bhagini Mandal Trust,Parimal Takhteshwar Plot Bhavnagar Gujarat -,0.00
54,2010-2011,Gujarat,041980031,Anandi,B-4/1 Sahajanand Tower Jivraj Park380051,10879307.00
55,2010-2011,Gujarat,042100099,Anandi Maa Guru Dhyanyogiji Kalyan Kendra,Madhusudan Niwas Vasu-SuratGujarat-395007,7695291.00
56,2010-2011,Gujarat,042050059,Andh Apang Manav Kalyan Society,C/o Rana Hospital Bhidgate Mandvi Kutch Gujarat -370465,0.00
57,2010-2011,Gujarat,042080082,Andh Apang Manav Kalyan Trust,C/o Andh Apang Vruddhashram Kalawad Main RoadNext to Mota MavaNear By Cosmoplex Cinema Rajkot-360311,42695.00
58,2010-2011,Gujarat,041910200,Andh Kalyan Kendra,B/4 Paramsukh Society  Ranip AhmedabadGujarat-382480,0.00
59,2010-2011,Gujarat,042080037,Andhjan Kalyan Trust,C-1 Ravikiran - 1 Stn Rd Dhoraj Dist. RajkotGujarat-,182640.29
60,2010-2011,Gujarat,042020011,Andhjan Vidhlaxmi Talim Kendra,Aerodrome Road Jamnagar JamnagarGujarat-361006,732251.00
61,2010-2011,Gujarat,041910321,Animal Help Foundation,H-112 Orchid White Field Ahead of Vodafone HousePrahladnagar Extention Makarba380015,1129199.00
62,2010-2011,Gujarat,042000045,Anirudh Kelavani Mandal,Dhanuli Via BhiladZAROLIVALSAD  -396105,8289.00
63,2010-2011,Gujarat,042090092,Anjali - Society For Rural Health & Development,PO: RANASAN  VIA: TALODDISTRICT- SABARKANTHA GUJARAT-383305,1089760.00
64,2010-2011,Gujarat,041990025,Anjman-E-Ettehadul Muslemin, VAREDIA P.OBHARUCH -392210,0.00
65,2010-2011,Gujarat,042040133,Anjuman Education Trust,Rajpur RoadBalasinor388255,0.00
66,2010-2011,Gujarat,042040129,Anjuman-E-Falah-E- Darain,Opp. Post Office Post BhalejUmreth388205,46440.00
67,2010-2011,Gujarat,041990070,Anjuman-E-Nusratul Mislimin,TankariaBharuch392240,0.00
68,2010-2011,Gujarat,041990069,ANKLESHWAR MARKAZE ISLAMI TRUST,OPP. GUJARAT GAS CO.ANKLESHWAR393001,215020.74
69,2010-2011,Gujarat,041990073,Ankleshwar Rotary Welfare Trust,BF-1 Sardar Patel Complex GIDC AnkleshwarAnkleshwar393002,0.00
70,2010-2011,Gujarat,041980062,Ankur Special School for the Mentally Retarded Children,Plot No.1945 Sardarnagar CircleBhavnagar364002,152029.00
71,2010-2011,Gujarat,042040035,Anoopam Mission,Brahmajyoti Yogiji Marg Mogri AndnaGujarat-388345,40465178.05
72,2010-2011,Gujarat,042040099,Antyoday Vikas Shikshan Centre,At/Po- Dehda Taluka Kambhat Anand (Gujarat) -388620,1114692.00
73,2010-2011,Gujarat,041910210,Apang Manave Mandal,Dr. Vikram Sarabhai Road AhmedabadGujarat.-380015,69481.00
74,2010-2011,Gujarat,041910096,Aparadh Pratibandhak Trust,Ashirwad 4/B Keshavnagar SocNear Subhash Bridge380027,224830.00
75,2010-2011,Gujarat,042080067,Aradhana Charitable Trust,Christ College Ladies HostelRajkot Shreenathji Apartmentsnear Push-kardhamRdUniversity AreaGujarat-360005,0.00
76,2010-2011,Gujarat,041960005,Aradhana Sadan  Khos,Khos Chhota Udepur Dist: BarodaGujarat-391165,1976790.00
77,2010-2011,Gujarat,041910211,Arardham Lalgebi Ashram,Vill Hathijan AhmedabadGujarat.-382445,446980.00
78,2010-2011,Gujarat,042050065,Archana Charitable Trust,Gayatri nagar Virani RoadNakhatrana370615,4744155.00
79,2010-2011,Gujarat,041920017,Archdiocese of Gandhinagar,Archbishops House Sector 8Gandhinagar382008,40871003.00
80,2010-2011,Gujarat,042050072,ARID COMMUNITIES AND TECHNOLOGIES,Plot No.194 Odhav Avenue  Nr. Pramuk Swami Nagar 2 nd gate Mundra Relocation Site Bhuj370001,0.00
81,2010-2011,Gujarat,041960163,Arpan Charitable Trust,49 - 50 Minaxi Soc Sambhavnath Marg Next to Utkarsh Vidhyalay Race CourseVADODARA390007,4375.00
82,2010-2011,Gujarat,042050063,Arya Samaj Gandhidham Charitable Trust,DBZ-N-157 Mahrishi Cayanand MargNear Zanda ChowkGandhidham370201,3704992.00
83,2010-2011,Gujarat,041910238,Ashirwad Education Trust,521 Nathilal Colony Nr.Sardar Patel Colony NavrangpuraAhmedabad -,0.00
84,2010-2011,Gujarat,042080100,Ashirwad Seva Charitable Trust,Bhavani Krupa 1-Tapu Bhavan Plot B/H.PDM College Gondal Road Nr. Swaminarayan ChowkRajkot360004,25000.00
85,2010-2011,Gujarat,042080020,Ashok Gondhia Memorial Trust,KALAWAD ROAD  RAJKOT  -360005,3010000.00
86,2010-2011,Gujarat,042080016,Assisi Institute  Trust,Jonas Hospital  Bedi village Morbi RoadRajkot -360003,0.00
87,2010-2011,Gujarat,041910350,Association for Democratic Reforms,"""Core-House"" Off C.G. Road. Near Parimal Garden EllisbridgeAhmedabad380006",8161000.00
88,2010-2011,Gujarat,041910378,ASSOCIATION FOR SOCIAL HEALTH IN INDIA,JILLA PANCHAYAT COMPOUNDBHADRALALDARWAJAAHMEDABAD380001,0.00
89,2010-2011,Gujarat,042080026,Assumpta Society,C/4/2 PARTHH INDRAPRAJTHA TOWER NEAR VASTRAPUR SARKARI VASAHNT`BEHIND GURUKUL AHMEDABAD-380052,682725.00
90,2010-2011,Gujarat,042000061,Astitva - Mahila Utkarsh Sanstha,Halar Road ValsadGujarat-396001,0.00
91,2010-2011,Gujarat,041910364,atithi gokul national relief foundation,gota char rasta gotaahmedabad380061,0.00
92,2010-2011,Gujarat,042000060,Atul Rural Development Fund,Atul Dist. ValsadGujarat-396020,0.00
93,2010-2011,Gujarat,042000097,Atul Vidyalaya Trust,Atul Valsad Distt.Gujarat-396020,0.00
94,2010-2011,Gujarat,041960054,Auxilium Society Auxilium Convent,MAKARPURA ROAD  BARODA  390010-390010,200000.00
95,2010-2011,Gujarat,041910251,B.V.Patel Pharmaceautical Education & Research Dev.Centre,Thaltej-Gandhinagar Highway AhmedabadGujarat-380054,0.00
96,2010-2011,Gujarat,041990048,Bachchonka Ghar,Station Char Rasta Amod BharuchGujarat-392110,8880071.48
97,2010-2011,Gujarat,041990054,Bachchonka- Ghar,At & Post Tal.- Vagra BharuchGujarat-392140,868587.74
98,2010-2011,Gujarat,041910369,Bai Jivkor Lalubhai Trust,B/h Rambaug Police Station Kankaria ManinagarAhmedabad380008,184762.00
99,2010-2011,Gujarat,041960076,Bal Bhawan Society,Karelibaug BarodaGujarat-390018,247919.00
100,2010-2011,Gujarat,042040107,Balasinor Seva Samaj,Bhattvada Balasinor KhedaGujarat-388255,31262.00
101,2010-2011,Gujarat,042050077,Balkrishna Gaushala and Panjarapole Charitable Trust,Kodaki Tal. BhujBhuj370001,1887110.00
102,2010-2011,Gujarat,042100049,Balpur Balashram,Vyara (Tk) SuratGujarat-394055,0.00
103,2010-2011,Gujarat,041950015,Banas Kelavani Sangh,P Box 1  DeesaGujarat-385535,0.00
104,2010-2011,Gujarat,041950020,Banaskantha district Kelavani Mandal,C/o S.M.Modi Modi KunjAmir Road Palanpur BanaskanthaGujarat-385001,0.00
105,2010-2011,Gujarat,041910265,Bapashri Mehotsav Smruti Trust,Sh. Swaminarayan Temple Abjibapasuri Road VasnaAhmedabad Gujarat-380007,0.00
106,2010-2011,Gujarat,041960154,Bardoa District Eye Relief and health association,Haribhakti Complex SalatwadaVadodara390001,452696.40
107,2010-2011,Gujarat,042100082,Bardoli Pradesh Kelvani Mandal,College Campus Sardar Baug Bardoli SuratGujarat-394602,47127542.00
108,2010-2011,Gujarat,041960042,Baroda Citizens Council,CO-OPERATIVE HOUSE 2ND FLOOR NEAR MANISHA CHOKDINEXT TO MC DONALD OLD PADRA ROADVadodara390015,0.00
109,2010-2011,Gujarat,041960012,Baroda Diocese Rural Education Society, ALKAPURIBARODA  -390005,0.00
110,2010-2011,Gujarat,041960071,Baroda Muslim Educational Society,Rasulkhan Pathan Road BarodaGujarat-390017,0.00
111,2010-2011,Gujarat,041980069,BARTON LIBRARY,DIWANPARA ROADBHAVNAGAR364001,0.00
112,2010-2011,Gujarat,041910046,Bethel Vernacular School,Mission House Dholka  AhmedabadGujarat-387810,0.00
113,2010-2011,Gujarat,042050036,Bhachau Taluka Khadi Gramudyog Vikas Mandal,near Water supply godown BhachauKutch Gujarat-370140,0.00
114,2010-2011,Gujarat,042000131,BHAGUBHAI GOVINDJI PATEL CHARITABLE TRUST,AT-NANI CHOVISI CHOVISINAVSARI396427,577377.00
115,2010-2011,Gujarat,042000069,Bhagwan Mahavir Vishwa Kalyan Trust,No.8 National Highway PO Khadsupa NavsariGujarat-396433,49226.00
116,2010-2011,Gujarat,042090137,BHAGYODAY CHARITABLE TRUST,BHAGYODAY GENERAL HOSPITAL OPP. S.T. BUS STATION.HIMATNAGAR383001,2998250.00
117,2010-2011,Gujarat,042040088,Bhaikara Foundation Praramb,Opp University Ladies Hostel Vallabh Vidyanagar Dist. KhedaGujarat-,50791.00
118,2010-2011,Gujarat,041910102,Bhal Nalkantha Prayogik Sangh, AhmedabadGujarat-380030,0.00
119,2010-2011,Gujarat,042050052,Bhanushali Sarvajanik Trust,C/O Bhimji J.Vador 269 Ravalvadi Bhuj Kutch (Gujarat) -370001,0.00
120,2010-2011,Gujarat,041910283,Bharat Vikas Parishad Viklang Kendra Ahmedabad,22 LL Jaydeep Tower Vasna Ahmedabad (Gujarat) -380007,0.00
121,2010-2011,Gujarat,042100146,Bhartimaiya Memorial Foundation,at and post saroli surat bardoli road oppo. hindustan petrol pump saroli ta. chorayshi dist suratsurat395010,2402851.00
122,2010-2011,Gujarat,041960098,Bhasha Research and Publication Centre,37 Shreenathdham Duplex  Opposite Shrinagar Society   Behind  Dinesh MillVododara390007,19871439.51
123,2010-2011,Gujarat,042080094,BHAVATARINI AROGYANIDHI TRUST,RAMANATH SMT RAMABEN JOSHI LANE STATION PLOTGONDAL360311,217447.00
124,2010-2011,Gujarat,041980043,Bhavnagar Blood Bank,'Alang House' Diamond Chowk BhavnagarGujarat-364001,0.00
125,2010-2011,Gujarat,041980016,Bhavnagar Catholic Education Society,JAIL ROAD  BHAVNAGAR -364001,0.00
126,2010-2011,Gujarat,041980020,Bhavnagar Sadvichar Seva Samiti, BhavnagarGujarat-364001,35815.00
127,2010-2011,Gujarat,041980034,Bhavnagar Vruddhashram Trust,Plot No.1260/61 Near TV Relay Stat Ghogha CircleBhavnagar Gujarat-364001,22800.00
128,2010-2011,Gujarat,041980044,Bhavsar Shantilal Govindlal vadva Jain Vardhman Tap Ayambil  Shala,Vadva BhavnagarGujarat-364001,40206.00
