S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2010-2011,Orissa,104930025,A COMPENSSION FOR TROUBLE SOULS OF INDIA,AT-DENGINIPADARP.O-LUHAGUDI761015,0.00
2,2010-2011,Orissa,104830238,AABAHANA,MALYABANTAT/P.O-NACHUNI752028,0.00
3,2010-2011,Orissa,104830098,Aaina,765 Sahid Nagar Bhubaneswar KhurdaOrissa-751007,20879652.00
4,2010-2011,Orissa,105020256,Aarkashree,Konark Puri Orissa -752111,0.00
5,2010-2011,Orissa,104940010,Aasha,At/po: Purunabasanta Nalibar JagatsinghpurOrissa-754104,0.00
6,2010-2011,Orissa,104930030,AASTHA,Om shanti colonyParalakhemundi761201,0.00
7,2010-2011,Orissa,104830168,Abhaya Seva Sangh,PL-308 2nd floor Mahanee complex CS Pur BBSRKhurda Orissa-751016,0.00
8,2010-2011,Orissa,105020293,Abhilash,At/Po-Pipili Distt.=PuriOrissa-752104,0.00
9,2010-2011,Orissa,104910099,Academy of Technocrats,Gajapati NagarSquare Berhampur GanjamOrissa-760010,0.00
10,2010-2011,Orissa,104960045,Accord,At/po-ponchada Via-kakirigummaKoraput Orissa-,407322.00
11,2010-2011,Orissa,105020073,Acharya Harihar Sishu Bhawan,At/po Sakhigopal  PuriOrissa-752014,0.00
12,2010-2011,Orissa,104860087,Action For Better Living And Environment,Jangyachhak Angulai KendrapadaOrissa-,5000.00
13,2010-2011,Orissa,105030088,ACTION FOR INDIA OUTREACH,AT- G UDAYAGIRIP O-G UDAYAGIRI762100,0.00
14,2010-2011,Orissa,105050026,Action for Protection of Wild Animals(APOWA),At-HatapatanaPo-Kadaliban Dist-KendraparaDist-Kendrapara754222,639211.00
15,2010-2011,Orissa,104930022,ACTION FOR SOCIAL DEVELOPMENT,AT-MOHANAP.O-MOHANA761015,0.00
16,2010-2011,Orissa,104960043,Action For Social Human Alme,P.o.tolona  Rayagada -765022.-,130720.00
17,2010-2011,Orissa,104960019,Action For Socio-economic Extension Service, KoraputOrissa-,0.00
18,2010-2011,Orissa,104830082,Action Research And Orientation Of Human Values Through Experiment &,Entertainment(arohee)n3-107irc  VillagenayapallibhubaneswarKhurda Orissa.-751015,0.00
19,2010-2011,Orissa,104840048,Action Research For Health And Socio Economic Development,At:ramjee Squarepo:patnagarh Bolangir Orissa -767025,0.00
20,2010-2011,Orissa,104950056,Action Society for rural Activities and Youth Affairs,At/Po-Golamunda KalahandiOrissa-766022,0.00
21,2010-2011,Orissa,105020103,Adarsa Sikshya Kendra, BelpadajatniKhurda  Orissa.-,0.00
22,2010-2011,Orissa,104840076,ADARSHA,C/O Mr.Manoj BadenaikLATUR766105,0.00
