S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2010-2011,Karnataka,094421365,A ROCHA INDIA,NO. 23 ANJENAYA STREET Y. G. PALYA AUSTIN TOWN BANGALOREBANGALORE560047,1360145.38
2,2010-2011,Karnataka,094630184,A. Shama Rao Foundation,13-2-116 Hotel Srinivas Building GHS Road MangaloreDakshina Kannada Karnataka-575001,0.00
3,2010-2011,Karnataka,094420285,A.R. Adaikappa Chettier Charities Trust,48 Levelle Rod. Bangalore Karnataka-560001,0.00
4,2010-2011,Karnataka,094460022,A.R.A.L.U.,M.C Compound Kamthana BidarKarnataka.-585226,713462.19
5,2010-2011,Karnataka,094421010,Aarding Charitable Childrens Education Service,32A2nd CrossVeera Sandra Industrial AreaElectronic City Hosur Road560100,0.00
6,2010-2011,Karnataka,094421358,Aashwasan Foundation,#12 5th Main Grape Garden KammanahalliBangalore560084,0.00
7,2010-2011,Karnataka,094420715,Abala Ashraya Sangha,No.4B 4th Street Shivaji Nagar Bangalore Karnataka-560051,885.00
8,2010-2011,Karnataka,094420703,Abalashram,Dr.DVG Road Basavanowdi Bangalore Karnataka-560004,359896.00
9,2010-2011,Karnataka,094630036,Abhaya Ashraya,Konaje Village Assaigoli Post  Mangaore Dakshina KannadaKarnataka-574199,350303.00
10,2010-2011,Karnataka,094640028,ABHIVRUDDI SOCIETY FOR SOCIAL DEVELOPMENT,"ABHIVRUDDI SOCIETY FOR SOCIAL DEVELOPMENT
 ABHYUDHAYA  2nd Cross Manjunathnagar Kyathasandra PostTUMKUR572104",1375195.00
11,2010-2011,Karnataka,094420574,Abilities (Resource Centre for Disabled Person),13-C 5th Main Jayamahal Extension BangaloreKarnataka.-560046,343480.00
12,2010-2011,Karnataka,094421009,Abundant Life for All Ministries,No.83 Alfa Centre Yelahanka near Palamahalli tankMarutinagarBangalore-560064,5586707.00
13,2010-2011,Karnataka,094450034,Abundant Life in Christ Ministries Association,H.No. 6/8(1) Beside M.A.K. Azad High School Ordinance RoadBellary Karnataka-583102,0.00
14,2010-2011,Karnataka,094440063,Abyndaya Kendra,Gratia Plena Convent Santibastwad BelgaumKarnataka.-,501023.00
15,2010-2011,Karnataka,094420912,Academy For Severe Handicaps And Autism(Asha charitable Trust),CA# L-76/A(Opp.L-50)Kirloskar  ColonyHBCS3rd stageIV BlockBasveswarnagarBangaloreKarnataka-560079,321228.00
16,2010-2011,Karnataka,094580031,Academy Of Sanskrit  Research,Melkote Mandya Karnataka -571431,0.00
17,2010-2011,Karnataka,094420006,Action Aid,P.O. No. 5406 No. 139  Richmond Road BangaloreKarnataka.-560025,669630005.00
18,2010-2011,Karnataka,094420611,Action Aid Karnataka Project,10/1 Bride St Long Ford Rd BangaloreKarnataka-560025,3831586.00
19,2010-2011,Karnataka,094420584,Action for Asia Outreach,6/111A III rd Cross Lingrajpuram BangaloreKarnataka-560084,0.00
20,2010-2011,Karnataka,094420439,Action for Community Organisation Rehabilitation & Development,14/1 A North Road St. Thomas Town BangaloreKarnataka-560084,5531438.31
21,2010-2011,Karnataka,094570072,Action For Social & Education Development Association,Shivanilaya Fort Gauribindanur Kolar Karnataka-561208,391245.00
22,2010-2011,Karnataka,094400029,Action Initiative for Development  AID,Gowripura KyasenahalliPost Jagalur  Taluk577528,0.00
23,2010-2011,Karnataka,094420535,Action on Disability and Development India,No 4005 19th Cross Banashankari 2nd StageBangalore560070,5131915.91
24,2010-2011,Karnataka,094570078,Action Society for Integral Development,Kumbarpet  BagepalliKarnataka-561207,0.00
25,2010-2011,Karnataka,094420010,Acts Ministries,54K.H.B. Colony. 2nd Cross Koramangala BangaloreKarnataka-560095,17907240.00
26,2010-2011,Karnataka,094421198,Acts of Mercy,No.226 Wheeler Road Extension St. Thomas Town PostBangalore Karnataka-560084,66570.00
27,2010-2011,Karnataka,094420246,Adhyatama Vidyapeeth Institute of Spirituality,Carmelaram BangaloreKarnataka-560035,2596153.00
28,2010-2011,Karnataka,094420711,Adman Mutt Education Foundation,No.4 Sadashiva Nagar Bangalore Karnataka-560080,2213504.00
29,2010-2011,Karnataka,094420884,Agape Bible Fellowship,No. 3 Church Street LingarajapuramSt Thomas Town Post560084,954061.00
30,2010-2011,Karnataka,094421174,Agape Leprosy Ministries India,Charitable and Education Trust KM 500 Behind St. Pious ChurchBangalore Karnataka-560084,803092.00
31,2010-2011,Karnataka,094420610,Agape Ministries India,No. 632 Erappa Layout Banaswadi Main Road BangaloreKarnataka.-560043,3571673.65
32,2010-2011,Karnataka,094421207,Agastya International Foundation,1st Floor 101 Varsav Plaza 12 Jaymahal RoadBangalore560046,22688686.00
33,2010-2011,Karnataka,094630168,Agency for Development Awakening and Rural Self Help Associations,Adarshadhama Vijayanagar 3rd Cross P O Box No 22 MoodbidriDakshina Kannada574227,2085316.00
34,2010-2011,Karnataka,094421039,Agni Raksha,Rosy Cottage58/113th Main` J.P.NagarI Phase BangaloreKarnataka-560078,7466351.00
35,2010-2011,Karnataka,094410003,Agricultural  Science Foundation,Hulkoti GadagKarnataka-582205,695228.00
36,2010-2011,Karnataka,094570001,Agricultural Development and Training Society,ADATS Campus Bagepalli KolarKarnataka-561207,24622275.00
37,2010-2011,Karnataka,094420807,AH Lalithakala Academy,429 Middle School 2nd Cross Road Visveswarapuram BangaloreKarnataka-,0.00
38,2010-2011,Karnataka,094420985,Aids Counseling CareEducation & Prevention Training(ACCEPT),245 KRC Road(next to Visthar)Dodda Gubbi Bangalore Karnataka - 560077Bangalore560077,2438688.00
39,2010-2011,Karnataka,094420371,Aikya,76/75 IInd Main 41st Cross 8th Block Jayanagar Bangalore Karnataka-560082,354104.00
40,2010-2011,Karnataka,094420874,Aina  Trust,1487/B LNR Garden Karianapalaya St Thomas Town Post BangaloreKarnataka-560084,6077602.00
41,2010-2011,Karnataka,094570142,Aiswarya Kala Niketana,Rotary Bala Bhavan B. B. Road Chikkaballapura Kolar DistrictKarnataka-562101,0.00
42,2010-2011,Karnataka,094420783,Akhila Bharat Mahila Seva Samajam,No.2 1st Floor2nd Cross N.K Palaya Sivaji Nagar BangaloreKarnataka-,0.00
43,2010-2011,Karnataka,094421286,Akhila Bharath Sri Vasavi Penugonda Trust (R),No.23/A Serpentine Road Kumara Park WestBANGALORE560020,0.00
44,2010-2011,Karnataka,094420987,Akshara Foundation,No 621 5th Main Road Near Axis BankOMBR Layout Banaswadi560043,12354842.00
45,2010-2011,Karnataka,094630161,Akshath Charitable Trust -India(Act India),No.16-9-527/1 Berith Balmatta Mangalore Karnataka -575002,0.00
46,2010-2011,Karnataka,094620017,Al - Mahmood Education Trust/Society (R),M.K.K. Road Shimoga -577202,0.00
47,2010-2011,Karnataka,094420601,Al- Ameen Educational Society,Al-Ameen Campus Hosur Road Near Lalbagh Main GateBangalore Urban560027,180344.00
48,2010-2011,Karnataka,094630154,Al- Madeena Islamic Complex Manjanady,Madavoor Nagar Thoudogoli Cross P O Manglanthi MangaloreDakshina Kannada Karnataka-574156,3448802.00
49,2010-2011,Karnataka,094440072,Al-ameen Progressive Educational Society,B.c.no.6 Fort` BelgaumKarnataka-590016,0.00
50,2010-2011,Karnataka,094540069,AlFatima Women Welfare Society,1-949-61-1-53 Huda Colony Rahamat NagarGulbarga585102,0.00
51,2010-2011,Karnataka,094421307,All India Aruthathiyar Trust,48Narayanapura Peenya Industrial area 2nd Phase Banglore.Banglore560058,0.00
52,2010-2011,Karnataka,094420175,All India Catholic Union,13 3rd Main Road Vasanthanagar (E) BangaloreKarnataka-560052,0.00
53,2010-2011,Karnataka,094421362,ALL NATIONS WORSHIP CENTER,NO. 184 NARASIMHAIAH COMPLEX KOTTIGEPALYA OUTER RING ROADBANGALORE560091,251567.00
54,2010-2011,Karnataka,094420127,Allard Education Society,Barromeo 50-31 M.G.Road Bangalore Karnataka.-,0.00
55,2010-2011,Karnataka,094421398,Alliance Francaise of Bangalore,P.B. No.108 Thimmaiah RoadVasanthnagar560052,0.00
56,2010-2011,Karnataka,094420902,Alpha Charitable Trust,N0.5Lakshmi Complex80 FT Road 3rd Block1st stageHBR layoutBangalore Karnataka-560043,4502321.00
57,2010-2011,Karnataka,094420605,Alpha Children Ministry,1037 21st B Main Road 11th CrossHSR Layout Sector 1560102,2196534.00
58,2010-2011,Karnataka,094421259,Alternative Law Forum,No.122/4 Opp.Infantry Wedding Hall Infantry RoadBangalore560001,6231035.00
59,2010-2011,Karnataka,094630170,Alvas Education Foundation,Moodbidri MangaloreKarnataka-574227,0.00
60,2010-2011,Karnataka,094570222,Always Living Poors helping Arms Trust,No. 872 Anglo Indian Colony 6th Cross Robertsonpet KGF-563 122KOLLAR GOLD FIELDS563122,0.00
61,2010-2011,Karnataka,094640005,Amalas Kutumba Abivruddiyojane,Amalagondi PO Seebiagrahara Sira TumkurKarnataka-572125,3802313.00
