S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2010-2011,Meghalaya,214250099,AGENCY FOR SUSTAINABLE DEVELOPMENT INITIATIVES,CHURCH HOUSE MISSION COMPOUNDSHILLONG793002,1836230.00
2,2010-2011,Meghalaya,214250051,Archdiocese Of Shillong,ArchBishop's House ShillongMeghalaya-793003,24616994.42
3,2010-2011,Meghalaya,214270008,Assumption Mission, TikrikllaWest Garo Hills-,0.00
4,2010-2011,Meghalaya,214260024,BAKDIL,Lower Chandmari TuraWest Garo Hills Meghalaya-794002,4338398.07
5,2010-2011,Meghalaya,214530003,Bethany Children's Home, NongsderShillong-,4870081.65
6,2010-2011,Meghalaya,214250065,Bethany Society,Arai Mile New Tura W. Garo HillsMeghalaya-794101,10263256.94
7,2010-2011,Meghalaya,214240001,Bishop's Hostel, JowaiJaintia Hills -793150,0.00
8,2010-2011,Meghalaya,214260018,Bosco Mount, RongkhonTura -794001,2193399.00
9,2010-2011,Meghalaya,214240011,Bosco Pnar,  Jowai -793150,456000.00
10,2010-2011,Meghalaya,214250027,Bosco Reach Out,Sacred Heart College  Dist: Shillong  East Khasi HillsMeghalaya-793008,39546476.03
11,2010-2011,Meghalaya,214250009,Catholic Church, UmkadhorShillong-,2871616.89
12,2010-2011,Meghalaya,214250023,Catholic Church, NongpohEast Khasi Hills -793102,735000.00
13,2010-2011,Meghalaya,214270004,Catholic Church, RingdoSonapahar -793119,152298.02
14,2010-2011,Meghalaya,214270007,Catholic Mission, West Garo Hills Meghalaya-,1078233.00
15,2010-2011,Meghalaya,214260006,Catholoc Church Parish,Chokpot West Garo HillsMeghalaya-,0.00
16,2010-2011,Meghalaya,214530013,CHILDREN AND YOUTH EVANGELISTIC ASSOCIATION (CYEA),Crecens BuildingMG Road793001,1020894.00
17,2010-2011,Meghalaya,214250022,Christ King College,  Shillong -793003,2236338.00
18,2010-2011,Meghalaya,214270011,Christian Charity of Western Women Welfare Organisation for Rural,Development and Services Dommaulieh BPO Pariong Town Nong-stoin Shillong West Khasi Hills-793120,0.00
19,2010-2011,Meghalaya,214250019,Church of God Ecclesia,Mawkhar Main Road Shillong Meghalaya-793001,1930408.00
20,2010-2011,Meghalaya,214530008,Claretian Formation Association of North East India,Claret Villa MawlaiShillong -793008,36094341.00
21,2010-2011,Meghalaya,214250053,Daughters Of St Paul  Society,Laitumkhram ShillongMeghalaya-793003,0.00
22,2010-2011,Meghalaya,214240018,Diocese of Jowai,Bishop's House Jowai Jaintia Hills DistrictMeghalaya-793150,11133825.00
23,2010-2011,Meghalaya,214270012,Diocese of Nongston,Bishop's House Nongstoin West Khasi HillsMeghalaya-793119,19012917.16
24,2010-2011,Meghalaya,214260002,Diocese Of Tura,Bishop's House TuraMeghalaya-794001,16920578.40
25,2010-2011,Meghalaya,214230012,District Multipurpose Socio Economic Dev. Organisation,Kusimkolgre Willaim Nagar East Garo HillsMeghalaya-,1038720.00
26,2010-2011,Meghalaya,214250086,Divya Jeevan Foundation Society,Lady Veronica Park Laitumkhrah Shillong East Khasi HillsMeghalaya-793003,100.00
27,2010-2011,Meghalaya,214530011,Don Bosco Centre for Indigenous Cultures,PO Mawlai ShillongMeghalaya-793008,300000.00
28,2010-2011,Meghalaya,214260019,Don Bosco College,Tura West Garo HillsMeghalaya.-,12319893.00
29,2010-2011,Meghalaya,214250072,Don Bosco Education Aid Society,Sacred Heart College Shillong East Khasi HillsMeghalaya-,0.00
30,2010-2011,Meghalaya,214250028,Don Bosco Technical School,  Shillong-793003,864926.00
31,2010-2011,Meghalaya,214250063,Don Bosco Youth Centre,Don Bosco Road  Shillong-793003,487782.44
32,2010-2011,Meghalaya,214230010,Doulos Bible Institute,Shillong Meghalaya  -,0.00
33,2010-2011,Meghalaya,214250054,DOULOS BIBLE INSTITUTE,Riathsamathiah Shillong -793001,693793.00
34,2010-2011,Meghalaya,214250070,Dwar Jingkyrmen,School For Children in Need of  Special Education StonlandShillong Meghalaya-793003,4478.00
35,2010-2011,Meghalaya,214250001,Evangelical Free Church of  India,P.O  Madanriting 21 East Khasi Hills ShillongMeghalaya-793021,10197945.80
36,2010-2011,Meghalaya,214530009,Ferando Development Educational and Welfare Society,St. Margaret's Convent  PeachlandsShillong Meghalaya-793003,4559086.00
37,2010-2011,Meghalaya,214240016,Ferrando Educational and Welfare Society,Ferrando convent Myndihati Jaintia Hills Meghalaya -793200,2688170.00
38,2010-2011,Meghalaya,214250076,Ferrando Speech & Hearing Centre,Mawroh- Mawlai Shillong East Khasi Hills -793008,2607200.00
39,2010-2011,Meghalaya,214250090,FMA-Outreach for Underprivileged Women and Children,Auxilium Nongthymmai Shillong East Khasi Hills (Meghalaya) -793014,5182495.00
40,2010-2011,Meghalaya,214290002,Franciscan Capuchin Social Service Society,Byrnihat Ri-Bhoi DistrictMeghalaya-793101,12597698.00
41,2010-2011,Meghalaya,214530012,FRANSALIAN EDUCATIONAL AND WELFARE SOCIETY,M.S.F.S. STUDY HOUSEMAWROH MAWLAI793008,4751530.00
42,2010-2011,Meghalaya,214260008,Garo Baptist Convention,Tura  Meghalaya   -794002,358718.48
43,2010-2011,Meghalaya,214260016,Holy Cross Church,Rongkhon TuraMeghalaya-794001,947250.00
44,2010-2011,Meghalaya,214240004,Holy Family Church,Khliehriat Naintia HillsMeghalaya-793200,0.00
45,2010-2011,Meghalaya,214250081,Impulse NGO Network,Temple Road Lower Lachumiere near Horse shoe Blg ShillongMeghalaya-793001,2852154.75
46,2010-2011,Meghalaya,214260020,Integral Tribal Welfare Society,St. Claret Mission Ampati West Garo HillsMeghalaya.-,3450000.00
47,2010-2011,Meghalaya,214250103,J. N. BAWRI TRUST,BARA BAZAR ROADSHILLONG793002,0.00
48,2010-2011,Meghalaya,214250041,Kharang Rural  Centre,Goldmine ShillongMeghalaya-793004,0.00
49,2010-2011,Meghalaya,214250010,Khasi Jaintia Presbyterian Assembly Social Economic Life Development Association,Church House Mission Compound ShillongMeghalaya-793002,5639636.02
50,2010-2011,Meghalaya,214250062,Khasi Jaintia Presbyterian Synod HospitalShillong,Jaiaw Shillong East Khasi HillsMeghalaya-793001,410730.00
51,2010-2011,Meghalaya,214250074,Khat Arshnong Socio-Organisation,Khat Arshang Hqs. Laitmawsiang Cherrapunjee East Khasi HillsMeghalaya.-,0.00
52,2010-2011,Meghalaya,214250097,KHYNDAI KYNTOIT SOCIAL AND CULTURAL ORGANIZATION,WAHLANG (VILLAGE)MADAN BITAW (POST)EAST KASIHILLS793121,0.00
53,2010-2011,Meghalaya,214250087,Living Word Communicators,RISA Colony Shillong East Khasi Hills DistrictMeghalaya-793003,1262853.00
54,2010-2011,Meghalaya,214250091,Maitri,No 36 R R Colony Near Rynjah DispensaryLance No 3 Rynjah Shilong793006,2982642.00
55,2010-2011,Meghalaya,214260004,Mary Help of Christians,Mission Home Tura  West Garo Hills Meghalaya-794002,0.00
56,2010-2011,Meghalaya,214250006,Mary Our Help Training Centre, ShillongMeghalaya-793001,1044101.75
57,2010-2011,Meghalaya,214230008,Medical Mission Sister Society North East India, MendipatharMeghalaya-,6324221.00
58,2010-2011,Meghalaya,214250080,Mega Multipurpose Development  Society,"""Halari"" Red Hill Road Laitumkhrah ShillongEast Khasi HillsMeghalaya-793003",0.00
59,2010-2011,Meghalaya,214250078,Meghalaya Environment and Wildlife Society,Marylands Jowai Road Shillong East Khasi HillsMeghalaya.-793003,2759936.43
60,2010-2011,Meghalaya,214230011,Mendipathar Multipurpose Co-Op Society Limited,P.O.-Mendipathar East Garo HillsMeghalaya-794112,0.00
61,2010-2011,Meghalaya,214240003,Mihmyntdu Community Development Project, JowaiJaintia Hills-,1610864.83
62,2010-2011,Meghalaya,214250018,Missionary Sisters of Mary Help of Christians,St. Margaret's Convent Shillong East Khasi HillsMeghalaya -793003,8142973.00
63,2010-2011,Meghalaya,214270014,Mount Calvary Society,Vill. NongstoinRambrai793119,762273.89
64,2010-2011,Meghalaya,214270013,Mt. Hermon & Hinsing Basan Vocational School of Global Christian Education Institute Trust,Dommawlieh B.P.O. Pariong Nongstoin ShillongWest Khasi Hills Meghalaya-793120,0.00
65,2010-2011,Meghalaya,214260025,Multipurpose Development for Social Action,Village Damal-Asim PO Daddengre Tura  West Garo HillsMeghalaya-794104,763600.00
66,2010-2011,Meghalaya,214240015,Nam-Rhen Association,Sohkha Village PO Dawki Jaintia Hills DistrictMeghalaya-793109,0.00
67,2010-2011,Meghalaya,214250035,Nazareth Hopital Society,Laitukrah Shillong -793003,202324.00
68,2010-2011,Meghalaya,214250003,Nirmali Society of Christ Jesus,Red Hill RoadLaitumkhrah793003,9025043.00
69,2010-2011,Meghalaya,214250095,Nongkrem Youth Development Association,NongkremShillong793015,0.00
70,2010-2011,Meghalaya,214270015,NONGSTOIN SOCIAL SERVICE SOCIETY,NONSTOIN DIOCESENONSTOIN793119,354800.00
71,2010-2011,Meghalaya,214250088,North East Centre for Training and Research,Kong Doris buildingNear Power GridLower NongrahLapalang RynjahShillong793006,2107190.00
72,2010-2011,Meghalaya,214250055,North East India Committee on Relief & Development,Non Grimbah Road LaitumkhrahShillong -793003,19240770.00
73,2010-2011,Meghalaya,214250045,North East India Diocesan Council (CNI),Bishops Kuti  ShillongMeghalaya-793001,207618.18
74,2010-2011,Meghalaya,214250084,North East Society of Sisters of the Holy Cross,'Meiaida' LaitumkhrahNongrim Road Shillong East Khasi Hills DistrictMeghalaya-793003,1170029.00
75,2010-2011,Meghalaya,214250066,North Eastern Hill University, ShillongMeghalaya-793014,0.00
76,2010-2011,Meghalaya,214250061,North-East India Christian Mission,Nongpoh Ri BhaiMeghalaya-793102,4149475.00
77,2010-2011,Meghalaya,214250017,OPERA RAVALICO,Savio Juniorate  MawlaiShillong -793008,773285.00
78,2010-2011,Meghalaya,214250029,Oriens Theological College,Mawlai Shillong Meghalaya-793008,6848757.00
79,2010-2011,Meghalaya,214250033,Pastoral Centre,Tripura Castle Road  Shillong -793003,2187451.40
80,2010-2011,Meghalaya,214250060,Pine Brook Society,22Shillong Super Market MawkharShillong -793002,0.00
81,2010-2011,Meghalaya,214250012,Presbyterian Churches of Inida,Central Ward  ShillongMeghalaya-793001,7902141.00
82,2010-2011,Meghalaya,214270009,Presentation Catholic Church Nonghyllam,Nonghyllam Village Borsora P.O Shillong West Khasi HillsMeghalaya-,450000.00
83,2010-2011,Meghalaya,214250075,R.S Syngdoh Training Centre,SMIT Shillong      Meghalaya.-793021,753000.00
84,2010-2011,Meghalaya,214250040,Ramakrishna Mission, LaitumkhrahShillong -793003,40055.00
85,2010-2011,Meghalaya,214250038,Ramakrishna Mission Asram, CherrapunjeeEast khasi Hills -793111,60000.00
86,2010-2011,Meghalaya,214230005,Resurrection Misson Home, ResubelparaEast Garo Hills  -794108,0.00
87,2010-2011,Meghalaya,214290003,Ri Bhoi Multipurpose & Development Programme,B.P.O. Newjirang Via Rani RibhoiMeghalaya-781131,889703.00
88,2010-2011,Meghalaya,214270010,RI-Lyngham Rural Development Association,Mawthengkut BPO Riangod West Khasi HillsMeghalaya-793119,602750.00
89,2010-2011,Meghalaya,214250101,Rilum Foundation for Sustainable Development,Lumkynsai SmitShillong793015,441515.00
