S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
43,2018-2019,Jharkhand,337820063,Rural Outright Development Society,At- C-7/7 Mosaboni No- 3 Post- Mosaboni MinesMosaboni832104,0.00
44,2018-2019,Jharkhand,337820072,SAMRIDHI,LINE NO. 1 BAGAN NO. 3 KASHIDHI SAKCHIJAMSHEDPUR831001,0.00
45,2018-2019,Jharkhand,337790040,SAUGAHT FOUNDATION,At Sudna PO Sudna Medininagar District Palamu Jharkhand Pin 822101 JharkhandDaltonganj822101,1766000.00
46,2018-2019,Jharkhand,337800212,Shiv Shishya Pariwar,B 254 Mecon Co opeartive Society Near DAV Hehal School Kathal More RanchiRanchi834005,0.00
47,2018-2019,Jharkhand,337820023,Sisters of Providence of Gap Society,Jyoti Niketan Sahibganj Jharkhand -816109,2996126.00
48,2018-2019,Jharkhand,337800208,SOCIAL AWARENESS FOR DEMOCRATIC ART AND RESEARCH,H B ROAD THARPAKHANARANCHI834001,0.00
49,2018-2019,Jharkhand,337800015,Society  For Rural Industrialisation,Village Gari P.O. Bariatu RanchiJharkhand-834009,19183.00
50,2018-2019,Jharkhand,337790037,Socio Economic and Environmental Development Society (SEEDS),At-Jailhata Opposite-PWD Office P.O  P.S.- MedininagarDaltonganj822101,0.00
51,2018-2019,Jharkhand,337800024,St. Michael School For the Blind,Old H.B. Road P.O. Box No.1 Ranchi .Jharkhand-834001,401307.72
52,2018-2019,Jharkhand,337820002,Tata Relief Committee,C/o TISCO General Office Building Jamshedpur East Singhbhum Jharkhand-831001,0.00
53,2018-2019,Jharkhand,337820077,TEMESCA,VILL-JAHERDIHP.O-BANKISOLEP.S-DUMURIAPIN-832104DUMURIA832104,0.00
54,2018-2019,Jharkhand,337660017,The Christian Assembly of Bihar,Sector XIILQtr. No.4015 Bokaro Steel CityJharkhand-,532461.00
55,2018-2019,Jharkhand,337720009,The Poreyahat Holy Family Society,Poreyanhat Santhal Pargana Jharkhand -814153,2713385.84
56,2018-2019,Jharkhand,337800118,"Tribal Humanity Development Activity ""THUDA""",Jorar Namcom RanchiJharkhand-834010,2111958.00
57,2018-2019,Jharkhand,337680067,VASHISTHA NATURE WATCH,Kusum Cottage Near Lal Kothi Purandaha PO Ps and Dist DeogharDeoghar814112,0.00
58,2018-2019,Jharkhand,337790044,Vikash Sankalp,Shivajee Maidan MedninagarMedninagar822101,0.00
59,2018-2019,Jharkhand,337790026,Women and child development centre,Gayatri Mandir Road Sudana Town/city-MedninagarDistt.= Palamu Jharkhand-822101,0.00
60,2018-2019,Jharkhand,337660004,YOUNG MENS CHRISTIAN ASSOCIATION,Sec-IV/C Qr. No. 2117 Bokaro Steel CityBokaro-827004,0.00
