S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2018-2019,West Bengal,147030030,16 Mile Rural Development Society,16 Mile PO-Gurutola Malda town MaldaWest Bengal-732127,0.00
2,2018-2019,West Bengal,147121018,ACHARYA PADMASAGAR SURI CHARITABLE TRUST JIAGANJ,2B MOTILAL BASAK LANE KOLKATA - 700054KOLKATA700054,0.00
3,2018-2019,West Bengal,146940002,Akbarpur Sammelan,Po Nandanghat BurdwanWest Bengal-713515,0.00
4,2018-2019,West Bengal,146940041,Al-madina Market Education $ Welfare,Society P.o.memari.madina MarketBurdwan -713146,0.00
5,2018-2019,West Bengal,147121045,ALL INDIA CRIME AND INVESTIGATIVE JOURNALISTS ASSOCIATION,GARDEN VIEW  G-A-99 JODHPUR GARDEN GR. FLOOR.KOLKATA-700045KOLKATA700045,3021112.00
6,2018-2019,West Bengal,147111161,AMBADKAR SOCIAL WELFARE MISSION,BIDYA ROY MORE PO NIMPITH PS JOYNAGARSOUTH TWENTY FOUR PARGANAS743338,0.00
7,2018-2019,West Bengal,147121034,AMIYA RANJAN SAMANTA MEMORIAL FOUNDATION,7 Bagha Jatin Road  Tobin RoadKolkata700036,25998.76
8,2018-2019,West Bengal,147000106,Amta Seva Samity,P.o.amta Block -amtaHowrah --711401,0.00
9,2018-2019,West Bengal,147120545,Ananda Shankar Centre For Performing Arts,11f Palm Avenue KolkataWB-700019,0.00
10,2018-2019,West Bengal,147070038,Anandanagar Development Society,Anandanagar P.o.-Baglata P.S.- JaipurPuruliaWest Bengal.-723215,6740664.50
11,2018-2019,West Bengal,146900027,ANDHARIA MINORITY EDUCATIONAL WELFARE SOCIETY,VILL P O- ANDHARIA P S  KARANDIGHI  DIST UTTAR DINAJPURUTTAR DINAJPUR733201,0.00
12,2018-2019,West Bengal,147110976,ANDULPOTA MADRASAH RAHAMANIA JUNIOR,VILL.- ANDULPOTA P.O.- RAJENDRAPURBASIRHAT743291,0.00
13,2018-2019,West Bengal,147110898,Aradhana Social and Development Organisation - 03,Nabin Sen Pally P. O. Nabapally Barasat Kolkata - 700 126 Dist. 24 Pgs. (N)Barasat (Town)700126,0.00
14,2018-2019,West Bengal,147040493,Arambati Jivan Jyoti,Arambat P.O. Nimpura MidnapurDistt.- Paschim Midnepur (W.B.)-721304,0.00
15,2018-2019,West Bengal,147121037,Arogya Sandhan Charitable Trust,2 R.K. Saranik Eastern Park SantoshpurKolkata700075,90342.00
16,2018-2019,West Bengal,147110642,Arogya Sandhan Santoshpur,2Ramkrishna saraniEastern Park Santoshpur Kolkata24 Parganas(S)West Bengal-700075,1354912.00
17,2018-2019,West Bengal,147110514,Arpan  Mahila Samiti,Povillps:basanti South 24 ParganasWest Bengal-743312,0.00
18,2018-2019,West Bengal,147110171,Ashurali Vivekananda Smriti Sangha,Po Sadhurhat  Ashlurali South 24 Parganas Wb-743504,0.00
19,2018-2019,West Bengal,146980048,Asian Mission Outreach,P.o. Mungpoo DarjeelingWb-734313,5043775.00
20,2018-2019,West Bengal,146980077,BABUBASA LEADERSHIP TRAINING CENTRE,Babubasa Devidanga Champasari Siliguri Darjeeling West Bengal-734003Siliguri734003,8165164.33
21,2018-2019,West Bengal,147120880,BADRE AOWLIYA RESEARCH AND DEVELOPMENT SOCIETY,15/2B BECHULAL ROAD KOLKATA 700014CIT-PADMAPUKUR (ENTALLY) KOLKATA700014,0.00
22,2018-2019,West Bengal,147111114,BAGDA UPASANA,VILL BAGDA P O CHANDNAGAR P S DIAMOND HARBOURKolkata743368,0.00
23,2018-2019,West Bengal,147040573,BAHARGRAM SARBAHARA UNNAYAN SANGHA,Vill- Bahargram P.O- Panskura Block- Panskura-I P.S- PanskuraPurba Medinipur721152,0.00
24,2018-2019,West Bengal,147040479,Baharpota Premtirtha Rural Development Society,Vill & Post Baharpota Ps Panskura Midnipore (east) West Bengal-721151,0.00
25,2018-2019,West Bengal,146980064,Bairatisal Siks Sikau Sikaunalai For Christ,Bairatisal New Rangia Siliguri DarjeelingWest Bengal-734430,9605083.00
26,2018-2019,West Bengal,147040230,Bajkul Gram Bharti,Vil Bajkul Po Kismatbajkul MidnaporeWb-721655,1889585.00
27,2018-2019,West Bengal,147110808,Baladevpur Madrassa Kasheful Uloom,Vill. Baladevpur PO. RamakantanagarPS. Joynagar743395,0.00
28,2018-2019,West Bengal,147000088,Balitikuri Bikash Bhaban,Balitikuri Po  HowrahWb-711402,243071.00
29,2018-2019,West Bengal,147000252,BALO WELFARE SOCIETY,1 ALAM MISTRY LANE HOWRAH 711101HOWRAH711101,11272564.00
30,2018-2019,West Bengal,147110007,Bam India,N-19 Pharpur RoadGarden Reach Kolkata700024,106050.00
31,2018-2019,West Bengal,147030022,Bamongram Resham Khadi Pratisthan,Village & Post- Bamangram MaldaWest Bengal-732206,0.00
32,2018-2019,West Bengal,146980124,BANIAKHARI MANGALDEEP SEBASHRAM SANGHA,Thripali Jote Baniakhari Post Office Nemai P.S. Matigara District Darjeeling Pin 734010 West BengalBANIAKHARI734010,0.00
33,2018-2019,West Bengal,147111163,BANSRA BIRANGANA SEVA SAMITY,VILL GANTI PO BANSRA PS  CANNINGCANNING743363,0.00
34,2018-2019,West Bengal,146940125,BARAKAR NETRAJYOTI HEALTH CARE SOCIETY,G T ROAD BARAKAR P.O. - BARAKAR P.S. - KULTI  DIST - BURDWANBARAKAR713324,0.00
35,2018-2019,West Bengal,146920049,Barapara Bijoyee Sangha,Vill-Raipur(near Girls High School) PO-Garh Raipur BankuraWest Bengal-,0.00
36,2018-2019,West Bengal,147110463,Barasat Ketabi Jamat Welfare Society,Nivedita Place Block Taki Road Barasat24 Parganas West Bengal-,3275286.22
37,2018-2019,West Bengal,147040624,BARCHARA PROGRESSIVE CULTURAL FORUM,VILL AND PO  BARCHARA  PS SABANG  DIST PASCHIM MEDINIPURSABANG721467,0.00
38,2018-2019,West Bengal,147110039,Barrackpore Diocesan Council,86middle Road Barrackpore North 24 ParganasWb-743101,1335578.00
39,2018-2019,West Bengal,147110515,Basudha Centre For New World,P-11/adr.a.k.paul  Road(extension) Behala 24 Parganas(s)West Bengal-700034,0.00
