S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2018-2019,Pondicherry,285130050,Community Sewa Centre,No-2 Villikrishna illam IIIrd  Cross Kasthuribaigandhi St NetajiNagar-I Ullalam Pondicherry-605001,3966887.00
2,2018-2019,Pondicherry,285130120,Germination Society for the underprivileged,Plot No. 39 1st Cross Extension Rainbow Nagar Pondicherry-605011Pondicherry605011,11549246.15
3,2018-2019,Pondicherry,285130053,Integrated Rural Development Through Education Centre,Nallur Village  Pallineliyahnur PostPondicherry-605107,0.00
4,2018-2019,Pondicherry,285130099,JOY OF ETERNAL LIFE,NO.11 AMBEDKAR STREET MOOLAKULAMPUDUCHERRY605010,0.00
5,2018-2019,Pondicherry,285130080,Peoples Social Development Foundation,No. 1 Rice Mill Street Raja NagarPondicherry605013,92289.87
6,2018-2019,Pondicherry,285130035,Pondicherry Higher Education Benefits Society,No. 112 Canteen Street  Pondicherry-605001,2994108.00
7,2018-2019,Pondicherry,285150005,Sree Narayana Guru Mission Charities,169/9V.J. COMPLEX BHARATHIYAR ROAD SHINE DENTAL CARE FIRST FLOOR NEAR HOTEL PARIS INTERNATIONAL KARAIKAL.609602.U.T.OF PUDUCHERRY.KARAIKAL609602,0.00
8,2018-2019,Pondicherry,285130068,The Pondicherry Peoples Education for Development Society,No. 6 Market Street Orleanpet Nellithope P.O.Pondicherry-605005,23241.00
9,2018-2019,Pondicherry,285130116,VELLAI THAMARAI EDUCATIONAL SOCIAL AND CULTURAL ORGANISATION,78 ESWARAN KOIL STREETPUDUCHERRY605001,11227500.00
10,2018-2019,Haryana,172250011,Adarsh Samaj Sahayog Samiti,House No. 909 Sector 9 FaridabadHaryana-121006,0.00
11,2018-2019,Haryana,172350003,Bal Sadan Association,I- 9 Sector 12 A PanchkulaHaryana-134112,1006132.00
12,2018-2019,Haryana,172380009,BHAI KANAHAIYA MANAV SEWA TRUST,Mall Godam Road Near Salasar Dham Sirsa HaryanaSirsa125055,0.00
13,2018-2019,Haryana,172250039,Community Development Initiatives (CDI),Beniwal Mohalla Near Post Office Village Sihi Sector-8Faridabad121006,0.00
14,2018-2019,Haryana,172250041,EDUCATIONAL AND SOCIAL WELFARE SOCIETY,VILLAGE SARAI POST OFFICE KHATELA TEHSIL HODAL DISTRICT PALWAL-121105HODAL121105,0.00
15,2018-2019,Haryana,172290007,Gram Swarajya Sansthan,196  Premnagar HissarHaryana-,0.00
16,2018-2019,Haryana,172330007,Habitat for Humanity,Post Box 1543-GPOAt-Rakshit Bhavan Kalaka Road near Keel FactoryRewari Haryana -123401,481321.92
17,2018-2019,Haryana,172310030,HARYANA VILLAGE MINISTRIES,55 VASANT VIHARKARNAL132001,1675087.00
18,2018-2019,Haryana,172210025,LOGOS FAITH FOUNDATION,48 B Himmat Pura Near Yadav Tent HouseAmbala Cantt133001,4774781.00
19,2018-2019,Haryana,172210013,Madarsa-Baitul Uloom,Piplimazra HPO Dist. YamunanagarHaryana-,6602958.00
20,2018-2019,Haryana,172270073,MERA PARIVAR,HOUSE NO 267 SECTOR 14GURGAON122001,6636800.00
21,2018-2019,Haryana,172250004,National Association for the Blind, FaridabadHaryana-,754469.00
22,2018-2019,Haryana,172330003,National Evangelical Christian Development Society,P Box  1543 G.P.O.At-Rakshit  BhavanKalaka Roadnear Keel FactoryRewari Haryana-123401,3060362.00
23,2018-2019,Haryana,172250036,Om Yog Sansthan (Trust),VPO - PaliFaridabad121004,0.00
24,2018-2019,Haryana,172250014,Shirdi Sai Baba Temple Society,Sai Dham Tigaon Road FaridabadHaryana-121002,10003179.20
25,2018-2019,Haryana,172300013,Shree Lajja Ram Ashram Trust,TIRTH PANDU PINDARAJIND126102,0.00
26,2018-2019,Haryana,172340004,Sir Chhotu Ram Yuva Club,Village-Beri Post-Beri District-Jhajjar(Haryana)Jhajjar124201,0.00
27,2018-2019,Haryana,172330012,Society for Education and Welfare Activities SEWA,Near Power house Choudhani VPO Nangal Choudhary Tehsil Narnaul disttMahendergarh123023,0.00
28,2018-2019,Haryana,172350006,Vishav Manav Ruhani Kendra,Nawan Nagar  PO Nanakpura Teh kalkaPanchkula134102,12600168.00
29,2018-2019,Haryana,172250040,WORLD SANKIRTAN TOUR TRUST,NH - 2 Hodal Distt. PalwalHodal121106,4839757.95
30,2018-2019,Punjab,115210038,ASR Charitable Trust,1700 Chawal MandiAmritsar143006,1845281.00
31,2018-2019,Punjab,115270010,BHAMESHWARI MISSIONARY TRUST,VPO BHAMBHAM146103,161200.50
32,2018-2019,Punjab,115300031,DAYANAND MEDICAL COLLEGE AND HOSPITAL MANAGING SOCIETY,TAGORE NAGARLUDHIANA141002,6603275.00
33,2018-2019,Punjab,115230007,Gram Sewa and Viklang Sahayata Sanstha,Kiran Hospital ComplexFactory Road Maur Mandi151509,516000.00
34,2018-2019,Punjab,115390004,GURU NANAK MISSION INTERNATIONAL CHARITABLE TRUST,VILLAGE - NAWANGRAN-KULPUR PO- SAROYA TEHSIL-BALACHAURSBS NAGAR144524,642759.00
35,2018-2019,Punjab,115320014,Holy Ghost Ministries,V.PO-Kotla Nihang RoparPunjab-140001,1424038.00
36,2018-2019,Punjab,115210056,Khalsa College Charitable Society,KHALSA COLLEGE GT ROADAmritsar143001,10978747.00
37,2018-2019,Punjab,115390005,khwahish Sewa Society (KHASS),"V.P.O. TAKARLA
Tehsil BalachaurTAKRARLA144521",2363711.12
38,2018-2019,Punjab,115340007,LIONS CHARITABLE TRUST OF LIONS CLUB JAITU GANGSAR,GAUSHALA ROAD JAITUJAITU MANDI151202,0.00
39,2018-2019,Punjab,115260011,Sadr Anjuman Ahmadiya Qudian, Gurdaspur Punjab-,539992770.00
40,2018-2019,Punjab,115300035,SAHAITA,117-A  Model Town ExtensionLudhiana141002,16717964.00
41,2018-2019,Punjab,115340008,Sangat Sahib Bhai Pheru Sikh Educational Society,Talwandi Road FaridkotFaridkot151203,0.00
42,2018-2019,Punjab,115370004,SARDARNI GURDIAL KAUR EDUCATIONAL TRUST,VPO RANITEHSILNIHALSINGHWALAMOGA142037,695700.00
43,2018-2019,Punjab,115310020,Shri Sanatan Dharam Kumar Sabha,Sheranwali Dharamshala  Sheranwala GatePatiala147001,1599714.00
44,2018-2019,Punjab,115210003,Socio Economic Developmen Programme,1 R.B. Duni Chand Road AmritsarPunjab -143001,107564.35
45,2018-2019,Punjab,115320011,Sri Guru Harkrishan Charitable Eye Hospital,Sohana(Near Chandigarh) Ropar -140308,596391.90
46,2018-2019,Punjab,115300034,SWAMI GANGANAND BHURIWALE INTERNATIONAL FOUNDATION,DHAM TALWANDI VILL TALWANDI KHURDTEHSIL JAGRAON142025,4615334.05
47,2018-2019,Punjab,115300019,The Baba Jaswant Singh Trust,Gurdwara Nanaksar Complex Samrala Bye Pass ChowkLudhiana Punjab-141010,25140705.52
48,2018-2019,Punjab,115320026,UNIVERSAL DISABLED CARE TAKER SOCIAL WELFARE SOCIETY (Regd.),VILLAGE PADIALA Near KURALI TEHSIL KHARARS.A.S NAGAR (Mohali)140103,22864962.97
49,2018-2019,Punjab,115300050,VIDYA CHARITABLE SOCIETY,"C/O IDEAL SERVICES
RED CROSS BHAWAN
1st FLOOR MALL ROAD
LUDHIANA-141001LUDHIANA141001",77515.00
50,2018-2019,Punjab,115320023,VISHAV GURMAT ROOHANI MISSION CHARITABLE TRUST (Regd.),Village. Chaharmajra Ratwara Sahib P.O.Mullanpur Garibdas Teh. Kharar Distt. Mohali (Pb.)Mohali140901,2554723.12
51,2018-2019,Goa,271800003,KESHAV SEVA SADHANA,OM DURGANAGAR BORIPonda403401,0.00
52,2018-2019,Goa,271830005,Peaceful Society,Kundai PondaGoa-403408,0.00
53,2018-2019,Goa,271830095,Quepem Salesian Society, Prem NagarQuepem-403705,0.00
54,2018-2019,Goa,271820008,SETHU,House No 640/2 Shri Sai Ashiyana PorvorimBardez403501,1873288.00
